Requirement,Ground Truth,Atomic Proposition
Acquired locks are released assuming that callbacks return (If the ith worker succeeds in acquiring a lock it will eventually),G (call_doResult_i -> F return_doResult_i) -> G (return_resultlock_wait_i -> F call_resultlock_signal_i),"{call_doResult_i, call_resultlock_signal_i, return_doResult_i, return_resultlock_wait_i}"
Computation terminates when workpool is empty or worker signals (The Execute call returns only when the number of workitems),G (call_Execute -> ((!return_Execute) U (return_doWork_done_true_i |_| return_doResult_done_true_i |_| workCountEQzero | G (!return_Execute)))),"{_, call_Execute, return_Execute, return_doResult_done_true_i, return_doWork_done_true_i, workCountEQzero}"
The computation will not terminate before the ActivePool task,((! return_Execute ) U ( return_pool_Complete | G  (!return_Execute))),"{return_Execute, return_pool_Complete}"
"A worker signals done only if its local computation does so. (The ActivePool task accepts ""Finished"" only if ""done"" is true)",(!return_pool_Finished) U (return_doWork_done_true_i |_| return_doResult_done_true_i |_| G  (!return_pool_Finished)),"{_, return_doResult_done_true_i, return_doWork_done_true_i, return_pool_Finished}"
Call-backs do not call routines in the same framework. (Calls on routines in the framework cannot be performed from),G !(call_Create_i | call_Destroy_i | call_Input_i | call_Execute_i | call_GetResults_i),"{call_Create_i, call_Destroy_i, call_Execute_i, call_GetResults_i, call_Input_i}"
"A worker signals done only if its local computation does so,",(G !(call_Create_i | call_Destroy_i | call_Input_i | call_Execute_i | call_GetResults_i)) -> ((!return_pool_Finished) U (return_doWork_done_true_i |_| return_doResult_done_true_i |_| G  (!return_pool_Finished))),"{_, call_Create_i, call_Destroy_i, call_Execute_i, call_GetResults_i, call_Input_i, return_doResult_done_true_i, return_doWork_done_true_i, return_pool_Finished}"
Only one of the 3-counting semaphore's four semaphore place's,G ((state0 & !state1 & !state2 & !state3) | (!state0 & state1 & !state2 & !state3) | (!state0 & !state1 & state2 & !state3) | (!state0 & !state1 & !state2 & state3) ),"{state0, state1, state2, state3}"
"From state 1(2), we can only move to states 0(1) or 2(3)",G ((state1 & F (state0 | state2)) -> !state3 U (state0 | state2)),"{state0, state1, state2, state3}"
The first method called will be the connect method. (None of the available methods can be called until connect is called.),F connect -> (!(disconnect | poke | send | blockingSend | receive | blockingReceive) U connect),"{blockingReceive, blockingSend, connect, disconnect, poke, receive, send}"
"After connect is called, any method may be called",G ((connect & F disconnect) -> !connect U disconnect),"{connect, disconnect}"
"After disconnect is called, only the connect method may be called. (Between disconnect being called and connect being called,)",G ((disconnect & F connect) -> !(disconnect | poke | send | blockingSend | receive | blockingReceive) U connect),"{blockingReceive, blockingSend, connect, disconnect, poke, receive, send}"
A send of data from the blockingSend() call may be performed (Sending data from blockingSend() implies that connected is false),G (blockingSendBeforeSendPlace -> !Connected),"{Connected, blockingSendBeforeSendPlace}"
(2) If an artist is registered for an event and dispatcher,G ((register_a1_e1 & F  unregister_a1_e1) -> (after_notify_artists_e1 -> ((!(notify_artists_e1 | notify_artists_e2) & !unregister_a1_e1) U notify_client_event_a1_e1)) U unregister_a1_e1),"{after_notify_artists_e1, notify_artists_e1, notify_artists_e2, notify_client_event_a1_e1, register_a1_e1, unregister_a1_e1}"
(3) Dispatcher does not notify any artists of an event until it,!(notify_client_event_a1_e1 | notify_client_event_a2_e1)  U (notify_artists_e1 | G !(notify_client_event_a1_e1 | notify_client_event_a2_e1)),"{notify_artists_e1, notify_client_event_a1_e1, notify_client_event_a2_e1}"
"(4) Having received an event of kind 1, dispatcher never",G (notify_artists_e1 -> (!(notify_client_event_a1_e2 | notify_client_event_a2_e2) U (notify_artists_e2 | G !(notify_client_event_a1_e2 | notify_client_event_a2_e2)))),"{notify_artists_e1, notify_artists_e2, notify_client_event_a1_e2, notify_client_event_a2_e2}"
(5) Dispatcher does not block ADT if no one is registered (this,G (e1_szEQ0 -> (!(notify_client_event_a1_e1 | notify_client_event_a2_e1) U (e1_szGT0 | G !(notify_client_event_a1_e1 | notify_client_event_a2_e1)))),"{e1_szEQ0, e1_szGT0, notify_client_event_a1_e1, notify_client_event_a2_e1}"
(6a) Dispatcher never gives an event to an artist that is not ((6a) Artist without an initial register can't be notified),F register_a1_e1 -> (!notify_event_a1_e1 U register_a1_e1),"{notify_event_a1_e1, register_a1_e1}"
(6b) Dispatcher never gives an event to an artist that is not ((6b) Artist without an explicit register can't be notified),G (unregister_a1_e1 -> (!notify_client_event_a1_e1 U (register_a1_e1 | G !notify_client_event_a1_e1))),"{notify_client_event_a1_e1, register_a1_e1, unregister_a1_e1}"
(7) The order in which artists register for events of kind 1 is,F term -> G ((register_a1_e1 & (!unregister_a1_e1 U (register_a2_e1 & (!unregister_a1_e1 & !unregister_a2_e1) U notify_artists_e1))) -> F (notify_artist_e1 & (!notify_client_event_a2_e1 U notify_client_event_a1_e1))),"{notify_artist_e1, notify_artists_e1, notify_client_event_a1_e1, notify_client_event_a2_e1, register_a1_e1, register_a2_e1, term, unregister_a1_e1, unregister_a2_e1}"
(8) Size of the linked list used to store IDs of artists,G (e1_szEQ2 & (after_register_a1_e1 | after_register_a2_e1) -> (!(register_a2_e1 | register_a1_e1)) U (e1_szLT2 | G !(register_a2_e1 | register_a1_e1))),"{after_register_a1_e1, after_register_a2_e1, e1_szEQ2, e1_szLT2, register_a1_e1, register_a2_e1}"
(14a) An artist cannot unregister unless it is registered. (Unregisters are disallowed from the initial state),F register_a1_e1 -> (!unregister_a1_e1 U register_a1_e1),"{register_a1_e1, unregister_a1_e1}"
(14b) An artist cannot unregister unless it is registered. (Unregisters are disallowed while explicitly registered),G (after_unregister_a1_e1 -> (!unregister_a1_e1 U (register_a1_e1 | G !unregister_a1_e1))),"{after_unregister_a1_e1, register_a1_e1, unregister_a1_e1}"
(15a) An artist always unregisters before the program terminates. (The program never terminates with an artist registered.),G ( term -> (e1_szEQ0 & e2_szEQ0)),"{e1_szEQ0, e2_szEQ0, term}"
"(15b) An artist always unregisters before the program terminates. (Given that you can't register for the same event twice, we need)",(register_a1_e1 -> (!term U unregister_a1_e1)) U (term | G (!term)),"{register_a1_e1, term, unregister_a1_e1}"
Pressing a landing button guarantees that the lift will arrive,G (landingButi_pressed -> F (lift_floor_i & lift_door_open)),"{landingButi_pressed, lift_door_open, lift_floor_i}"
Pressing a landing button guarantees that the lift will arrive,G (landingButi_pressed -> F (lift_floor_i & lift_door_open & lift_direction_down)),"{landingButi_pressed, lift_direction_down, lift_door_open, lift_floor_i}"
Pressing a lift button guarantees that the lift will arrive,G (liftButi_pressed -> F (floor_i & door_open)),"{door_open, floor_i, liftButi_pressed}"
An elevator can remain idle on the third floor with its,G (floor_3 & idle & door_closed -> G (floor_3 & door_closed)),"{door_closed, floor_3, idle}"
An upwards travelling lift at the second floor does not change,G (floor_2 & direction_up & liftBut5_pressed -> direction_up U floor_5),"{direction_up, floor_2, floor_5, liftBut5_pressed}"
Service guaranteed for passengers inside lift if not empty,G (liftBut3_pressed & !lift_empty -> F ((floor_3 & dor_open) | lift_empty)),"{dor_open, floor_3, liftBut3_pressed, lift_empty}"
Lift parks at floor 1,G (floor_4 & idle -> idle U floor_1),"{floor_1, floor_4, idle}"
Lift calls have preference,G (up & liftBut2_pressed & !liftBut3_pressed -> !(floor_3 & doors_open) U ((floor_2 & door_open) | !up)),"{door_open, doors_open, floor_2, floor_3, liftBut2_pressed, liftBut3_pressed, up}"
Lift will not move while overloaded,G (floor_3 & overloaded -> floor_3 U !overloaded),"{floor_3, overloaded}"
Doors may close when no overloading,G (door_open & !overloaded -> !overloaded U door_closed),"{door_closed, door_open, overloaded}"
Impossible to close doors if overloaded,G (!(overloaded & door_closed)),"{door_closed, overloaded}"
"Every p is followed by an r and between the p and the r, q is true",G  (p -> q U r),"{p, q, r}"
cr1 and cr2 are never both true,G  !(cr1 & cr2),"{cr1, cr2}"
Every UP is followed by a DOWN,G  (up -> (F  down)),"{down, up}"
Every p is followed by a q,G  (p -> F q),"{p, q}"
Every b is followed by an r but no np_,G  (b -> (G  !np_& F r)),"{b, np_, r}"
Eventually bp,F  bp,{bp}
"Infinitely often, A is followed by D and between A and D, C is true",G F  (a -> (c U d)),"{a, c, d}"
"Infinitely often, A is followed by D",G F  (a -> F  d),"{a, d}"
"If p1 is always followed by p2 and p3 is always followed by p4, then p5 is always followed by p6",G  ((p1 -> F p2) & (p3 -> F p4)) -> G (p5 -> F p6),"{p1, p2, p3, p4, p5, p6}"
"In the first two states, either p then q or q then p",(p & X q) | (q & X p),"{p, q}"
"Eventually A, B, and B until C.",F  ((a & b) & b U c),"{a, b, c}"
Eventually p until q,F  (p U q),"{p, q}"
Eventually always p,F G  p,{p}
Always p until not p,G  (p U !p),{p}
"If f characterizes the legitimate global state, then we want to",G F f,{f}
"If f characterizes the legitimate global state, then we want to",G (f -> G f),{f}
Always eventually transition aftsCC is taken,G F aftsCC,{aftsCC}
Eventually transition aftsCC is taken,F aftsCC,{aftsCC}
"After transition CC is taken, transition DR will never be taken.",G (aftsCC -> !F aftsDR),"{aftsCC, aftsDR}"
"After transition CR is taken, transition CC will be taken.",G (aftsCR -> F aftsCC),"{aftsCC, aftsCR}"
"If at least one member exists in a LAN, the Bridge must",G (p -> F G q),"{p, q}"
Each blank that is received will eventually be forged.,G (P_0 -> F Q_0) &_& G (P_m -> F Q_m),"{P_0, P_m, Q_0, Q_m, _}"
There are no collisions between the press and the robot.,G (pressing -> (!arm1_in_press & !arm2_in_press)),"{arm1_in_press, arm2_in_press, pressing}"
"For all ports p numbered from, say 0 to m, if p is created",G ((P_0 -> Q_0) &_& (P_m -> Q_m)),"{P_0, P_m, Q_0, Q_m, _}"
The manager always eventually does a treatment when a request,G ((State_INIT & request) -> F (State_WORK)),"{State_INIT, State_WORK, request}"
The manager always returns in its initial state after a treatment.,G (State_WORK -> F (State_INIT)),"{State_INIT, State_WORK}"
The manager always does a treatment when requested then returns,G ((State_INIT & request) -> F (!State_INIT & (!State_INIT -> F (State_INIT)))),"{State_INIT, request}"
FIFO buffers have to be empty at the end of a communication,G (EndOfCommunication -> BufferEmpty),"{BufferEmpty, EndOfCommunication}"
No pair of synchronizations on channel to_medium can occur,G (Synch_to_medium -> !Synch_to_medium U (Broadcast | G !Synch_to_medium)),"{Broadcast, Synch_to_medium}"
Messages received must correspond to the receivers id.,G !data_id,{data_id}
In a safe domain there is a single MCS provider at the top,G (safe -> one_top),"{one_top, safe}"
In a safe domain the height in every domain is always bounded.,G (safe -> bounded_height),"{bounded_height, safe}"
In a safe domain every client attached to a domain has unique,G (safe -> unique_ids),"{safe, unique_ids}"
"In a merging domain, the protocol always detects and removes",G (merging -> F safe),"{merging, safe}"
"While a domain is in a merging state, no new use identifiers",G (merging -> !(new_id U safe)),"{merging, new_id, safe}"
The process Shunt does not signal free way to the train if the,G (SignalFreeWay & !LevelCrossingClosed),"{LevelCrossingClosed, SignalFreeWay}"
The SL never issues contradictory PD controls during a cycle.,G ((PDcontrolX & F EndCycle) -> !PDcontrolContraX U EndCycle),"{EndCycle, PDcontrolContraX, PDcontrolX}"
A task releases all its locks before it terminates,G (return_Achieving_Task -> not_subscriber_this_p_memory_property),"{not_subscriber_this_p_memory_property, return_Achieving_Task}"
If an inconsistency occurs between the database and an entry,G (task1_property_broken -> F task1_terminated),"{task1_property_broken, task1_terminated}"
"In all taks, if task1_property_broken holds, then eventually",G (task1_property_broken -> F (task1_terminated | task1_property_repaired)),"{task1_property_broken, task1_property_repaired, task1_terminated}"
"When a server requests for its registration in the ROT, it",G (RequestedRegisterImpl_i -> F ServerRegistered_i),"{RequestedRegisterImpl_i, ServerRegistered_i}"
"When a client i asks for a server j reference, it will",G (RequestGetIOR_i_j -> (ServerRegistered_j U GetIOR_i)),"{RequestGetIOR_i_j, ServerRegistered_j, etIOR_i}"
For an ordinary send/receive : When a client makes a method,G (ClientSend_i -> F ClientRecv_i),"{ClientRecv_i, ClientSend_i}"
"When a client makes a one way send, the server must eventually",G (ClientSend_i -> F ServerRecv_i),"{ClientSend_i, ServerRecv_i}"
For a Defered Synchronous Request : When the client waits for,G (ClientAskResult_i -> F ClientGetResult_i),"{ClientAskResult_i, ClientGetResult_i}"
