Requirement,Ground Truth,Atomic Proposition
"When Port Reset is asserted, the following actions shall occur: 1.The TX FIFO and RX FIFO are cleared 2.The link state machine enters the ErrorReset state",G((Port_Reset_asserted) -> ((TX_FIFO_cleared) & (RX_FIFO_cleared) & X (ErrorReset_state))),"[ErrorReset_state, Port_Reset_asserted, RX_FIFO_cleared, TX_FIFO_cleared]"
"The Link state machine shall leave the Run state on one of the following conditions: 1.When LinkDisabled is asserted, move to the ErrorReset state. 2.When a disconnect occurs, move to the ErrorReset state. 3.When a parity error occurs, move to the ErrorReset state. 4.When an ESC error occurs, move to the ErrorReset state. 5.When a credit error occurs, move to the ErrorReset state",G ( ( ((((LinkDisabled & disconnect) & parity_error) & ESC_error) & credit_error) ) -> X (ErrorReset_state) ),"[ESC_error, ErrorReset_state, LinkDisabled, credit_error, disconnect, parity_error]"
"When the link state machine is in the Run state and sending of a broadcast code is requested, it shall be sent as soon as the data link layer has finished sending the current character or control code",G(((link_machine_Run_state) & (broadcast_code_requested)) -> ((current_character_finished) -> X (broadcast_code_sent))),"[broadcast_code_requested, broadcast_code_sent, current_character_finished, link_machine_Run_state]"
"When sending of an FCT is requested, it shall be sent as soon as the current character or control code has been sent provided that: No broadcast code is waiting to be sent",G((FCT_requested) -> (! (FCT_sent) U (current_character_sent))),"[CT_requested, CT_sent, current_character_sent]"
"When LinkDisabled is asserted in the Ready state, the link state machine remains in the Ready state",G (((LinkDisabled_asserted) & (Ready_state)) -> X (G(Ready_state))),"[LinkDisabled_asserted, Ready_state]"
"When LinkDisabled is asserted in the Run state, the link state machine moves to the ErrorReset state",G (((LinkDisabled_asserted) & (Run_state)) -> X(ErrorReset_state)),"[ErrorReset_state, LinkDisabled_asserted, Run_state]"
"The Link state machine shall leave the Ready state on one of the following conditions: 1.When LinkDisabled is asserted, move to the ErrorReset state. 2.When a disconnect occurs, move to the ErrorReset state. 3.When a parity error occurs, move to the ErrorReset state. 4.When an ESC error occurs, move to the ErrorReset state. 5.When an FCT, N-Char or broadcast code is received from the Encoding Layer, move to the ErrorReset state. 6.When LinkStart is asserted, move to the Started state. 7.When AutoStart is asserted and gotNull is asserted, move to the Started state",G((LinkDisabled) -> X (ErrorReset)) & G((disconnect) -> X (ErrorReset)) & G((parity) -> X (ErrorReset)) & G((ESC_Error) -> (ErrorReset)) & G(((FCT_received) & (NChar_received) & (broadcast_received)) -> X(ErrorReset)) & G((LinkStart_asserted) -> X(Started_state)) & G(((AutoStart_asserted) & (gotNull_asserted)) -> X(Started_state)),"[AutoStart_asserted, CT_received, ESC_Error, ErrorReset, LinkDisabled, LinkStart_asserted, NChar_received, Started_state, broadcast_received, disconnect, gotNull_asserted, parity]"
"This alternative behaviour allows the link state machine of the previous version of the SpaceWire standard ECSS-E-ST-50-12C (31 July 2008) to be used. The improvement in the current version (Revision 1) means that the link state machine immediately moves to and remains in the ErrorReset state with the receiver disabled, when Disable is asserted. The functions of Disable/Enable, Link Start and Autostart have been separated for clarity",G ((receiver_Disable_asserted ) -> X (G(ErrorReset_State))),"[ErrorReset_State, receiver_Disable_asserted]"
"When Port Reset is asserted, the Link Error Recovery state machine shall enter the Normal state",G ((PortReset_asserted) -> X (Link_Error_Recovery_state_machine_Normal)),"[Link_Error_Recovery_state_machine_Normal, PortReset_asserted]"
"The Link Error Recovery state machine shall leave the Normal state on the following conditions: 1.When the Link state machine is in the Run state and LinkDisabled is asserted, the Link Error Recovery state machine moves to the Recovery state. 2.When the Link state machine is in the Run state and a Disconnect, Parity Error, ESC Error, or Credit Error occurs, the Link Error Recovery state machine moves to the Recovery state",G (((Run_State) & (LinkDisabled_asserted)) -> X(Recovery_state)) & G( ( (Run_state ) & ((Disconnect) & ((Parity_Error) & ((ESC_Error) & (Credit_Error))) ) ) -> X(Recovery_state)),"[Credit_Error, Disconnect, ESC_Error, LinkDisabled_asserted, Parity_Error, Recovery_state, Run_State, Run_state]"
"When in the Recovery state, the Link Error Recovery state machine shall initiate the following actions: 1.If currently sending a packet, discard the remainder of the packet that has not yet been sent. 2.If the last character written to the receive FIFO was a data character, write an EEP to the receive FIFO. 3.When the last character written was an EOP or EEP, another EEP can be added to the receive FIFO. 4.If an EEP is pending, ready for writing to the receive FIFO and that FIFO is full preventing an EEP being written, wait until there is space in the receive FIFO and then write the EEP. 5.Record the cause of the error in a status register",G((Recovery_state) -> (((sending_current_packet) & (a_packet_not_sent)) -> X(discard_remainder))) & (G((Recovery_state) -> ((last_character_is_data) -> X(EEP_sent_to_receive_FIFO))) & (G((Recovery_state) -> ((last_character_EOP & last_character_EEP) -> X(EEP_sent_to_receive_FIFO))) & (G((Recovery_state) -> ( (((EEP_pending) & (FIFO_full)) -> ((EEP_wait) U (EEP_in_receive_FIFO))) -> X(write_EEP))) & G((Recovery_state) -> ((error) -> X (Record_error)))))),"[EEP_in_receive_FIFO, EEP_pending, EEP_sent_to_receive_FIFO, EEP_wait, IFO_full, Record_error, Recovery_state, a_packet_not_sent, discard_remainder, error, last_character_EEP, last_character_EOP, last_character_is_data, sending_current_packet, write_EEP]"
"If one or more N-Chars have been sent since the link reached the Run state AND the last character sent was not an EOP or EEP, read the transmit FIFO and discard the characters read until an EOP or EEP has been read and discarded",G(  ((Run_state_started) -> ((NChar_sent) & !(last_char_EOP & EEP)))  -> X(((read_transmit_FIFO) & (discard_characters)) U ((EOP_read & EEP_read) & (EOP_discard & EEP_discarded)))  ),"[EEP, EEP_discarded, EEP_read, EOP_discard, EOP_read, NChar_sent, Run_state_started, discard_characters, last_char_EOP, read_transmit_FIFO]"
"If the receive FIFO is full it is not possible for the transmitter to send an FCT, hence the link initialisation cannot be completed. The link state machine cycles through the ErrorReset, ErrorWait, Ready and Started state and then times out in the Connecting state because no FCT can be received. When there is room for at least eight N-Chars, at least one FCT can be sent so the link initialisation process is then able to complete successfully.",G((receive_FIFO_full) -> ! F(send_FCT)) & G((eight_NChar_room ) -> X(send_FCT)),"[eight_NChar_room, receive_FIFO_full, send_FCT]"
"The Link Error Recovery state machine shall leave the Recovery state on the following conditions: When all error recovery actions, listed in 5.5.8.4.b are successfully completed, move to the Normal state",G((all_error_recovery_actions_completed) -> X(normal_state)),"[all_error_recovery_actions_completed, normal_state]"
An output port shall not transmit any other packet until the packet that it is currently transmitting has finished being sent or has been terminated following an error,G(!(transmit_packet) U ((current_packet_sent) & (error_transmit))),"[current_packet_sent, error_transmit, transmit_packet]"
"If the allocated output port is busy, the newly arrived packet shall wait at the input port until the allocated output port is free to transmit the new packet",G((allocated_output_port_busy) -> ((arrived_packet_wait) U (output_port_free))),"[allocated_output_port_busy, arrived_packet_wait, output_port_free]"
"When the allocated output port becomes free, the input port connected to it after arbitration shall transfer one packet to the output port and then free the output port for subsequent arbitration and use by the same or another input port",G((output_port_free) -> ((packet_transfer) & X (free_output_port))),"[free_output_port, output_port_free, packet_transfer]"
"If one or more of the output ports in the multicast set cannot accept a new N-Char during packet transfer, the input port waits, and the N-Char is not sent to any of the multicast output ports until they are all ready",G(! (NChar_accepted) -> ((input_port_wait) & (! (NChar_sent) U (multicast_output_ports_ready)))),"[NChar_accepted, NChar_sent, input_port_wait, multicast_output_ports_ready]"
On receipt of the DISTRIBUTED-INTERRUPT.request primitive the SpaceWire end-point shall immediately send the interrupt code through its port,G((DISTRIBUTED_INTERRUPT_received) -> X (send_interrupt_code)),"[DISTRIBUTED_INTERRUPT_received, send_interrupt_code]"
On receipt of the BROADCAST-CODE.request primitive the port shall send the broadcast code immediately after the character current has finished being sent,G((BROADCAST_CODE_received) -> ((Character_sent) -> X (broadcast_code_sent))),"[BROADCAST_CODE_received, Character_sent, broadcast_code_sent]"
The effect on receipt of the DISCONNECT.indication primitive by the data link layer shall be for data link layer to move to the ErrorReset state,G((DISCONNECT_received) -> X (ErrorReset_state)),"[DISCONNECT_received, ErrorReset_state]"
The effect on receipt of the RECEIVE-ERROR.indication primitive by the data link layer shall be for data link layer to move to the ErrorReset state,G((RECEIVE_ERROR_received) -> X (ErrorReset_state)),"[ErrorReset_state, RECEIVE_ERROR_received]"
The function of the gotNull.indication primitive shall be to indicate to the data link layer that the first Null has been received after the receiver has been enabled,G(((receiver_enabled) -> F(Null_received)) -> (gotNull_indicated)),"[Null_received, gotNull_indicated, receiver_enabled]"
"The gotNull.indication primitive shall be passed to the data link layer, when the first Null is received without any errors after the receiver has been enabled.",G( receiver_enabled -> X(G(first_null_received_without_error) -> got_null_passed)),"[first_null_received_without_error, got_null_passed, receiver_enabled]"
Received characters and control codes shall be passed to the data link layer in the order in which they are received.,G( (receive_i -> X(F(receive_j))) -> (send_i & X(send_j)) ),"[receive_i, receive_j, send_i, send_j]"
"If the host system tries to send an interrupt acknowledgement too soon after a corresponding interrupt code has been received, i.e. before the interrupt code has propagated across the entire network, the result is indeterminate for that specific interrupt. The new interrupt acknowledgement code that the node sends can either be discarded by a router, or repeatedly propagated through the network if the network has circular connections.",G(((corr_interr_code_received) -> X( !( !(send_interr_ack) U(interr_code_prop)))) -> (G(new_interr_code_disc) & G(F(new_interr_code_prop)))),"[corr_interr_code_received, interr_code_prop, new_interr_code_disc, new_interr_code_prop, send_interr_ack]"
