Index,Requirement,Ground Truth,Response
8014,"If ( prop_1 ) then ( prop_4 ) , is equivalent to ( prop_3 ) , and also ( prop_2 ) .",prop_2 & (prop_3 <-> (prop_1 -> prop_4)),G(((prop_1 -> prop_4) <-> prop_3) & prop_2)
8015,"if ( prop_1 ) , at any time ( prop_2 )",prop_1 -> F prop_2,G(prop_1 -> G prop_2)
8016,at some time get_near flag and when possible make_to flag,F get_near_flag & F make_to_flag,F(get_near_flag & F(make_to_flag))
8019,"When ( prop_2 ) , and ( prop_1 ) , then in response in no time ( prop_4 ) and ( prop_3 ) .",G((prop_1 & prop_2) -> (prop_3 & prop_4)),G((prop_2 & prop_1) -> F(prop_4 & prop_3))
8021,Retrieve takeout_2 from restaurant_9 and transport it to house_1,F(restaurant_9 & F(takeout_2 & F(house_1 & pd))),F(restaurant_9 & takeout_2 & F(house_1 & takeout_2))
8023,"Once deliver the giraffe to the loading_dock has occurred, deliver the fire_hydrant to the loading_dock will never occur again.",G(deliver_giraffe_loading_dock -> XG!deliver_fire_hydrant_loading_dock),G(deliver_giraffe_loading_dock -> G(!deliver_fire_hydrant_loading_dock))
8024,"If ( prop_2 ) does not happen , then ( prop_1 ) , and also ( prop_3 ) .",prop_3 & (!prop_2 -> prop_1),G(!prop_2 -> (prop_1 & prop_3))
8025,never let_go apple and move_to trash can,move_to_trash_can & G!let_go_apple,G(!(let_go_apple & move_to_trash_can))
8029,"when at any time ( prop_1 ) , ( prop_2 )",F prop_1 -> prop_2,G(prop_1 -> prop_2)
8032,venture_towards house and never drop apple,venture_towards_house & G!drop_apple,G(venture_towards_house & !drop_apple)
8033,"If record the pedestrian on northwest_1st_street ever holds, get_help must have held beforehand.",F record_pedestrian_northwest_1st_street -> (!record_pedestrian_northwest_1st_street U (get_help & !record_pedestrian_northwest_1st_street)),!record_pedestrian_northwest_1st_street | F(get_help & F(record_pedestrian_northwest_1st_street))
8035,"Globally , whenever ( prop_2 ) , or ( prop_3 ) , then all of the following conditions are true : ( prop_1 ) .",G((prop_2 | prop_3) -> F prop_1),G((prop_2 | prop_3) -> prop_1)
8036,"For all time (prop_3), is equivalent to the scenario in which if (prop_2) then (prop_1) .",(prop_2 -> prop_1) <-> G prop_3,G (prop_3 ) <-> G (prop_2 -> prop_1 )
8037,"each time the escalator moves then after the car enters, eventually, the constructor instantiate objects",G(escalator_moves -> G(car_enters -> F constructor_instantiate_objects)),G((escalator_moves & F car_enters) -> F constructor_instantiate_objects)
8042,Do not approach intersection_5 before reaching street_4 and delivering pass_4 from house_4 to office_1,(!intersection_5 U street_4) & F(house_4 & F(p_pass_4 & F(office_1 & pd))),G(!intersection_5 U (street_4 & F(p_pass_4 & office_1)))
8043,repeatedly go_to apple trashcan or whenever visit trash bin,GF go_to_apple_trashcan | F visit_trash_bin,GF(go_to_apple_trashcan ) | G(visit_trash_bin -> F(go_to_apple_trashcan ))
8044,"First (prop_2) unless (prop_3) happens, then make sure to (prop_1) after you have witnessed (prop_4).",(prop_2 U prop_3) -> (prop_1 -> prop_4),(prop_2 U prop_3) & G(prop_4 -> F(prop_1))
8045,If at some point ( prop_3 ) or ( prop_2 ) or ( prop_1 ) then ( prop_4 ) .,(prop_1 | prop_2 | prop_3) -> prop_4,F(prop_3 | prop_2 | prop_1) -> prop_4
8047,whenever acquire pear until pick_up flag,F acquire_pear U pick_up_flag,G(acquire_pear U pick_up_flag)
8050,"If (prop_1), (prop_2) and (prop_3) as well.",prop_1 -> (prop_2 & prop_3),G(prop_1 -> (prop_2 & prop_3))
8052,"Take a video of safe_civilian should always hold, with at most a two-step grace period for recovery.",!G!(record_safe_civilian & X record_safe_civilian),G(record_safe_civilian | X record_safe_civilian | X X record_safe_civilian)
8056,Refrain from entering locality 5 until you collect pass 5 from house 2 and deposit it in office 3,!locality_5 U (house_2 & F(p_pass_5 & F(office_3 & pd))),!locality_5 U (p_pass_5 & F(office_3))
8057,"For each time instant in the coming time units either if ( prop_3 ) then ( prop_2 ) , or else ( prop_1 ) .",prop_1 | G(prop_3 -> prop_2),G((prop_3 -> prop_2) | prop_1)
8058,"If (prop_1) or (prop_2), then keep (prop_4) until (prop_3) .",(prop_1 | prop_2) -> (prop_4 U prop_3),G((prop_1 | prop_2) -> (prop_4 U prop_3))
8059,at any time ( prop_1 ) can infer that ( prop_2 ),F prop_1 -> prop_2,G(prop_1 -> prop_2)
8060,Persistently photograph building 5 while maintaining consistent visits to charger 4,GF(building_5 & photo) & GF charger_4,G(photo & building_5 & charger_4)
8061,"Globally , when ( prop_3 ) or ( prop_2 ) then in response ( prop_1 ) and then consecutively this condition will have to sustain until ( prop_4 ) .",G((prop_2 | prop_3) -> (prop_1 U prop_4)),G((prop_3 | prop_2) -> F(prop_1 & (prop_1 U prop_4)))
8063,"It is always the case that while the event that ( prop_1 ) is n't detected , or ( prop_2 ) , then the following condition is true : for every time instant in the future until the execution ends , finally there should be a certain moment during the coming 17 time units , at which the transition action that ( prop_3 ) .",G((prop_1 | prop_2) -> GF prop_3),G((!prop_1 | prop_2) -> G(F prop_3))
8064,whenever ( prop_1 ) or whenever ( prop_2 ),F(prop_1 | F prop_2),G(prop_1 | prop_2)
8065,Either (prop_2) doesn't happen or (prop_1) is equivalent to (prop_3) .,!prop_2 | (prop_1 <-> prop_3),G(!prop_2 | (prop_1 <-> prop_3))
8066,at any time ( prop_1 ) or forever ( prop_2 ),F(prop_1 | G prop_2),F(prop_1 ) | G(prop_2 )
8067,"If ( prop_1 ) or ( prop_4 ) , then the above scenario is equivalent to ( prop_2 ) , or else ( prop_3 ) .",prop_3 | (prop_2 <-> (prop_1 | prop_4)),G(((prop_1 | prop_4) -> prop_2) & (! (prop_1 | prop_4) -> prop_3))
8068,Continuously take pictures of building_5 while repeatedly visiting charger_4,GF(building_5 & photo) & GF charger_4,G(photo & building_5) & GF(charger_4)
8071,"Once avoid the probable_flood has occurred, communicate the injured_hostile will never occur again.",G(avoid_probable_flood -> XG!communicate_injured_hostile),G(avoid_probable_flood -> G(!communicate_injured_hostile))
8072,"Either keep (prop_3) finally, or if (prop_2), then make sure (prop_1) .",(prop_2 -> prop_1) | F prop_3,F prop_3 | G(prop_2 -> prop_1)
8078,Ensure you avoid street_4 until intersection_2 is reached while picking up trash_13 at house_13,(!street_4 U intersection_2) & F(house_13 & p_trash_13),G((p_trash_13 & house_13) -> (!street_4 U intersection_2))
8081,"(prop_1). Once (prop_3), (prop_2)",prop_1 & (prop_3 -> prop_2),G(prop_1) & G(prop_3 -> F prop_2)
8082,"Globally , if ( prop_1 ) then in response there ought to exist a time in the future before the simulation ends eventually , after which consecutively ( prop_2 ) .",G(prop_1 -> FG prop_2),G(prop_1 -> F(prop_2))
8084,when possible ( prop_1 ) and ( prop_2 ),F(prop_1 & prop_2),G(prop_1 & prop_2)
8085,at some time ( prop_1 ) or always ( prop_2 ),F(prop_1 | G prop_2),F prop_1 | G prop_2
8086,"If ( prop_2 ) then ( prop_3 ) , and also ( prop_4 ) , or else ( prop_1 ) .",prop_1 | (prop_4 & (prop_2 -> prop_3)),G((prop_2 -> (prop_3 & prop_4)) | prop_1)
8088,Ensure crate_8 is delivered from mall_5 to office_6 over and over again,GF(mall_5 & F(p_crate_8 & F(office_6 & pd))),G(F(pd & p_crate_8 & mall_5 & F(pd & p_crate_8 & office_6)))
8092,"If (prop_1) and (prop_2) occur, then ensure that (prop_3) always happens afterwards .",(prop_1 & prop_2) -> G prop_3,G((prop_1 & prop_2) -> G(prop_3))
8095,"If search the sheep ever holds, get_help must have held beforehand.",F search_sheep -> (!search_sheep U (get_help & !search_sheep)),!search_sheep | F(get_help & F(search_sheep))
8096,"( prop_4 ) is equivalent to ( prop_1 ) will lead to ( prop_2 ) , or else ( prop_3 ) .",prop_3 | ((prop_1 <-> prop_4) -> prop_2),G(prop_4 <-> ((prop_1 -> F prop_2) | prop_3))
8097,never ( prop_1 ) and at some time ( prop_2 ),G(!prop_1 & F prop_2),G(!prop_1 ) & F(prop_2 )
8101,"finally, either the semaphore is green or the bar is up and, it will happen that both the table is old and the bar has to be repaired afterwards",G!(bar_is_up | semaphore_is_green) | F((bar_is_up | semaphore_is_green) & F(bar_has_to_be_repaired & table_is_old)),F((semaphore_is_green | bar_is_up) & F(table_is_old & F(bar_has_to_be_repaired)))
8102,never ( prop_1 ) and whenever ( prop_2 ),G(!prop_1 & F prop_2),G(!prop_1 ) & G(prop_2 -> prop_2 )
8103,at some time ( prop_1 ) means that repeatedly ( prop_2 ),F prop_1 -> GF prop_2,F(prop_1 -> GF prop_2)
8104,never ( prop_1 ) or when possible ( prop_2 ),G(!prop_1 | F prop_2),G(!prop_1 ) | G(prop_2 )
8106,"Globally , when the event that ( prop_3 ) does n't get observed and ( prop_1 ) then the following condition holds : for each moment in the future until the end of the simulation , at a certain time point in the future , ultimately ( prop_2 ) .",G((prop_1 & prop_3) -> GF prop_2),G((! prop_3 & prop_1) -> G(F prop_2))
8107,when possible ( prop_1 ) until whenever ( prop_2 ),F(prop_1 U F prop_2),prop_1 U prop_2
8108,"If ( prop_4 ) and ( prop_3 ) , or else ( prop_2 ) , or else ( prop_1 ) .",prop_1 | prop_2 | (prop_3 & prop_4),G((prop_4 & prop_3) | prop_2 | prop_1)
8109,If ( prop_2 ) and ( prop_3 ) and the scenario that ( prop_4 ) is detected or in case that ( prop_1 ) is true .,prop_1 | (prop_2 & prop_3 & prop_4),G(((prop_2 & prop_3 & prop_4) | prop_1))
8110,"While (prop_3) is always true, make sure (prop_1) and (prop_2) are both true .",G prop_3 -> (prop_1 & prop_2),G(prop_3 -> (prop_1 & prop_2))
8111,"Until (prop_1) is equivalent to (prop_2), do not do (prop_3) .",!prop_1 U (prop_2 <-> prop_3),(!prop_3 ) U (prop_1 <-> prop_2 )
8115,"Until either (prop_1) or (prop_3) happens, (prop_2) should not have happened .",!prop_1 U (prop_2 | prop_3),(!prop_2 ) U (prop_1 | prop_3 )
8116,"On the way to achieve (prop_4), if (prop_1) occurs, then do (prop_3), but don't (prop_2) no matter what happens.",!prop_2 & prop_4 & (prop_1 -> prop_3),G(!prop_4 -> (prop_1 -> F prop_3)) & G(!prop_2)
8118,collect pear and put_in bucket,collect_pear & put_in_bucket,F(collect_pear & F(put_in_bucket))
8120,whenever go_to tree and do not pick_up anything,F go_to_tree & !F pick_up_anything,G(go_to_tree & !pick_up_anything)
8121,"If you do not do (prop_2), then make sure that (prop_3) is equivalent to (prop_1) .",!prop_2 -> (prop_1 <-> prop_3),G(!prop_2 -> (prop_3 <-> prop_1))
8123,( prop_1 ) and at any time ( prop_2 ),prop_1 & F prop_2,prop_1 & G(prop_2 )
8124,repeatedly ( prop_1 ) and whenever ( prop_2 ),G(F prop_1 & F prop_2),GF(prop_1 ) & G(prop_2 -> prop_2 )
8125,"If you do either (prop_2) or (prop_1), then you should do both (prop_4) and (prop_3), and vice versa .",(prop_1 | prop_2) <-> (prop_3 & prop_4),G((prop_2 | prop_1) <-> (prop_4 & prop_3))
8132,"The scenario that ( prop_2 ) happens until the scenario that ( prop_3 ) , or the scenario that ( prop_1 ) , or the scenario that ( prop_4 ) should happen .",prop_1 | prop_4 | (prop_2 U prop_3),(prop_2 U (prop_3 | prop_1 | prop_4))
8133,"Whenever communicate the safe_rescuer and photo debris are equal, photo debris and communicate the injured_victim are equal as well.",G((communicate_safe_rescuer <-> photo_debris) -> (communicate_injured_victim <-> photo_debris)),G((communicate_safe_rescuer & photo_debris) -> (photo_debris & communicate_injured_victim))
8134,at any time have_possession_of apple and capture orange,capture_orange & F have_possession_of_apple,G(have_possession_of_apple & capture_orange)
8137,whenever venture_to house or secure apple,secure_apple | F venture_to_house,G(venture_to_house | secure_apple)
8138,"if venture_towards house , whenever bring pear",venture_towards_house -> F bring_pear,G(venture_towards_house -> G(bring_pear))
8142,when possible go_near pear and at any time pass_by waste receptacle,F go_near_pear & F pass_by_waste_receptacle,F(go_near_pear ) & G(pass_by_waste_receptacle )
8146,"after both the bar is down and a semaphore is red, in any case either a semaphore is green or the house collapses",G((bar_is_down & semaphore_is_red) -> G(house_collapses | semaphore_is_green)),G((bar_is_down & semaphore_is_red) -> F(semaphore_is_green | house_collapses))
8153,whenever a bridge opens or a motorbike has started then it is always the case that the semaphore is yellow,G((bridge_opens | motorbike_has_started) -> G semaphore_is_yellow),G((bridge_opens | motorbike_has_started) -> semaphore_is_yellow)
8154,Deliver brochure_3 from table_9 to park_2,F(table_9 & F(p_brochure_3 & F(park_2 & pd))),F(pd & p_brochure_3 & table_9 & F(pd & p_brochure_3 & park_2))
8155,"Either the scenario in which ( prop_3 ) is equivalent to the scenario in which ( prop_2 ) happens, or ( prop_1 ) or ( prop_4 ) should happen.",prop_1 | prop_4 | (prop_2 <-> prop_3),(prop_3 <-> prop_2) | F(prop_1 | prop_4)
8157,never ( prop_1 ) or at any time ( prop_2 ),G(!prop_1 | F prop_2),G(!prop_1 ) | F(prop_2 )
8158,"If it is not the case that ( prop_3 ) and also ( prop_1 ) , then ( prop_2 ) .",!(prop_1 & prop_3) -> prop_2,G(!(prop_3 & prop_1) -> prop_2)
8159,do not let_go orange and go_to orange bin,go_to_orange_bin & !let_go_orange,G(!let_go_orange & go_to_orange_bin)
8162,when possible ( prop_1 ) until at some time ( prop_2 ),F(prop_1 U F prop_2),prop_1 U prop_2
8163,whenever ( prop_1 ) and ( prop_2 ),F(prop_1 & prop_2),G(prop_1 & prop_2)
8164,"(prop_2), then (prop_1).",prop_2 U prop_1,G(prop_2 -> F(prop_1))
8165,"Do not do (prop_1), or you should do either (prop_3) or (prop_2) .",!prop_1 | prop_2 | prop_3,G(prop_1 -> F(prop_3 | prop_2))
8167,"If (prop_4), then do (prop_1), but keep doing (prop_2) until (prop_3) .",(prop_4 -> prop_1) & (prop_2 U prop_3),G(prop_4 -> (prop_1 & (prop_2 U prop_3)))
8168,"Globally , when the event that ( prop_4 ) takes place and ( prop_1 ) , then the following condition is true : simultaneously ( prop_2 ) or without any delay ( prop_3 ) .",G((prop_1 & prop_4) -> (prop_2 | prop_3)),G((prop_4 & prop_1) -> (prop_2 | X prop_3))
8170,"If (prop_2) and (prop_3), then do not do (prop_1) .",(prop_2 & prop_3) -> !prop_1,G((prop_2 & prop_3) -> !prop_1)
8171,at some time stop_by house or at any time go_to trashcan,F stop_by_house | F go_to_trashcan,F stop_by_house | G go_to_trashcan
8172,"Ensure you stay away from intersection 5 until street 4 is reached, while delivering pass 4 from house 4 to office 1",(!intersection_5 U street_4) & F(house_4 & F(p_pass_4 & F(office_1 & pd))),G(!intersection_5 U street_4) & G(p_pass_4 & house_4 -> F(p_pass_4 & office_1))
8173,"It is always the case that everytime when the transition action that ( prop_1 ) and ( prop_3 ) , then all of the following conditions hold : ( prop_2 ) .",G((prop_1 & prop_3) -> G prop_2),G((prop_1 & prop_3) -> prop_2)
8176,whenever go_to trash receptacle and always have apple,F go_to_trash_receptacle & G have_apple,G(go_to_trash_receptacle & G have_apple)
8178,"Release any item in your possession and head to park 4, staying there permanently",F(pd & F(park_4 & G park_4)),F(!pd & F(G park_4))
8181,"Either (prop_1) and (prop_3) happen at the same time, or else (prop_2) always happens .",(prop_1 & prop_3) | G prop_2,F(prop_1 & prop_3) | G(prop_2)
8182,Keep taking crate_8 from warehouse_4 to store_8 and also keep visiting charger_2,GF(warehouse_4 & F(p_crate_8 & F(pd & store_8))) & GF charger_2,G(F(p_crate_8 & warehouse_4 & F store_8)) & G(F charger_2)
8183,always a bridge opens and the engine starts implies that it will not happen that either the semaphore is yellow or the brake is released,G((bridge_opens & engine_starts) -> G!(brake_is_released | semaphore_is_yellow)),G((bridge_opens & engine_starts) -> ! (semaphore_is_yellow | brake_is_released))
8185,"If (prop_1) happens and continues until (prop_2), then (prop_3) should not happen .",(prop_1 U prop_2) -> !prop_3,G((prop_1 U prop_2) -> !prop_3)
8186,"In this task, photo injured_person, then communicate the safe_hostile.",photo_injured_person U communicate_safe_hostile,G(photo_injured_person -> F(communicate_safe_hostile))
8191,whenever ( prop_1 ) can infer that ( prop_2 ),F prop_1 -> prop_2,G(prop_1 -> prop_2)
8193,"If ( prop_1 ) then ( prop_3 ) , or else ( prop_2 ) , or else ( prop_4 ) .",prop_2 | prop_4 | (prop_1 -> prop_3),G((prop_1 -> prop_3) | (!prop_1 & prop_2) | (!prop_1 & !prop_2 & prop_4))
8195,"Until (prop_1) is equivalent to (prop_2), if (prop_3) happens then (prop_4) should also happen .",(prop_1 -> prop_2) U (prop_3 <-> prop_4),(! (prop_1 <-> prop_2)) U ((prop_3 -> prop_4) & (prop_1 <-> prop_2))
8196,Request assistance can only happen after looking for the bed.,!get_help U search_bed,G(!get_help U search_bed)
8197,"If (prop_2) then (prop_3), and then not (prop_1) .",(prop_2 -> prop_3) -> !prop_1,G((prop_2 -> prop_3) -> F(!prop_1))
8200,whenever ( prop_1 ) until ( prop_2 ),F(prop_1 U prop_2),G(prop_1 U prop_2)
8201,forever stay or get_to tree,get_to_tree | G stay,G(stay | get_to_tree)
8202,"Our agent must eventually, avoid doing not go near the impending_debris.",F!avoid_impending_debris,F(avoid_impending_debris )
8203,The scenario in which (prop_2) is equivalent to the scenario in which (prop_3) happens and (prop_1) should happen all the time .,(prop_2 <-> prop_3) & G prop_1,G(prop_2 <-> (prop_3 & G prop_1))
8205,"It is required that at some future time instant the scenario that ( prop_1 ) is equivalent to the scenario that ( prop_2 ) , and that ( prop_3 ) .",prop_3 & F(prop_1 <-> prop_2),F((prop_1 <-> prop_2) & prop_3 )
8207,"If deliver the frisbee to the shelf holds, then in the next step get_help persists until picking up the parking_meter holds, or else get_help holds forever.",deliver_frisbee_shelf -> X((get_help U pickup_parking_meter) | G get_help),G(deliver_frisbee_shelf -> X(get_help U pickup_parking_meter | G get_help))
8209,For all time make sure (prop_3) happens and keep (prop_1) equivalent to (prop_2) .,(prop_1 <-> prop_2) & G prop_3,G(prop_3 & (prop_1 <-> prop_2))
8212,"at some point either the engine stops or the train is crossing and, finally, both a train derails and a train is crossing afterwards",G!(engine_stops | train_is_crossing) | F((engine_stops | train_is_crossing) & F(train_derails & train_is_crossing)),F((engine_stops | train_is_crossing) & F(train_derails & F(train_is_crossing)))
8214,You must eventually change light_east green and change light_south green.,F(change_light_east_green & change_light_south_green),F(change_light_east_green & F(change_light_south_green)) | F(change_light_south_green & F(change_light_east_green))
8216,whenever go_by tree or repeatedly make_way_to house,F go_by_tree | GF make_way_to_house,G(go_by_tree | GF make_way_to_house)
8217,"Either (prop_3), (prop_1), or not (prop_2) .",prop_1 | !prop_2 | prop_3,G(prop_3 | prop_1 | ! prop_2)
8219,"(prop_3) doesn't happen, or make sure (prop_1) and (prop_2) both happen .",!prop_3 | (prop_1 & prop_2),G(!prop_3 ) | F(prop_1 & prop_2 )
8220,"Globally , during the interval that ( prop_3 ) or ( prop_2 ) , then the following condition holds : without interruption the transition action that ( prop_4 ) ought never to happen until ( prop_1 ) .",G((prop_2 | prop_3) -> (prop_4 U prop_1)),G((prop_3 | prop_2) -> (!prop_4 U prop_1))
8221,"Globally , during the interval that ( prop_3 ) and ( prop_1 ) then the following condition holds : the event that ( prop_2 ) needs to get observed at the same time instant and simultaneously the transition action that ( prop_4 ) should never occur .",G((prop_1 & prop_3) -> (prop_2 & prop_4)),G((prop_3 & prop_1) -> (prop_2 & !prop_4))
8222,whenever both the engine stops and the bridge opens then in any case a motorbike catches fire and the engine breaks,G((bridge_opens & engine_stops) -> G(engine_breaks & motorbike_catches_fire)),G((engine_stops & bridge_opens) -> (motorbike_catches_fire & engine_breaks))
8223,"Ensure that (prop_1) is always true, and if (prop_2), then make sure (prop_3) happens .",(prop_2 -> prop_3) & G prop_1,G(prop_1 ) & G(prop_2 -> F(prop_3 ))
8224,"Idle must hold until get_help does, or else idle holds forever.",(idle U get_help) | G idle,idle R get_help
8225,"Globally , everytime when the scenario that ( prop_2 ) is observed , and ( prop_4 ) , then in response promptly ( prop_3 ) , and instantly the transition action that ( prop_1 ) needs to be observed .",G((prop_2 & prop_4) -> (prop_1 & prop_3)),G((prop_2 & prop_4) -> (prop_3 & X prop_1))
8227,"If it is not the case that ( prop_3 ) is equivalent to ( prop_1 ) , then ( prop_2 ) .",!(prop_1 <-> prop_3) -> prop_2,G(!(prop_3 <-> prop_1) -> prop_2)
8229,move_to house and repeatedly go_to pear,move_to_house & GF go_to_pear,G(move_to_house & GF go_to_pear)
8230,"If (prop_1), (prop_3) until (prop_2).",prop_1 -> (prop_3 U prop_2),G(prop_1 -> (prop_3 U prop_2))
8232,It is not the case that ( prop_2 ) and ( prop_1 ) is detected and this scenario will hold until ( prop_3 ) .,!(prop_1 & prop_2) U prop_3,!(!(prop_2 & prop_1) U prop_3)
8234,at some time grab orange and don't let_go pear,!let_go_pear & F grab_orange,F(grab_orange & !let_go_pear)
8235,go through either the yellow or the green_room to get to the blue_room,F((green_room | yellow_room) & F blue_room),(! (yellow_room | green_room)) | F((yellow_room | green_room) & F(blue_room))
8236,"if hold apple , put_in bucket",hold_apple -> put_in_bucket,G(hold_apple -> F put_in_bucket)
8240,whenever obtain orange or at some time make_your_way flag,F obtain_orange | F make_your_way_flag,G(obtain_orange | F make_your_way_flag)
8242,"first, it is going to happen that a train has arrived, and then, finally, the bar is closing or a table is brown",G!train_has_arrived | F(train_has_arrived & F(bar_is_closing | table_is_brown)),!train_has_arrived | F(train_has_arrived & F(bar_is_closing | table_is_brown))
8244,Continuously visit charger 12 while repeatedly transporting box 1 from house 5 to house 23,GF charger_12 & GF(house_5 & F(p_box_1 & F(house_23 & pd))),G(charger_12 ) & G(F(p_box_1 & house_5 & F(p_box_1 & house_23 )))
8245,"( prop_3 ) does not happen and also ( prop_1 ) , and ( prop_2 ) .",prop_1 & prop_2 & !prop_3,G(!prop_3 & prop_1 & prop_2)
8247,( prop_1 ) until whenever ( prop_2 ),prop_1 U F prop_2,prop_1 U prop_2
8249,keep revisiting charger 4 as you consistently photograph area 5,GF charger_4 & GF(area_5 & photo),G((photo & area_5) -> F(charger_4))
8250,"The scenario in which (prop_1) is equivalent to the scenario in which (prop_3) happens, and the scenario in which (prop_2) is equivalent to the scenario in which (prop_4) happens .",(prop_1 <-> prop_3) & (prop_2 <-> prop_4),G((prop_1 <-> prop_3) & (prop_2 <-> prop_4))
8251,"If (prop_2) implies (prop_1), then make sure (prop_3) eventually happens .",(prop_2 -> prop_1) -> F prop_3,G((prop_2 -> prop_1) -> F(prop_3 ))
8254,at some time ( prop_1 ) or never ( prop_2 ),F(prop_1 | G!prop_2),F prop_1 | G ! prop_2
8255,Stay in area_2 as you keep goint to building_8 to photo,G area_2 & GF(building_8 & photo),G(area_2 U (building_8 & photo))
8260,"Before you begin (prop_2), you must first make sure you (prop_1).",prop_2 -> G prop_1,!prop_2 U prop_1
8262,"It is required that at some point in the future , either ( prop_3 ) or ( prop_2 ) should be detected , then as a response ( prop_1 ) .",F(prop_2 | prop_3) -> prop_1,F((prop_3 | prop_2) & F(prop_1))
8266,"Either do (prop_4) and (prop_3) at the same time, or else if you do (prop_2), then you should also do (prop_1) .",(prop_2 -> prop_1) | (prop_3 & prop_4),(prop_4 & prop_3) | G(prop_2 -> prop_1)
8268,If ( prop_1 ) and ( prop_3 ) and the scenario that ( prop_2 ) is detected then it should be the case that ( prop_4 ) .,(prop_1 & prop_2 & prop_3) -> prop_4,G((prop_1 & prop_3 & prop_2) -> prop_4)
8269,"eventually, either the bar has to be repaired or the table is old and, it is going to happen that the brake is pressed or the motorbike has started afterwards",G!(bar_has_to_be_repaired | table_is_old) | F((bar_has_to_be_repaired | table_is_old) & F(brake_is_pressed | motorbike_has_started)),F((bar_has_to_be_repaired | (table_is_old & F(brake_is_pressed | motorbike_has_started))))
8274,When ( prop_3 ) or the transition action that ( prop_1 ) gets detected then all of the following conditions hold : ( prop_2 ) .,G((prop_1 | prop_3) -> G prop_2),G((prop_3 | prop_1) -> prop_2)
8275,"(prop_2) and (prop_4), then (prop_3) and (prop_1), until (prop_5).",(prop_2 & prop_4) -> ((prop_1 & prop_3) U prop_5),G((prop_2 & prop_4) -> ((prop_3 & prop_1) U prop_5))
8276,when possible ( prop_1 ) or never ( prop_2 ),F(prop_1 | G!prop_2),F(prop_1 ) | G(!prop_2 )
8279,put_in bucket and always have apple,put_in_bucket & G have_apple,G(put_in_bucket & have_apple)
8280,"It is always the case that if ( prop_2 ) , and ( prop_1 ) , then all of the following conditions hold : in the future before the simulation ends , continuously ( prop_3 ) .",G((prop_1 & prop_2) -> G prop_3),G((prop_2 & prop_1) -> (prop_3 U simulation_ends))
8281,"Globally , while ( prop_4 ) or ( prop_1 ) , then there will have to be a certain moment in the future before the simulation ends ultimately , at which ( prop_3 ) , and before this ( prop_2 ) .",G((prop_1 | prop_4) -> (prop_3 U prop_2)),G((prop_4 | prop_1) -> F(prop_2 & F(prop_3)))
8282,Whenever ( prop_3 ) or ( prop_2 ) then immediately ( prop_1 ) .,G((prop_2 | prop_3) -> prop_1),G((prop_3 | prop_2) -> X(prop_1))
