Index,Requirement,Ground Truth,Response,Equivalent
9885,at any time travel_to flag and when possible grasp apple,F travel_to_flag & F grasp_apple,G(travel_to_flag) & F(grasp_apple),False
9886,"If ( prop_2 ) and ( prop_1 ) are equivalent to ( prop_4 ) , and also ( prop_3 ) .",prop_3 & (prop_4 <-> (prop_1 & prop_2)),((prop_2 & prop_1) <-> prop_4) & prop_3,True
9887,go_by waste bin until go_by waste bin,go_by_waste_bin,go_by_waste_bin U go_by_waste_bin,True
9888,Continuously take pictures of street_3,GF(photo & street_3),G(photo & street_3),False
9889,Avoid picking up cone 2 until you have reached intersection 4,!p_cone_2 U intersection_4,!p_cone_2 U intersection_4,True
9890,"Either while (prop_2), make (prop_3), or make sure (prop_1) eventually .",(prop_2 -> prop_3) | F prop_1,(prop_2 U prop_3) | F prop_1,False
9891,venture_towards house and never drop apple,venture_towards_house & G!drop_apple,venture_towards_house & G(!drop_apple),True
9892,If ( prop_1 ) and ( prop_4 ) or ( prop_3 ) then the above scenario is equivalent to ( prop_2 ) .,prop_2 <-> (prop_3 | (prop_1 & prop_4)),((prop_1 & prop_4) | prop_3) <-> prop_2,True
9893,whenever ( prop_1 ) or when possible ( prop_2 ),F(prop_1 | F prop_2),G(prop_1 | F prop_2),False
9894,"when when possible ( prop_1 ) , whenever ( prop_2 )",F prop_1 -> F prop_2,G(prop_1 -> G(prop_2)),False
9895,"It is always the case that if (prop_2), then (prop_1), which is equivalent to saying that (prop_3) is true for all time .",(prop_2 -> prop_1) <-> G prop_3,G(prop_2 -> prop_1) <-> G(prop_3),False
9896,"Until (prop_1) or (prop_3) happens, keep (prop_2) being false .",!prop_1 U (prop_2 | prop_3),(!prop_2) U (prop_1 | prop_3),False
9897,"Stay away from the nearest_debris and get_help never coincide, yet one of them is always true.",G!(avoid_nearest_debris & get_help) & G(avoid_nearest_debris | get_help),G(!(avoid_nearest_debris & get_help) & (avoid_nearest_debris | get_help)),True
9898,The scenario in which (prop_3) or (prop_1) happens is equivalent to the scenario in which (prop_2) happens globally .,(prop_1 | prop_3) <-> G prop_2,(prop_3 | prop_1) <-> G prop_2,True
9899,"It is true that ( prop_3 ) or ( prop_2 ) is equivalent to ( prop_1 ) , or ( prop_4 ) .",prop_4 | (prop_1 <-> (prop_2 | prop_3)),(prop_3 | (prop_2 <-> prop_1)) | prop_4,False
9900,"At some point during the simulation either ( prop_2 ) or ( prop_3 ) should happen , and ( prop_1 ) .",prop_1 & F(prop_2 | prop_3),F((prop_2 | prop_3) & prop_1),False
9901,"forever, the semaphore is red or the engine stops",G(engine_stops | semaphore_is_red),G(semaphore_is_red | engine_stops),True
9902,"If (prop_2) then (prop_1) if and only if, (prop_3) if and only if (prop_4) .",(prop_2 -> prop_1) <-> (prop_3 <-> prop_4),(prop_2 -> (prop_1 <-> (prop_3 <-> prop_4))),False
9903,the house is built involves that always when a sensor retrieves data then at some point in time a train derails,G(house_is_built -> G(sensor_retrieves_data -> F train_derails)),house_is_built -> G(sensor_retrieves_data -> F train_derails),False
9904,never ( prop_1 ) or ( prop_2 ),G(!prop_1 | prop_2),G(!(prop_1 | prop_2)),False
9905,at any time come home and at any time secure pear,F come_home & F secure_pear,(GF come_home) & (GF secure_pear),False
9906,at any time ( prop_1 ) or repeatedly ( prop_2 ),F(prop_1 | GF prop_2),G(prop_1) | G(prop_2),False
9907,( prop_1 ) and repeatedly ( prop_2 ),prop_1 & GF prop_2,prop_1 & G prop_2,False
9908,Avoid entering room 2 until you take bottle 4 from kitchen 1 and place it on table 4,!room_2 U (kitchen_1 & F(p_bottle_4 & F(pd & table_4))),!(room_2) U (p_bottle_4 & kitchen_1 & table_4),False
9909,repeatedly go_to pear and when possible collect apple,GF go_to_pear & F collect_apple,GF(go_to_pear) & GF(collect_apple),False
9910,in the future the engine breaks and together a manager handles requests and the train stops,F(engine_breaks & manager_handles_requests & train_stops),F(engine_breaks & manager_handles_requests & train_stops),True
9911,"Either (prop_1) does not happen, or both (prop_3) and (prop_2) happen at the same time.",!prop_1 | (prop_2 & prop_3),(!prop_1 | (prop_3 & prop_2)),True
9912,"Do not go to intersection 1 before arriving at street 6, and ensure you take cone 3 from street 2 and place it in intersection 1",(!intersection_1 U street_6) & F(street_2 & F(p_cone_3 & F(intersection_1 & pd))),(!intersection_1 U street_6) & F(street_2 & p_cone_3) & F(intersection_1 & p_cone_3),False
9913,"after both the car starts and a table is brown, in the future the house is open and the bridge opens",G((car_starts & table_is_brown) -> F(bridge_opens & house_is_open)),(car_starts & table_is_brown) -> F (house_is_open & bridge_opens),False
9914,"Globally, it is not the case that both record safe_person and get_help hold simultaneously.",G!(get_help & record_safe_person),G(!(record_safe_person & get_help)),True
9915,"Whenever ( prop_1 ) or ( prop_3 ) , then the following condition holds : simultaneously ( prop_2 ) .",G((prop_1 | prop_3) -> prop_2),G((prop_1 | prop_3) -> prop_2),True
9916,"sooner or later both the car starts and the bar is down and, it is going to happen that the engine stops or the constructor instantiate objects afterwards",G!(bar_is_down & car_starts) | F(bar_is_down & car_starts & F(constructor_instantiate_objects | engine_stops)),F((car_starts & bar_is_down) & F(engine_stops | X constructor_instantiate_objects)),False
9917,whenever secure pear and whenever be_at flag,F secure_pear & F be_at_flag,G(secure_pear) & G(be_at_flag),False
9918,"Eventually, do (prop_1), or else if (prop_3) happens, then do (prop_2).",(prop_3 -> prop_2) | F prop_1,F(prop_1 | (prop_3 -> prop_2)),False
9919,repeatedly ( prop_1 ) and never ( prop_2 ),G(F prop_1 & G!prop_2),GF prop_1 & G ! prop_2,True
9920,"If (prop_2) or (prop_1), then keep (prop_3) until (prop_4) .",(prop_1 | prop_2) -> (prop_3 U prop_4),(prop_2 | prop_1) -> (prop_3 U prop_4),True
9921,hold_on_to pear and never drop apple,hold_on_to_pear & G!drop_apple,hold_on_to_pear & G(!drop_apple),True
9922,"Whenever the event that ( prop_2 ) happens and ( prop_4 ) then in response at once ( prop_3 ) , and promptly ( prop_1 ) .",G((prop_2 & prop_4) -> (prop_1 & prop_3)),G((prop_2 & prop_4) -> (prop_3 & X prop_1)),False
9923,it will not happen that both a constructor creates instances and a bridge opens,G!(bridge_opens & constructor_creates_instances),!(constructor_creates_instances & bridge_opens),False
9924,Take a picture of the pedestrian on west_5th_avenue can only happen after recording the person on southeast_2nd_avenue.,!photo_pedestrian_west_5th_avenue U record_person_southeast_2nd_avenue,!photo_pedestrian_west_5th_avenue U record_person_southeast_2nd_avenue,True
9925,"Globally , when ( prop_3 ) or ( prop_2 ) then all of the following conditions hold : ( prop_1 ) .",G((prop_2 | prop_3) -> F prop_1),G((prop_3 | prop_2) -> prop_1),False
9926,"From some point onwards, deliver the broccoli to the loading_dock never occurs again.",FG!deliver_broccoli_loading_dock,FG(!deliver_broccoli_loading_dock),True
9927,"It is always the case that while ( prop_3 ) or ( prop_1 ) then there ought to be a certain moment in the future before the end of the simulation , at which ( prop_2 ) , and before that consecutively ( prop_4 ) .",G((prop_1 | prop_3) -> (prop_2 U prop_4)),G((prop_3 | prop_1) -> F(prop_4 && F prop_2)),False
9928,at some time ( prop_1 ) or forever ( prop_2 ),F(prop_1 | G prop_2),F prop_1 | G prop_2,False
9929,"if forever moving , at some time stop_by house",G moving -> F stop_by_house,G moving -> F stop_by_house,True
9930,"Whenever ( prop_1 ) , and ( prop_4 ) , then in response the scenario that ( prop_2 ) should occur at the same time point or at the same moment the event that ( prop_3 ) ought not to take place .",G((prop_1 & prop_4) -> (prop_2 | prop_3)),G((prop_1 & prop_4) -> (prop_2 & !prop_3)),False
9931,"If ( prop_2 ) is equivalent to ( prop_1 ) and also ( prop_3 ) , then the scenario above implies ( prop_4 ) .",(prop_3 & (prop_1 <-> prop_2)) -> prop_4,((prop_2 <-> (prop_1 & prop_3)) -> prop_4),False
9932,"You do not do (prop_2), and you should do either (prop_1) or (prop_3) .",!prop_2 & (prop_1 | prop_3),(!prop_2) & (prop_1 | prop_3),True
9933,"If ( prop_1 ) and ( prop_4 ) and ( prop_3 ) , or else ( prop_2 ) .",prop_2 | (prop_1 & prop_3 & prop_4),(prop_1 & prop_4 & prop_3) | prop_2,True
9934,Repeatedly photograph area_51 while ensuring you also return to charger_4 regularly,GF(area_51 & photo) & GF charger_4,GF(photo & area_51) & GF(charger_4),True
9935,take_to trash can and forever have apple,take_to_trash_can & G have_apple,take_to_trash_can & G have_apple,True
9936,"From some point onwards, communicate the safe_hostile never occurs again.",FG!communicate_safe_hostile,FG(!communicate_safe_hostile),True
9937,"It is always the case that when ( prop_1 ) , then the following condition holds : ( prop_2 ) , or at the same time instant ( prop_3 ) .",G(prop_1 -> (prop_2 | prop_3)),G(prop_1 -> (prop_2 | prop_3)),True
9938,( prop_1 ) and at any time ( prop_2 ),prop_1 & F prop_2,prop_1 & G prop_2,False
9939,"If ( prop_4 ) and ( prop_3 ) are equivalent then ( prop_2 ) , or ( prop_1 ) is true .",prop_1 | ((prop_3 <-> prop_4) -> prop_2),((prop_4 <-> prop_3) -> prop_2) | prop_1,True
9940,Eventually go to table 4 and remain there permanently,FG table_4,F G table_4,True
9941,"If (prop_4) is equivalent to (prop_1), then make sure (prop_2) occurs until (prop_3) .",(prop_1 <-> prop_4) -> (prop_2 U prop_3),(prop_4 <-> prop_1) -> (prop_2 U prop_3),True
9942,( prop_1 ) or when possible ( prop_2 ),prop_1 | F prop_2,prop_1 | F prop_2,True
9943,"You should not do (prop_1), or else do either (prop_3) or (prop_2) .",!prop_1 | prop_2 | prop_3,!prop_1 | (prop_3 | prop_2),True
9944,at a certain moment the motorbike catches fire and the motorbike has started after either the engine breaks or a bridge closes,G((bridge_closes | engine_breaks) -> F(motorbike_catches_fire & motorbike_has_started)),F(motorbike_catches_fire & ( (engine_breaks | bridge_closes) U motorbike_has_started )),False
9945,"This controller must eventually, avoid going home.",F!go_home,F(!go_home),True
9946,if the motorbike falls down or a house collapses then all the time the bar is down and a semaphore is red,G((house_collapses | motorbike_falls_down) -> G(bar_is_down & semaphore_is_red)),(motorbike_falls_down | house_collapses) -> G(bar_is_down & semaphore_is_red),False
9947,It should be the case that eventually (prop_2) will happen if and only if (prop_1) and (prop_3) are equal .,(prop_1 <-> prop_3) <-> F prop_2,F(prop_2) <-> (prop_1 <-> prop_3),True
9948,(prop_1) until (prop_2).,prop_1 U prop_2,prop_1 U prop_2,True
9949,repeatedly go_to waste basket until venture_to trash can,GF go_to_waste_basket U venture_to_trash_can,(G go_to_waste_basket) U venture_to_trash_can,False
9950,in the future a manager handles requests or the engine breaks,F(engine_breaks | manager_handles_requests),F(manager_handles_requests | engine_breaks),True
9951,Put package_4 in house_4 after you get it from store_2,F(store_2 & F(p_package_4 & F(house_4 & pd))),F(p_package_4 & store_2 & F(p_package_4 & house_4)),False
9952,"At every step, search the knife equals the value of deliver the donut to the shelf in the next step.",G(search_knife <-> X deliver_donut_shelf),G(search_knife <-> X deliver_donut_shelf),True
9953,"If the transition action that ( prop_1 ) is observed then all of the following conditions hold : without interruption the scenario that ( prop_3 ) should never get detected until finally there will exist sometime in the future , at which ( prop_2 ) .",G(prop_1 -> (prop_3 U prop_2)),prop_1 -> (!prop_3 U prop_2),False
9954,Take a video of the person on southeast_3rd_street and get_help are mutually exclusive at all times.,G!(get_help & record_person_southeast_3rd_street),G(!(record_person_southeast_3rd_street & get_help)),True
9955,"first, it will happen that the motorbike falls down or a manager collect claims, and then, finally, both an elevator is open and a train has arrived",G!(manager_collect_claims | motorbike_falls_down) | F((manager_collect_claims | motorbike_falls_down) & F(elevator_is_open & train_has_arrived)),F((motorbike_falls_down | manager_collect_claims) & F(elevator_is_open & train_has_arrived)),False
9957,at any time ( prop_1 ) and at some time ( prop_2 ),F(prop_1 & F prop_2),G(prop_1) & F(prop_2),False
9958,"( prop_2 ) and ( prop_1 ) should happen at the same time , and this situation should continue until ( prop_3 ) does not happen .",(prop_1 & prop_2) U !prop_3,((prop_1 & prop_2) U !prop_3),True
9959,"each time the brake is pressed then as a train derails, sooner or later the escalator moves",G(brake_is_pressed -> G(train_derails -> F escalator_moves)),G((brake_is_pressed & train_derails) -> F escalator_moves),False
9960,"If record unsafe_rescuer ever holds, avoid the nearest_debris must have held beforehand.",F record_unsafe_rescuer -> (!record_unsafe_rescuer U (avoid_nearest_debris & !record_unsafe_rescuer)),G(record_unsafe_rescuer -> (!avoid_nearest_debris U record_unsafe_rescuer)),False
9961,"The system must eventually, avoid delivering the motorbike to the shelf.",F!deliver_motorbike_shelf,F(!deliver_motorbike_shelf),True
9962,"first, eventually, both a motorbike catches fire and the car enters, and then, in the future either the table is brown or the motorbike has started",G!(car_enters & motorbike_catches_fire) | F(car_enters & motorbike_catches_fire & F(motorbike_has_started | table_is_brown)),F((motorbike_catches_fire & car_enters) & F(table_is_brown | motorbike_has_started)),False
9963,"If (prop_2) eventually happens, then (prop_3) should be equivalent to (prop_1) .",F prop_2 -> (prop_1 <-> prop_3),F prop_2 -> (prop_3 <-> prop_1),True
9964,it will happen that a train derails after both the car stops and an elevator is blocked,G((car_stops & elevator_is_blocked) -> F train_derails),F((car_stops & elevator_is_blocked) -> F train_derails),False
9965,"if the sensor captures data and a car stops then finally, the train derails",G((car_stops & sensor_captures_data) -> F train_derails),(sensor_captures_data & car_stops) -> F train_derails,False
9966,"If (prop_3) and (prop_1), then always (prop_2) .",(prop_1 & prop_3) -> G prop_2,(prop_3 & prop_1) -> G prop_2,True
9967,"first, finally, either the bar is down or a motorbike falls down, and then, at some point the motorbike catches fire and a semaphore is red",G!(bar_is_down | motorbike_falls_down) | F((bar_is_down | motorbike_falls_down) & F(motorbike_catches_fire & semaphore_is_red)),F((bar_is_down | motorbike_falls_down) & F(motorbike_catches_fire & semaphore_is_red)),False
9968,never let_go apple or at any time get pear,G!let_go_apple | F get_pear,G(!let_go_apple) | F(get_pear),True
9969,"Globally, it is not the case that both idle and deliver the vase to the loading_dock hold simultaneously.",G!(deliver_vase_loading_dock & idle),G(!(idle & deliver_vase_loading_dock)),True
9970,at any time tax apple and forever go_by trash can,F tax_apple & G go_by_trash_can,G(tax_apple & G go_by_trash_can),False
9971,whenever pick_up apple or whenever stop_by trash can,F pick_up_apple | F stop_by_trash_can,G(pick_up_apple | stop_by_trash_can),False
9972,Stay away from parking_lot_4 until building_8 is reached,!parking_lot_4 U building_8,(!parking_lot_4) U building_8,True
9973,never drop orange or reach house,reach_house | G!drop_orange,G(!(drop_orange | reach_house)),False
9974,"If (prop_1) then (prop_2) should happen, then eventually (prop_3) will happen as well .",(prop_1 -> prop_2) -> F prop_3,G(prop_1 -> X(prop_2 & F prop_3)),False
9975,take_to trashcan and repeatedly grab tree,take_to_trashcan & GF grab_tree,take_to_trashcan & GF grab_tree,True
9976,when possible ( prop_1 ) or whenever ( prop_2 ),F(prop_1 | F prop_2),F(prop_1) | G(prop_2 -> F(prop_2)),False
9977,"If deliver the sink to the loading_dock holds and search the dining_table holds next, then pickup the stop_signing holds in the step after that.",G((deliver_sink_loading_dock & X search_dining_table) -> XX pickup_stop_sign),(deliver_sink_loading_dock & X search_dining_table) -> XX pickup_stop_sign,False
9978,"at some point a sensor gathers information and, it is going to happen that the train derails and the manager handles requests afterwards",G!sensor_gathers_information | F(sensor_gathers_information & F(manager_handles_requests & train_derails)),F(sensor_gathers_information & F(train_derails & X manager_handles_requests)),False
9979,"For each time instant if ( prop_2 ) is true , implying that ( prop_1 ) and ( prop_3 ) are both true .",G prop_2 -> (prop_1 & prop_3),G(prop_2 -> (prop_1 & prop_3)),False
9980,whenever ( prop_1 ) can infer that ( prop_2 ),F prop_1 -> prop_2,G(prop_1 -> prop_2),False
9981,when possible ( prop_1 ) until whenever ( prop_2 ),F(prop_1 U F prop_2),prop_1 U prop_2,False
9982,never drop orange and drop orange,drop_orange & G!drop_orange,!(G(!drop_orange) & drop_orange),False
9983,"Globally , in case that ( prop_3 ) , and ( prop_2 ) , then in response ( prop_1 ) .",G((prop_2 & prop_3) -> G prop_1),G((prop_3 & prop_2) -> prop_1),False
9984,never ( prop_1 ) and at some time ( prop_2 ),G(!prop_1 & F prop_2),G(!prop_1) & F(prop_2),False
9985,never ( prop_1 ) or when possible ( prop_2 ),G(!prop_1 | F prop_2),G(!prop_1) | F(prop_2),False
9986,when possible get_hold orange and don't let_go pear,!let_go_pear & F get_hold_orange,G(get_hold_orange & !let_go_pear),False
9987,"every time either the escalator moves or a train has arrived then eventually, both the bar is down and the car starts",G((escalator_moves | train_has_arrived) -> F(bar_is_down & car_starts)),G((escalator_moves | train_has_arrived) -> F(bar_is_down & car_starts)),True
9988,"As soon as ( prop_3 ) , or ( prop_2 ) then at the same time instant the scenario that ( prop_1 ) shall take place , and ( prop_4 ) .",G((prop_2 | prop_3) -> (prop_1 & prop_4)),((prop_3 | prop_2) -> (prop_1 & prop_4)),False
9989,never ( prop_1 ) or at any time ( prop_2 ),G(!prop_1 | F prop_2),!F(prop_1) | GF(prop_2),False
9990,"Whenever record the car on northwest_6th_avenue and photo the jaywalker on north_1st_avenue are equal, photo the jaywalker on north_1st_avenue and get_help are equal as well.",G((photo_jaywalker_north_1st_avenue <-> record_car_northwest_6th_avenue) -> (get_help <-> photo_jaywalker_north_1st_avenue)),G((record_car_northwest_6th_avenue <-> photo_jaywalker_north_1st_avenue) -> (photo_jaywalker_north_1st_avenue <-> get_help)),True
9991,if both the engine starts and a table is old then every time the escalator is blocked or the escalator moves,G((engine_starts & table_is_old) -> G(escalator_is_blocked | escalator_moves)),(engine_starts & table_is_old) -> G(escalator_is_blocked | escalator_moves),False
9992,"Globally , in case that ( prop_3 ) or the event that ( prop_1 ) occurs then for each moment in the future ( prop_2 ) .",G((prop_1 | prop_3) -> GF prop_2),G((prop_3 | prop_1) -> G prop_2),False
9993,"Take a photo of the vehicle on south_5th_avenue must hold until change light_north yellow does, or else photo the vehicle on south_5th_avenue holds forever.",(photo_vehicle_south_5th_avenue U change_light_north_yellow) | G photo_vehicle_south_5th_avenue,(photo_vehicle_south_5th_avenue U change_light_north_yellow) | G photo_vehicle_south_5th_avenue,True
9994,"Whenever photo injured_victim holds, deliver_aid the safe_hostile holds exactly three steps later.",G(photo_injured_victim -> XXX deliver_aid_safe_hostile),G(photo_injured_victim -> X X X deliver_aid_safe_hostile),True
9995,"first, it will happen that an elevator falls or the brake is pressed, and then, it is going to happen that both a car starts and a semaphore is red",G!(brake_is_pressed | elevator_falls) | F((brake_is_pressed | elevator_falls) & F(car_starts & semaphore_is_red)),F(elevator_falls | brake_is_pressed) & F(car_starts & semaphore_is_red),False
9996,when possible withhold apple or never drop apple,F withhold_apple | G!drop_apple,G(withhold_apple | G(!drop_apple)),False
9997,when possible ( prop_1 ) until ( prop_2 ),F(prop_1 U prop_2),prop_1 U prop_2,False
9998,"Take a picture of statue 6 after reaching it, and make sure you stay within park 5",F(photo & statue_6) & G park_5,F(statue_6 & X photo) & G(park_5),False
9999,Do not pick up cone 2 until you go to intersection 4,!p_cone_2 U intersection_4,!p_cone_2 U intersection_4,True
10000,when possible ( prop_1 ) and ( prop_2 ),F(prop_1 & prop_2),F(prop_1 & prop_2),True
10001,( prop_1 ) and always ( prop_2 ),prop_1 & G prop_2,prop_1 & G prop_2,True
10002,"In case that ( prop_1 ) , or ( prop_2 ) , then the following condition is true : there shall eventually exist a certain moment in the future before the end of the execution , after which ( prop_3 ) .",G((prop_1 | prop_2) -> FG prop_3),(prop_1 | prop_2) -> F G prop_3,False
10003,visit tree or at some time travel_to flag,visit_tree | F travel_to_flag,visit_tree | F travel_to_flag,True
10004,at any time ( prop_1 ) and at some time ( prop_2 ),F(prop_1 & F prop_2),G(prop_1) & F(prop_2),False
10005,"If you do (prop_1), then it should be the same as if you did (prop_3), but do not do (prop_2) .",!prop_2 & (prop_1 <-> prop_3),(prop_1 -> prop_3) & !prop_2,False
10006,The robot must always have either record the jaywalker on northwest_4th_avenue or photo the motorcycle on north_2nd_avenue.,G(photo_motorcycle_north_2nd_avenue | record_jaywalker_northwest_4th_avenue),G(record_jaywalker_northwest_4th_avenue | photo_motorcycle_north_2nd_avenue),True
10007,( prop_1 ) or whenever ( prop_2 ),prop_1 | F prop_2,prop_1 | G(prop_2 -> prop_2),False
10008,"If every idle is eventually followed by pickuping the zebra, then pickup the knife must occur infinitely often.",G(idle -> F pickup_zebra) -> GF pickup_knife,(G(idle -> F pickup_zebra)) -> GF pickup_knife,True
10009,every time the train has arrived then at some point in time a motorbike has started and the bar is down,G(train_has_arrived -> F(bar_is_down & motorbike_has_started)),G(train_has_arrived -> F(motorbike_has_started & bar_is_down)),True
10010,For all time (prop_1) happens and (prop_3) is equivalent to (prop_2) .,(prop_2 <-> prop_3) & G prop_1,G(prop_1 & (prop_3 <-> prop_2)),False
10011,"From some point onwards, get_help never occurs again.",FG!get_help,FG !get_help,True
10012,Ensure you find cone 5 at intersection 5 and then transport it to street 2,F(intersection_5 & F(p_cone_5 & F(pd & street_2))),F(p_cone_5 & intersection_5 & F(pd & street_2)),False
10013,"after either the manager collect claims or the sensor gathers information, it is always true that the semaphore is yellow",G((manager_collect_claims | sensor_gathers_information) -> G semaphore_is_yellow),F((manager_collect_claims | sensor_gathers_information) & G(semaphore_is_yellow)),False
10014,at green_room by using red or yellow_rooms first,F((red_room | yellow_room) & F green_room),(!green_room U (red_room | yellow_room)) & F green_room,False
10015,"Keep the scenario where ( prop_2 ) is equivalent to ( prop_1 ), and continue this until ( prop_3 ) is no longer true.",(prop_1 <-> prop_2) U !prop_3,(prop_2 <-> prop_1) U !prop_3,True
10016,Take letter 2 from post office 1 and place it in building 3 afterward,F(post_office_1 & F(p_lettter_2 & F(building_3 & pd))),F(p_lettter_2 & post_office_1 & F(p_lettter_2 & building_3)),False
10017,drop pear until take_to trashcan,drop_pear U take_to_trashcan,drop_pear U take_to_trashcan,True
10018,"The scenario that ( prop_2 ) is not detected or ( prop_3 ) is detected , the above state will keep happening until ( prop_1 ) happens .",(!prop_2 | prop_3) U prop_1,((!prop_2 | prop_3) U prop_1),True
10019,The system must eventually change light_east yellow or change light_south green.,F(change_light_east_yellow | change_light_south_green),F(change_light_east_yellow | change_light_south_green),True
10020,at some time ( prop_1 ) and do not ( prop_2 ),F(prop_1 & !F prop_2),F(prop_1 & !prop_2),False
10021,( prop_1 ) or repeatedly ( prop_2 ),prop_1 | GF prop_2,prop_1 | GF prop_2,True
10022,at some time ( prop_1 ) and ( prop_2 ),F(prop_1 & prop_2),F(prop_1 & prop_2),True
10023,at green or yellow_room to red_room,F((green_room | yellow_room) & F red_room),(green_room | yellow_room) U red_room,False
10024,"Whenever get_help holds, from the next step onwards photo the cyclist on west_10th_street will eventually hold.",G(get_help -> XF photo_cyclist_west_10th_street),G(get_help -> X F photo_cyclist_west_10th_street),True
10025,"whenever an elevator is blocked and a motorbike has stopped then eventually, either the bar is down or a semaphore is yellow",G((elevator_is_blocked & motorbike_has_stopped) -> F(bar_is_down | semaphore_is_yellow)),G((elevator_is_blocked & motorbike_has_stopped) -> F(bar_is_down | semaphore_is_yellow)),True
10026,"It is always the case that in case that ( prop_1 ) , or ( prop_2 ) then all of the following conditions are true : ( prop_3 ) .",G((prop_1 | prop_2) -> G prop_3),G((prop_1 | prop_2) -> prop_3),False
10027,repeatedly ( prop_1 ) and ( prop_2 ),G(prop_2 & F prop_1),G(prop_1 & prop_2),False
