Index,Requirement,Ground Truth,Response,Equivalent
5984,"If (prop_1) or (prop_3) happens, then (prop_2) until (prop_4) .",(prop_1 | prop_3) -> (prop_2 U prop_4),(prop_1 | prop_3) -> (prop_2 U prop_4),True
5985,whenever ( prop_1 ) means that ( prop_2 ),F prop_1 -> prop_2,G(prop_1 -> prop_2),False
5986,"From some point onwards, record unstable_beam never occurs again.",FG!record_unstable_beam,FG(!record_unstable_beam),True
5987,"It is always the case that while ( prop_1 ) or ( prop_2 ) then there ought to be a certain moment in the future before the end of the simulation , at which ( prop_4 ) , and before that consecutively ( prop_3 ) .",G((prop_1 | prop_2) -> (prop_4 U prop_3)),G((prop_1 | prop_2) -> F(prop_3 & F prop_4)),False
5988,"Whenever communicate the safe_rescuer and deliver_aid the safe_hostile are equal, deliver_aid the safe_hostile and record injured_victim are equal as well.",G((communicate_safe_rescuer <-> deliver_aid_safe_hostile) -> (deliver_aid_safe_hostile <-> record_injured_victim)),G((communicate_safe_rescuer & deliver_aid_safe_hostile) -> (deliver_aid_safe_hostile & record_injured_victim)),False
5989,The scenario in which ( prop_1 ) and ( prop_4 ) and ( prop_2 ) is equivalent to the scenario in which ( prop_3 ) .,prop_3 <-> (prop_1 & prop_2 & prop_4),(prop_1 & prop_4 & prop_2) <-> prop_3,True
5990,when possible ( prop_1 ) or at any time ( prop_2 ),F(prop_1 | F prop_2),F(prop_1 | prop_2),True
5991,"(prop_1) is not the case, or (prop_3) should be equivalent to (prop_2) .",!prop_1 | (prop_2 <-> prop_3),!prop_1 | (prop_3 <-> prop_2),True
5992,when possible ( prop_1 ) or always ( prop_2 ),F(prop_1 | G prop_2),F(prop_1) | G(prop_2),False
5993,Ensure you avoid park 3 while capturing a picture of monument 3,G!park_3 & F(monument_3 & photo),G(!(park_3 & photo & monument_3)),False
5994,Persistently photograph building_5 while maintaining consistent visits to charger_4,GF(building_5 & photo) & GF charger_4,G(photo & building_5 & charger_4),False
5995,at any time ( prop_1 ) or at some time ( prop_2 ),F(prop_1 | F prop_2),GF prop_1 | F prop_2,False
5996,when possible clutch orange or always hold_on pear,F clutch_orange | G hold_on_pear,F(clutch_orange) | G(hold_on_pear),True
5997,"Once idle has occurred, get_help will never occur again.",G(idle -> XG!get_help),G(idle -> G(!get_help)),False
5998,"Either ensure that (prop_2) in the end happens or, if (prop_3), then make sure that (prop_1) happens .",(prop_3 -> prop_1) | F prop_2,F prop_2 | (prop_3 -> F prop_1),False
5999,"Whenever deliver the toaster to the loading_dock holds, eventually idle will hold.",G(deliver_toaster_loading_dock -> F idle),G(deliver_toaster_loading_dock -> F idle),True
6000,"first, it will happen that either the escalator speeds up or the bar is closing, and then, finally, both a sensor gathers information and the motorbike catches fire",G!(bar_is_closing | escalator_speeds_up) | F((bar_is_closing | escalator_speeds_up) & F(motorbike_catches_fire & sensor_gathers_information)),F((escalator_speeds_up | bar_is_closing) & F(sensor_gathers_information & motorbike_catches_fire)),False
6001,"It should be the case that if ( prop_1 ) is not detected then ( prop_2 ) , and equivalently ( prop_3 ) should be detected .",prop_3 <-> (!prop_1 -> prop_2),G((!prop_1 -> prop_2) <-> prop_3),False
6002,( prop_1 ) or ( prop_2 ),prop_1 | prop_2,prop_1 | prop_2,True
6003,( prop_1 ) or at any time ( prop_2 ),prop_1 | F prop_2,prop_1 | F prop_2,True
6004,"Avoid visiting landmark_5 until you reach park_5, and eventually take a photo of landmark_5",(!landmark_5 U park_5) & F(landmark_5 & photo),(!landmark_5 U park_5) & F photo,False
6006,Avoid picking up both cone_1 and cone_2 indefinitely,G!(p_cone_1 | p_cone_2),G(!(p_cone_1 & p_cone_2)),False
6007,If ( prop_3 ) then ( prop_2 ) and also ( prop_1 ) .,prop_1 & (prop_3 -> prop_2),prop_3 -> (prop_2 & prop_1),False
6008,"In the case ( prop_1 ) , then in response ultimately at a certain time point in the future before the end of the simulation continuously ( prop_2 ) .",G(prop_1 -> FG prop_2),G(prop_1 -> F G prop_2),True
6009,( prop_1 ) or repeatedly ( prop_2 ),prop_1 | GF prop_2,prop_1 | GF prop_2,True
6010,at some time ( prop_1 ) or forever ( prop_2 ),F(prop_1 | G prop_2),F prop_1 | G prop_2,False
6011,don't ( prop_1 ) or at any time ( prop_2 ),!(F prop_1 | F prop_2),!prop_1 | F prop_2,False
6012,"At every step, change light_west red equals the value of change light_east yellow in the next step.",G(change_light_west_red <-> X change_light_east_yellow),G(change_light_west_red <-> X change_light_east_yellow),True
6013,Repeatedly take box_2 from store_4 and deliver it to hall_8,GF(store_4 & F(p_box_2 & F(hall_8 & pd))),GF(p_box_2 & store_4 & F(p_box_2 & hall_8)),False
6014,"Globally, if get_help occurs then finally deliver the bear to the loading_dock happens.",G(get_help -> F deliver_bear_loading_dock),G(get_help -> F deliver_bear_loading_dock),True
6015,This controller must always maintain both record the car on northeast_2nd_street and photo the person on southeast_7th_avenue.,G(photo_person_southeast_7th_avenue & record_car_northeast_2nd_street),G(record_car_northeast_2nd_street & photo_person_southeast_7th_avenue),True
6016,if the manager handles requests or the table is old then in any case the motorbike has started or the escalator speeds up,G((manager_handles_requests | table_is_old) -> G(escalator_speeds_up | motorbike_has_started)),G((manager_handles_requests | table_is_old) -> (motorbike_has_started | escalator_speeds_up)),False
6017,"If both ( prop_2 ) and ( prop_3 ) happen, then ( prop_1 ) should always be true.",(prop_2 & prop_3) -> G prop_1,G((prop_2 & prop_3) -> G prop_1),False
6018,"At every step, pickup the oven equals the value of search the fire_hydrant in the next step.",G(pickup_oven <-> X search_fire_hydrant),G(pickup_oven <-> X search_fire_hydrant),True
6019,"Once (prop_3) happens, then (prop_2) should be in the same state as (prop_1) .",F prop_3 -> (prop_1 <-> prop_2),G(prop_3 -> G(prop_2 <-> prop_1)),False
6021,"If ( prop_2 ) and ( prop_1 ) are equivalent then ( prop_4 ) , or ( prop_3 ) is true .",prop_3 | ((prop_1 <-> prop_2) -> prop_4),((prop_2 <-> prop_1) -> prop_4) | prop_3,True
6022,never ( prop_1 ) and at some time ( prop_2 ),G(!prop_1 & F prop_2),G(!prop_1) & F(prop_2),False
6023,"If at some point ( prop_4 ) and ( prop_3 ) , and is equivalent to ( prop_1 ) , and this scenario will hold until at some other point ( prop_2 ) is detected .",(prop_1 <-> (prop_3 & prop_4)) U prop_2,F((prop_4 & prop_3) <-> prop_1) U prop_2,False
6024,It is always the case that if ( prop_1 ) then the following condition is true : ( prop_3 ) and right away ( prop_2 ) .,G(prop_1 -> (prop_2 & prop_3)),G(prop_1 -> (prop_3 & X prop_2)),False
6025,"It is always the case that when ( prop_2 ) and ( prop_3 ) happen, then ( prop_1 ) will eventually happen sometime in the future before the end of the simulation.",G((prop_2 & prop_3) -> F prop_1),G((prop_2 & prop_3) -> F prop_1),True
6026,"first, eventually, the engine breaks or the bar is down, and then, eventually, both the table is brown and a house is built",G!(bar_is_down | engine_breaks) | F((bar_is_down | engine_breaks) & F(house_is_built & table_is_brown)),F((engine_breaks | bar_is_down) & F(table_is_brown & house_is_built)),False
6027,never ( prop_1 ) and when possible ( prop_2 ),G(!prop_1 & F prop_2),G(!prop_1) & GF(prop_2),True
6028,never ( prop_1 ) until forever ( prop_2 ),G(!prop_1 U G prop_2),(!prop_1) U G prop_2,True
6029,The scenario in which (prop_3) and (prop_4) both happen is equivalent to the scenario in which (prop_1) happens and continues until (prop_2) .,(prop_3 & prop_4) <-> (prop_1 U prop_2),(prop_3 & prop_4) <-> (prop_1 U prop_2),True
6030,never drop apple or venture_towards house,venture_towards_house | G!drop_apple,G(!drop_apple & !venture_towards_house),False
6031,It is always the case that in case that the transition action that ( prop_3 ) does not occur and ( prop_2 ) ( prop_1 ) .,G((prop_2 & prop_3) -> GF prop_1),G(!prop_3 -> (prop_2 & prop_1)),False
6032,whenever ( prop_1 ) until whenever ( prop_2 ),F(prop_1 U F prop_2),G(prop_1 U prop_2),False
6033,do not ( prop_1 ) can infer that ( prop_2 ),!F prop_1 -> prop_2,!prop_1 -> !prop_2,False
6034,"If ( prop_3 ) does not happen is equivalent to ( prop_1 ) , then ( prop_2 ) .",(prop_1 <-> !prop_3) -> prop_2,(!prop_3 <-> prop_1) -> prop_2,True
6035,"Make sure that (prop_3) is always true, then (prop_1) and (prop_2) will happen .",G prop_3 -> (prop_1 & prop_2),G(prop_3) -> F(prop_1 & prop_2),False
6036,"( prop_1 ) should not happen if ( prop_3 ) does happen , and ( prop_2 ) should also be true all the time . ",(prop_1 -> !prop_3) & G prop_2,G(!prop_3 | !prop_1) & G(prop_2),False
6037,"If (prop_2) happens at any time, then do (prop_3) and (prop_1) .",G prop_2 -> (prop_1 & prop_3),G(prop_2 -> (prop_3 & prop_1)),False
6038,Remain in area_5 at all times,G area_5,G area_5,True
6039,"after the elevator falls and the bar is up, it never happens that both a sensor captures data and the brake is released",G((bar_is_up & elevator_falls) -> G!(brake_is_released & sensor_captures_data)),F(elevator_falls & bar_is_up) -> G(!(sensor_captures_data & brake_is_released)),False
6040,"Do (prop_1) and (prop_2) , and also do (prop_3) and (prop_4) .",prop_1 & prop_2 & prop_3 & prop_4,prop_1 & prop_2 & prop_3 & prop_4,True
6041,"On the way to achieve (prop_2), if (prop_4) occurs, then do (prop_3), but don't (prop_1) no matter what happens.",!prop_1 & prop_2 & (prop_4 -> prop_3),G(!prop_1 & (prop_4 -> prop_3)) U prop_2,False
6042,"When photo debris happens, avoid the inactive_unstable_beam must hold now or in the next step.",G(photo_debris -> (avoid_inactive_unstable_beam | X avoid_inactive_unstable_beam)),G(photo_debris -> (avoid_inactive_unstable_beam | X avoid_inactive_unstable_beam)),True
6043,venture_towards house and secure apple,secure_apple & venture_towards_house,F(venture_towards_house & F secure_apple),False
6044,The robot must eventually get_help or record the collision on northwest_4th_avenue.,F(get_help | record_collision_northwest_4th_avenue),F (get_help | record_collision_northwest_4th_avenue),True
6045,at any time journey_by house and don't pick_up anything,F journey_by_house & !F pick_up_anything,G(journey_by_house & !pick_up_anything),False
6046,"Do not let (prop_3) happen, or else, either (prop_2) or (prop_1) should happen.",prop_1 | prop_2 | !prop_3,G(prop_3 -> (prop_1 | prop_2)),False
6047,at some point in time a motorbike catches fire and the engine stops,F(engine_stops & motorbike_catches_fire),F(motorbike_catches_fire & engine_stops),True
6048,( prop_1 ) and at any time ( prop_2 ),prop_1 & F prop_2,prop_1 & G prop_2,False
6049,repeatedly ( prop_1 ) and at any time ( prop_2 ),G(F prop_1 & F prop_2),GF(prop_1) & G(prop_2),False
6050,The scenario in which (prop_2) or (prop_4) is true is equivalent to the scenario in which (prop_1) and (prop_3) are both true .,(prop_2 | prop_4) <-> (prop_1 & prop_3),(prop_2 | prop_4) <-> (prop_1 & prop_3),True
6051,it is never the case that the escalator speeds up or the engine stops,G!(engine_stops | escalator_speeds_up),G(!(escalator_speeds_up | engine_stops)),True
6052,Keep capturing photos of area_9 while you also periodically taking ordnance_3 from camp_4 to camp_9,GF(area_9 & photo) & GF(camp_4 & F(p_ordnance_3 & F(camp_9 & pd))),G(photo & area_9) & GF(p_ordnance_3 & camp_4 & F(p_ordnance_3 & camp_9)),False
6053,The scenario that ( prop_1 ) or the scenario that ( prop_4 ) or the scenario that ( prop_3 ) or the scenario that ( prop_2 ) should be detected .,prop_1 | prop_2 | prop_3 | prop_4,F (prop_1 | prop_4 | prop_3 | prop_2),False
6054,when possible go_by flag and whenever haul pear,F go_by_flag & F haul_pear,GF(go_by_flag) & G(haul_pear -> go_by_flag),False
6055,come_to tree until come_to tree,come_to_tree,come_to_tree U come_to_tree,True
6056,"When get_help happens, deliver_aid the safe_rescuer must hold now or in the next step.",G(get_help -> (deliver_aid_safe_rescuer | X deliver_aid_safe_rescuer)),G(get_help -> (deliver_aid_safe_rescuer | X deliver_aid_safe_rescuer)),True
6057,"In case that ( prop_1 ) happens and continues to happen until ( prop_4 ) , or else ( prop_2 ) , or else ( prop_3 ) .",prop_2 | prop_3 | (prop_1 U prop_4),(prop_1 U prop_4) | prop_2 | prop_3,True
6058,"Whenever change light_east red and record the vehicle on southwest_4th_avenue are equal, record the vehicle on southwest_4th_avenue and record the collision on west_9th_avenue are equal as well.",G((change_light_east_red <-> record_vehicle_southwest_4th_avenue) -> (record_collision_west_9th_avenue <-> record_vehicle_southwest_4th_avenue)),G((change_light_east_red & record_vehicle_southwest_4th_avenue) -> (record_vehicle_southwest_4th_avenue & record_collision_west_9th_avenue)),False
6059,repeatedly make_way_to house and never drop orange,GF make_way_to_house & G!drop_orange,GF(make_way_to_house) & G(!drop_orange),True
6060,go into the room and find the chair then push it back into blue_room,F(red_room & F blue_room),F(blue_room & F(blue_room)),False
6061,Deliver the vase to the shelf and deliver the bicycle to the loading_dock are mutually exclusive at all times.,G!(deliver_bicycle_loading_dock & deliver_vase_shelf),G(!(deliver_vase_shelf & deliver_bicycle_loading_dock)),True
6062,drop pear or whenever go_to transh can,drop_pear | F go_to_transh_can,G(go_to_transh_can -> drop_pear),False
6063,"If it is not the case that at some future time ( prop_1 ) or ( prop_3 ) , then ( prop_2 ) is true , and vice versa .",prop_2 <-> !F(prop_1 | prop_3),(!(F (prop_1 | prop_3))) <-> prop_2,True
6064,"Whenever get_help holds, go_home holds as well.",G(get_help -> go_home),G(get_help -> go_home),True
6065,in any case the bar is down,G bar_is_down,G(bar_is_down),True
6066,Set light_west green and record the motorcycle on north_7th_street are mutually exclusive at all times.,G!(change_light_west_green & record_motorcycle_north_7th_street),G(!(change_light_west_green & record_motorcycle_north_7th_street)),True
6067,whenever migrate_to tree and at some time go_to transh can,F migrate_to_tree & F go_to_transh_can,G(migrate_to_tree -> F go_to_transh_can),False
6068,"If every deliver_aid the injured_rescuer is eventually followed by avoid the nearest_flood, then communicate the safe_hostile must occur infinitely often.",G(deliver_aid_injured_rescuer -> F avoid_nearest_flood) -> GF communicate_safe_hostile,G(deliver_aid_injured_rescuer -> F avoid_nearest_flood) -> GF communicate_safe_hostile,True
6069,Ensure you always stay in area 5,G area_5,G(area_5),True
6070,( prop_1 ) or whenever ( prop_2 ),prop_1 | F prop_2,prop_1 | G(prop_2 -> prop_1),False
6071,"after both the elevator falls and the escalator speeds up, eternally, a sensor captures data or the train has been launched",G((elevator_falls & escalator_speeds_up) -> G(sensor_captures_data | train_has_been_launched)),F(elevator_falls & escalator_speeds_up) -> G(sensor_captures_data | train_has_been_launched),False
6072,Pick up brochure 2 from table 8 and subsequently deliver it to table 1,F(table_8 & F(p_brochure_2 & F(pd & table_1))),F(pd & p_brochure_2 & table_8) & F(F(pd & p_brochure_2 & table_8) & F(pd & p_brochure_2 & table_1)),False
6073,at some point the bar is closing or a motorbike has started or the escalator moves,F(bar_is_closing | escalator_moves | motorbike_has_started),F (bar_is_closing | motorbike_has_started | escalator_moves),True
6074,The scenario in which (prop_4) implies (prop_2) is equivalent to the scenario in which (prop_1) and (prop_3) both happen .,(prop_4 -> prop_2) <-> (prop_1 & prop_3),(prop_4 -> prop_2) <-> (prop_1 & prop_3),True
6075,"The scenario in which ( prop_2 ) is equivalent to the scenario in which ( prop_3 ) happens , and this should continue until ( prop_1 ) is not detected .",(prop_2 <-> prop_3) U !prop_1,((prop_2 <-> prop_3) U !prop_1),True
6076,"eternally, both a motorbike falls down and the escalator is blocked after either a motorbike falls down or a house collapses",G((house_collapses | motorbike_falls_down) -> G(escalator_is_blocked & motorbike_falls_down)),G((motorbike_falls_down | house_collapses) -> F(motorbike_falls_down & escalator_is_blocked)),False
6077,"Globally , during the interval that ( prop_1 ) , and ( prop_2 ) , then in response ( prop_3 ) .",G((prop_1 & prop_2) -> prop_3),G((prop_1 & prop_2) -> F prop_3),False
6078,"after the elevator is open or the house is built, eternally, a semaphore is yellow",G((elevator_is_open | house_is_built) -> G semaphore_is_yellow),F(elevator_is_open | house_is_built) -> G(semaphore_is_yellow),False
6079,Pick up letter_4 from office_5 and deliver it to house_2,F(office_5 & F(p_letter_4 & F(house_2 & pd))),F(office_5 & p_letter_4 & pd) & F(house_2 & p_letter_4 & pd),False
6080,at some time visit house can infer that pick_up flag,F visit_house -> pick_up_flag,F(visit_house) -> F(pick_up_flag),False
6081,Either make sure (prop_3) finally happens or else either (prop_2) or (prop_1) should be true .,prop_1 | prop_2 | F prop_3,F prop_3 | prop_2 | prop_1,True
6082,never ( prop_1 ) or when possible ( prop_2 ),G(!prop_1 | F prop_2),G(!prop_1 | F prop_2),True
6083,The scenario in which (prop_1) happens until (prop_4) happens is equivalent to the scenario in which (prop_2) is equivalent to (prop_3) .,(prop_2 <-> prop_3) <-> (prop_1 U prop_4),(prop_1 U prop_4) <-> (prop_2 <-> prop_3),True
6084,advance_to tree and do not let_go pear,advance_to_tree & !let_go_pear,F(advance_to_tree & G(!let_go_pear)),False
6085,Either (prop_3) or (prop_1) is true is equal to (prop_4) is equivalent to (prop_2) .,(prop_2 <-> prop_4) <-> (prop_1 | prop_3),((prop_3 | prop_1) <-> prop_4) <-> prop_2,True
6086,at no time the constructor creates instances or a train has arrived or the sensor retrieves data,G!(constructor_creates_instances | sensor_retrieves_data | train_has_arrived),G(!(constructor_creates_instances | train_has_arrived | sensor_retrieves_data)),True
6087,whenever ( prop_1 ) until at any time ( prop_2 ),F(prop_1 U F prop_2),G(prop_1 U prop_2),False
6088,at some time ( prop_1 ) and ( prop_2 ),F(prop_1 & prop_2),F(prop_1 & prop_2),True
6089,(prop_2) and then (prop_1).,prop_2 U prop_1,F(prop_2 & F prop_1),False
6090,"Either ( prop_3 ) or ( prop_2 ) happens , or else ( prop_1 ) does not happen .",!prop_1 | prop_2 | prop_3,(prop_3 | prop_2) | !prop_1,True
