Index,Requirement,Ground Truth,Response,Equivalent
7929,every time the escalator speeds up,G escalator_speeds_up,G(escalator_speeds_up ),True
7930,at some time ( prop_1 ) until ( prop_2 ),F(prop_1 U prop_2),F(prop_1 U prop_2),True
7931,when possible ( prop_1 ) or repeatedly ( prop_2 ),F(prop_1 | GF prop_2),F(prop_1 ) | GF(prop_2 ),True
7932,"when at any time ( prop_1 ) , ( prop_2 )",F prop_1 -> prop_2,G(prop_1 -> prop_2),False
7933,Refrain from going to room 4 before you arrive at building 4,!room_4 U building_4,!room_4 U building_4,True
7934,Stay in locality_3 until you reach office_4,locality_3 U office_4,locality_3 U office_4,True
7935,venture_towards house and never drop apple,venture_towards_house & G!drop_apple,G(venture_towards_house & !drop_apple),False
7936,"If record the pedestrian on northwest_1st_street ever holds, get_help must have held beforehand.",F record_pedestrian_northwest_1st_street -> (!record_pedestrian_northwest_1st_street U (get_help & !record_pedestrian_northwest_1st_street)),!record_pedestrian_northwest_1st_street | F(get_help & F(record_pedestrian_northwest_1st_street)),False
7937,"Either go_home happens infinitely often, or record unstable_beam happens in the next step.",GF go_home | X record_unstable_beam,GF go_home | X record_unstable_beam,True
7938,"Globally , whenever ( prop_2 ) , or ( prop_3 ) , then all of the following conditions are true : ( prop_1 ) .",G((prop_2 | prop_3) -> F prop_1),G((prop_2 | prop_3) -> prop_1),False
7939,"For all time (prop_3), is equivalent to the scenario in which if (prop_2) then (prop_1) .",(prop_2 -> prop_1) <-> G prop_3,G (prop_3 ) <-> G (prop_2 -> prop_1 ),False
7940,"each time the escalator moves then after the car enters, eventually, the constructor instantiate objects",G(escalator_moves -> G(car_enters -> F constructor_instantiate_objects)),G((escalator_moves & F car_enters) -> F constructor_instantiate_objects),False
7941,Avoid going to building_8 until you have reached parking_lot_8,!building_8 U parking_lot_8,!building_8 U parking_lot_8,True
7942,if either a table is brown or the elevator rises then at a certain moment either a semaphore is green or the elevator falls,G((elevator_rises | table_is_brown) -> F(elevator_falls | semaphore_is_green)),G((table_is_brown | elevator_rises) -> F(semaphore_is_green | elevator_falls)),True
7943,"In the case the transition action that ( prop_3 ) occurs , or ( prop_1 ) then in response there shall be a time in the future before the end of the simulation eventually , at which ( prop_2 ) .",G((prop_1 | prop_3) -> F prop_2),G((prop_3 | prop_1) -> F(prop_2)),True
7944,"Stay away from intersection 8 until street 3 is reached, and ensure you go to locality 5 afterward",(!intersection_8 U street_3) & F locality_5,(!intersection_8 U street_3) & F(locality_5),True
7945,Do not approach intersection_5 before reaching street_4 and delivering pass_4 from house_4 to office_1,(!intersection_5 U street_4) & F(house_4 & F(p_pass_4 & F(office_1 & pd))),G(!intersection_5 U (street_4 & F(p_pass_4 & office_1))),False
7946,repeatedly go_to apple trashcan or whenever visit trash bin,GF go_to_apple_trashcan | F visit_trash_bin,GF(go_to_apple_trashcan ) | G(visit_trash_bin -> F(go_to_apple_trashcan )),False
7947,"First (prop_2) unless (prop_3) happens, then make sure to (prop_1) after you have witnessed (prop_4).",(prop_2 U prop_3) -> (prop_1 -> prop_4),(prop_2 U prop_3) & G(prop_4 -> F(prop_1)),False
7948,If at some point ( prop_3 ) or ( prop_2 ) or ( prop_1 ) then ( prop_4 ) .,(prop_1 | prop_2 | prop_3) -> prop_4,F(prop_3 | prop_2 | prop_1) -> prop_4,False
7949,"Whenever deliver the bird to the shelf holds, from the next step onwards search the mouse will eventually hold.",G(deliver_bird_shelf -> XF search_mouse),G(deliver_bird_shelf -> X(F search_mouse)),True
7950,whenever acquire pear until pick_up flag,F acquire_pear U pick_up_flag,G(acquire_pear U pick_up_flag),False
7951,"When change light_west red happens, change light_south red must hold now or in the next step.",G(change_light_west_red -> (change_light_south_red | X change_light_south_red)),G(change_light_west_red -> (change_light_south_red | X change_light_south_red)),True
7952,at some time capture pear or never drop apple,F capture_pear | G!drop_apple,F capture_pear | G ! drop_apple,True
7953,"If (prop_1), (prop_2) and (prop_3) as well.",prop_1 -> (prop_2 & prop_3),G(prop_1 -> (prop_2 & prop_3)),False
7955,"Take a video of safe_civilian should always hold, with at most a two-step grace period for recovery.",!G!(record_safe_civilian & X record_safe_civilian),G(record_safe_civilian | X record_safe_civilian | X X record_safe_civilian),False
7956,"If get_help holds and deliver the skis to the shelf holds next, then idle holds in the step after that.",G((get_help & X deliver_skis_shelf) -> XX idle),G((get_help & X deliver_skis_shelf) -> X X idle),True
7957,if both a car stops and a table is old then it will happen that a train has arrived and the sensor captures data,G((car_stops & table_is_old) -> F(sensor_captures_data & train_has_arrived)),G((car_stops & table_is_old) -> F(train_has_arrived & sensor_captures_data)),True
7958,it is going to happen that the house collapses or the escalator is blocked or the motorbike has started,F(escalator_is_blocked | house_collapses | motorbike_has_started),F(house_collapses | escalator_is_blocked | motorbike_has_started),True
7959,Refrain from entering locality 5 until you collect pass 5 from house 2 and deposit it in office 3,!locality_5 U (house_2 & F(p_pass_5 & F(office_3 & pd))),!locality_5 U (p_pass_5 & F(office_3)),False
7960,"If (prop_1) or (prop_2), then keep (prop_4) until (prop_3) .",(prop_1 | prop_2) -> (prop_4 U prop_3),G((prop_1 | prop_2) -> (prop_4 U prop_3)),False
7961,at any time ( prop_1 ) can infer that ( prop_2 ),F prop_1 -> prop_2,G(prop_1 -> prop_2),False
7962,Persistently photograph building 5 while maintaining consistent visits to charger 4,GF(building_5 & photo) & GF charger_4,G(photo & building_5 & charger_4),False
7963,"Globally , when ( prop_3 ) or ( prop_2 ) then in response ( prop_1 ) and then consecutively this condition will have to sustain until ( prop_4 ) .",G((prop_2 | prop_3) -> (prop_1 U prop_4)),G((prop_3 | prop_2) -> F(prop_1 & (prop_1 U prop_4))),False
7964,"Whenever record the cyclist on north_4th_street and record the vehicle on south_3rd_street are equal, record the vehicle on south_3rd_street and get_help are equal as well.",G((record_cyclist_north_4th_street <-> record_vehicle_south_3rd_street) -> (get_help <-> record_vehicle_south_3rd_street)),G((record_cyclist_north_4th_street <-> record_vehicle_south_3rd_street) -> (record_vehicle_south_3rd_street <-> get_help)),True
7965,whenever ( prop_1 ) or whenever ( prop_2 ),F(prop_1 | F prop_2),G(prop_1 | prop_2),False
7966,Either (prop_2) doesn't happen or (prop_1) is equivalent to (prop_3) .,!prop_2 | (prop_1 <-> prop_3),G(!prop_2 | (prop_1 <-> prop_3)),False
7967,at any time ( prop_1 ) or forever ( prop_2 ),F(prop_1 | G prop_2),F(prop_1 ) | G(prop_2 ),False
7968,"If ( prop_1 ) or ( prop_4 ) , then the above scenario is equivalent to ( prop_2 ) , or else ( prop_3 ) .",prop_3 | (prop_2 <-> (prop_1 | prop_4)),G(((prop_1 | prop_4) -> prop_2) & (! (prop_1 | prop_4) -> prop_3)),False
7969,Continuously take pictures of building_5 while repeatedly visiting charger_4,GF(building_5 & photo) & GF charger_4,G(photo & building_5) & GF(charger_4),False
7970,at some time ( prop_1 ) or when possible ( prop_2 ),F(prop_1 | F prop_2),F(prop_1 | prop_2),True
7971,at some time stop_by trash can or always touch flag,F stop_by_trash_can | G touch_flag,F stop_by_trash_can | G touch_flag,True
7972,"Once avoid the probable_flood has occurred, communicate the injured_hostile will never occur again.",G(avoid_probable_flood -> XG!communicate_injured_hostile),G(avoid_probable_flood -> G(!communicate_injured_hostile)),False
7973,"Either keep (prop_3) finally, or if (prop_2), then make sure (prop_1) .",(prop_2 -> prop_1) | F prop_3,F prop_3 | G(prop_2 -> prop_1),False
7974,"Globally, if record the collision on northwest_4th_avenue occurs then finally change light_south green happens.",G(record_collision_northwest_4th_avenue -> F change_light_south_green),G(record_collision_northwest_4th_avenue -> F change_light_south_green),True
7976,"as a train derails, it will happen that a sensor captures data",G(train_derails -> F sensor_captures_data),G(train_derails -> F(sensor_captures_data)),True
7977,( prop_1 ) or ( prop_2 ),prop_1 | prop_2,( prop_1 ) | ( prop_2 ),True
7978,( prop_1 ) or at some time ( prop_2 ),prop_1 | F prop_2,prop_1 | F prop_2,True
7979,Ensure you avoid street_4 until intersection_2 is reached while picking up trash_13 at house_13,(!street_4 U intersection_2) & F(house_13 & p_trash_13),G((p_trash_13 & house_13) -> (!street_4 U intersection_2)),False
7980,never drop apple and when possible grab pear,G!drop_apple & F grab_pear,G(!drop_apple) & F(grab_pear),True
7981,Do not pickup cone_1 or cone_2 at any time,G!(p_cone_1 | p_cone_2),G(!(p_cone_1 | p_cone_2)),True
7982,"(prop_1). Once (prop_3), (prop_2)",prop_1 & (prop_3 -> prop_2),G(prop_1) & G(prop_3 -> F prop_2),False
7983,"Globally , if ( prop_1 ) then in response there ought to exist a time in the future before the simulation ends eventually , after which consecutively ( prop_2 ) .",G(prop_1 -> FG prop_2),G(prop_1 -> F(prop_2)),False
7984,when possible ( prop_1 ) and ( prop_2 ),F(prop_1 & prop_2),G(prop_1 & prop_2),False
7985,at some time ( prop_1 ) or always ( prop_2 ),F(prop_1 | G prop_2),F prop_1 | G prop_2,False
7986,"If ( prop_2 ) then ( prop_3 ) , and also ( prop_4 ) , or else ( prop_1 ) .",prop_1 | (prop_4 & (prop_2 -> prop_3)),G((prop_2 -> (prop_3 & prop_4)) | prop_1),False
7987,"At every step, search the chair equals the value of idle in the next step.",G(search_chair <-> X idle),G(search_chair <-> X idle),True
7988,Ensure crate_8 is delivered from mall_5 to office_6 over and over again,GF(mall_5 & F(p_crate_8 & F(office_6 & pd))),G(F(pd & p_crate_8 & mall_5 & F(pd & p_crate_8 & office_6))),False
7989,"Whenever deliver the sandwich to the loading_dock holds, eventually deliver the cell_phone to the loading_dock will hold.",G(deliver_sandwich_loading_dock -> F deliver_cell_phone_loading_dock),G(deliver_sandwich_loading_dock -> F deliver_cell_phone_loading_dock),True
7990,Our agent must always maintain both pickup the bird and deliver the apple to the shelf.,G(deliver_apple_shelf & pickup_bird),G(pickup_bird & deliver_apple_shelf),True
7991,"after either the manager handles requests or the table is old, forever, a sensor captures data or the brake is released",G((manager_handles_requests | table_is_old) -> G(brake_is_released | sensor_captures_data)),G((manager_handles_requests | table_is_old) -> G(sensor_captures_data | brake_is_released)),True
7992,"If (prop_1) and (prop_2) occur, then ensure that (prop_3) always happens afterwards .",(prop_1 & prop_2) -> G prop_3,G((prop_1 & prop_2) -> G(prop_3)),False
7993,"At every step, communicate the safe_victim equals the value of record injured_victim in the next step.",G(communicate_safe_victim <-> X record_injured_victim),G(communicate_safe_victim <-> X record_injured_victim),True
7994,"If (prop_2) eventually happens, then (prop_3) should be equivalent to (prop_1) .",F prop_2 -> (prop_1 <-> prop_3),F(prop_2 ) -> (prop_3 <-> prop_1 ),True
7995,"If search the sheep ever holds, get_help must have held beforehand.",F search_sheep -> (!search_sheep U (get_help & !search_sheep)),!search_sheep | F(get_help & F(search_sheep)),False
7996,"( prop_4 ) is equivalent to ( prop_1 ) will lead to ( prop_2 ) , or else ( prop_3 ) .",prop_3 | ((prop_1 <-> prop_4) -> prop_2),G(prop_4 <-> ((prop_1 -> F prop_2) | prop_3)),False
7997,never ( prop_1 ) and at some time ( prop_2 ),G(!prop_1 & F prop_2),G(!prop_1 ) & F(prop_2 ),False
7998,If ( prop_4 ) and ( prop_3 ) is equivalent to ( prop_2 ) then this scenario will hold until ( prop_1 ) .,(prop_2 <-> (prop_3 & prop_4)) U prop_1,((prop_4 & prop_3) <-> prop_2) U prop_1,True
7999,If the scenario that ( prop_2 ) is observed then in response in no time ( prop_3 ) and ( prop_1 ) .,G(prop_2 -> (prop_1 & prop_3)),G(prop_2 -> (prop_3 & prop_1)),True
8000,"It is always the case that while ( prop_1 ) and ( prop_3 ) , then there shall eventually exist sometime in the future before the simulation ends , at which ( prop_2 ) .",G((prop_1 & prop_3) -> F prop_2),G((prop_1 & prop_3) -> F(prop_2)),True
8001,"finally, either the semaphore is green or the bar is up and, it will happen that both the table is old and the bar has to be repaired afterwards",G!(bar_is_up | semaphore_is_green) | F((bar_is_up | semaphore_is_green) & F(bar_has_to_be_repaired & table_is_old)),F((semaphore_is_green | bar_is_up) & F(table_is_old & F(bar_has_to_be_repaired))),False
8002,never ( prop_1 ) and whenever ( prop_2 ),G(!prop_1 & F prop_2),G(!prop_1 ) & G(prop_2 -> prop_2 ),False
8003,at some time ( prop_1 ) means that repeatedly ( prop_2 ),F prop_1 -> GF prop_2,F(prop_1 -> GF prop_2),False
8004,never ( prop_1 ) or when possible ( prop_2 ),G(!prop_1 | F prop_2),G(!prop_1 ) | G(prop_2 ),False
8005,secure apple or never drop apple,secure_apple | G!drop_apple,secure_apple | G(!drop_apple ),True
8006,"Globally , when the event that ( prop_3 ) does n't get observed and ( prop_1 ) then the following condition holds : for each moment in the future until the end of the simulation , at a certain time point in the future , ultimately ( prop_2 ) .",G((prop_1 & prop_3) -> GF prop_2),G((! prop_3 & prop_1) -> G(F prop_2)),False
8007,when possible ( prop_1 ) until whenever ( prop_2 ),F(prop_1 U F prop_2),prop_1 U prop_2,False
8008,"If ( prop_4 ) and ( prop_3 ) , or else ( prop_2 ) , or else ( prop_1 ) .",prop_1 | prop_2 | (prop_3 & prop_4),G((prop_4 & prop_3) | prop_2 | prop_1),False
8009,If ( prop_2 ) and ( prop_3 ) and the scenario that ( prop_4 ) is detected or in case that ( prop_1 ) is true .,prop_1 | (prop_2 & prop_3 & prop_4),G(((prop_2 & prop_3 & prop_4) | prop_1)),False
8010,"While (prop_3) is always true, make sure (prop_1) and (prop_2) are both true .",G prop_3 -> (prop_1 & prop_2),G(prop_3 -> (prop_1 & prop_2)),False
8011,"Until (prop_1) is equivalent to (prop_2), do not do (prop_3) .",!prop_1 U (prop_2 <-> prop_3),(!prop_3 ) U (prop_1 <-> prop_2 ),False
8012,"If (prop_2) is always true, then (prop_1) and (prop_3) should both be true .",G prop_2 -> (prop_1 & prop_3),G(prop_2 ) -> (prop_1 & prop_3 ),True
8013,Remain in locality_9 at all times,G locality_9,G(locality_9 ),True
8014,whenever both the motorbike has stopped and a car starts then at no time both the motorbike has stopped and the sensor gathers information,G((car_starts & motorbike_has_stopped) -> G!(motorbike_has_stopped & sensor_gathers_information)),G((motorbike_has_stopped & car_starts) -> G(!(motorbike_has_stopped & sensor_gathers_information))),True
8015,"Until either (prop_1) or (prop_3) happens, (prop_2) should not have happened .",!prop_1 U (prop_2 | prop_3),(!prop_2 ) U (prop_1 | prop_3 ),False
8016,"On the way to achieve (prop_4), if (prop_1) occurs, then do (prop_3), but don't (prop_2) no matter what happens.",!prop_2 & prop_4 & (prop_1 -> prop_3),G(!prop_4 -> (prop_1 -> F prop_3)) & G(!prop_2),False
8017,"When get_help happens, change light_west green must hold now or in the next step.",G(get_help -> (change_light_west_green | X change_light_west_green)),G(get_help -> (change_light_west_green | X change_light_west_green)),True
8018,collect pear and put_in bucket,collect_pear & put_in_bucket,F(collect_pear & F(put_in_bucket)),False
8019,The system must eventually photo the collision on east_3rd_street or record the person on northeast_7th_avenue.,F(photo_collision_east_3rd_street | record_person_northeast_7th_avenue),F(photo_collision_east_3rd_street | record_person_northeast_7th_avenue),True
8020,whenever go_to tree and do not pick_up anything,F go_to_tree & !F pick_up_anything,G(go_to_tree & !pick_up_anything),False
8021,"If you do not do (prop_2), then make sure that (prop_3) is equivalent to (prop_1) .",!prop_2 -> (prop_1 <-> prop_3),G(!prop_2 -> (prop_3 <-> prop_1)),False
8022,"finally, the constructor creates instances and a bridge closes",F(bridge_closes & constructor_creates_instances),F(constructor_creates_instances & bridge_closes),True
8023,( prop_1 ) and at any time ( prop_2 ),prop_1 & F prop_2,prop_1 & G(prop_2 ),False
8024,repeatedly ( prop_1 ) and whenever ( prop_2 ),G(F prop_1 & F prop_2),GF(prop_1 ) & G(prop_2 -> prop_2 ),False
8025,"If you do either (prop_2) or (prop_1), then you should do both (prop_4) and (prop_3), and vice versa .",(prop_1 | prop_2) <-> (prop_3 & prop_4),G((prop_2 | prop_1) <-> (prop_4 & prop_3)),False
8026,it should not happen that the elevator falls or the engine starts,G!(elevator_falls | engine_starts),G(!(elevator_falls | engine_starts)),True
8027,Detect (prop_4) or (prop_3) and continue until both (prop_2) and (prop_1) are detected .,(prop_3 | prop_4) U (prop_1 & prop_2),(prop_4 | prop_3) U (prop_2 & prop_1),True
8028,"( prop_4 ) or ( prop_3 ) should happen , or else ( prop_2 ) or ( prop_1 ) should happen .",prop_1 | prop_2 | prop_3 | prop_4,(prop_4 | prop_3) | (prop_2 | prop_1),True
8029,when possible spend_time_at tree and when possible stop_by house,F spend_time_at_tree & F stop_by_house,F spend_time_at_tree & F stop_by_house,True
8030,go_by waste bin or go_by waste bin,go_by_waste_bin,go_by_waste_bin | go_by_waste_bin,True
8031,"When get_help happens, deliver_aid the injured_hostile must hold now or in the next step.",G(get_help -> (deliver_aid_injured_hostile | X deliver_aid_injured_hostile)),G(get_help -> (deliver_aid_injured_hostile | X deliver_aid_injured_hostile)),True
8032,"The scenario that ( prop_2 ) happens until the scenario that ( prop_3 ) , or the scenario that ( prop_1 ) , or the scenario that ( prop_4 ) should happen .",prop_1 | prop_4 | (prop_2 U prop_3),(prop_2 U (prop_3 | prop_1 | prop_4)),False
8033,"Whenever communicate the safe_rescuer and photo debris are equal, photo debris and communicate the injured_victim are equal as well.",G((communicate_safe_rescuer <-> photo_debris) -> (communicate_injured_victim <-> photo_debris)),G((communicate_safe_rescuer & photo_debris) -> (photo_debris & communicate_injured_victim)),False
8034,at any time have_possession_of apple and capture orange,capture_orange & F have_possession_of_apple,G(have_possession_of_apple & capture_orange),False
8035,at the yellow_room and then at the green_room,F(yellow_room & F green_room),F(yellow_room & F(green_room)),True
8036,Record fire_source and avoid the probable fire_source are mutually exclusive at all times.,G!(avoid_probable_fire_source & record_fire_source),G(!(record_fire_source & avoid_probable_fire_source)),True
8037,whenever venture_to house or secure apple,secure_apple | F venture_to_house,G(venture_to_house | secure_apple),False
8038,"if venture_towards house , whenever bring pear",venture_towards_house -> F bring_pear,G(venture_towards_house -> G(bring_pear)),False
8039,"Whenever avoid the probable_gas_leak holds, go_home holds as well.",G(avoid_probable_gas_leak -> go_home),G(avoid_probable_gas_leak -> go_home),True
8040,all the time the elevator is blocked,G elevator_is_blocked,G (elevator_is_blocked ),True
8041,Call for help and change light_west green are mutually exclusive at all times.,G!(change_light_west_green & get_help),G(!(get_help & change_light_west_green)),True
8042,when possible go_near pear and at any time pass_by waste receptacle,F go_near_pear & F pass_by_waste_receptacle,F(go_near_pear ) & G(pass_by_waste_receptacle ),False
8043,"If every search the snowboard is eventually followed by pickup the truck, then idle must occur infinitely often.",G(search_snowboard -> F pickup_truck) -> GF idle,(G(search_snowboard -> F pickup_truck)) -> GF idle,True
8044,Remain in locality 9 at all times,G locality_9,G(locality_9 ),True
8045,( prop_1 ) or when possible ( prop_2 ),prop_1 | F prop_2,prop_1 | F prop_2,True
8046,"after both the bar is down and a semaphore is red, in any case either a semaphore is green or the house collapses",G((bar_is_down & semaphore_is_red) -> G(house_collapses | semaphore_is_green)),G((bar_is_down & semaphore_is_red) -> F(semaphore_is_green | house_collapses)),False
8048,"eventually, the bar is down or the bar is up or a table is old",F(bar_is_down | bar_is_up | table_is_old),F (bar_is_down | bar_is_up | table_is_old),True
8049,The scenario in which (prop_4) implies (prop_2) is equivalent to the scenario in which (prop_1) and (prop_3) both happen .,(prop_4 -> prop_2) <-> (prop_1 & prop_3),(prop_4 -> prop_2) <-> (prop_1 & prop_3),True
8050,It is required that ( prop_2 ) is equivalent to ( prop_3 ) until at some point ( prop_1 ) does not hold .,(prop_2 <-> prop_3) U !prop_1,(prop_2 <-> prop_3) U (!prop_1 ),True
8051,if either the car stops or the bar has to be repaired then at any time the escalator speeds up and the motorbike catches fire,G((bar_has_to_be_repaired | car_stops) -> G(escalator_speeds_up & motorbike_catches_fire)),G((car_stops | bar_has_to_be_repaired) -> G(escalator_speeds_up & motorbike_catches_fire)),True
8052,"Globally , everytime when the event that ( prop_1 ) gets detected , and ( prop_2 ) then ( prop_3 ) .",G((prop_1 & prop_2) -> prop_3),G((prop_1 & prop_2) -> prop_3),True
8053,whenever a bridge opens or a motorbike has started then it is always the case that the semaphore is yellow,G((bridge_opens | motorbike_has_started) -> G semaphore_is_yellow),G((bridge_opens | motorbike_has_started) -> semaphore_is_yellow),False
8054,Deliver brochure_3 from table_9 to park_2,F(table_9 & F(p_brochure_3 & F(park_2 & pd))),F(pd & p_brochure_3 & table_9 & F(pd & p_brochure_3 & park_2)),False
8055,"Either the scenario in which ( prop_3 ) is equivalent to the scenario in which ( prop_2 ) happens, or ( prop_1 ) or ( prop_4 ) should happen.",prop_1 | prop_4 | (prop_2 <-> prop_3),(prop_3 <-> prop_2) | F(prop_1 | prop_4),False
8056,"Do any of the following: (prop_3) or (prop_2), or make sure that (prop_1) happens soon .",prop_2 | prop_3 | F prop_1,(prop_3 | prop_2) | F prop_1,True
8057,never ( prop_1 ) or at any time ( prop_2 ),G(!prop_1 | F prop_2),G(!prop_1 ) | F(prop_2 ),False
8058,"If it is not the case that ( prop_3 ) and also ( prop_1 ) , then ( prop_2 ) .",!(prop_1 & prop_3) -> prop_2,G(!(prop_3 & prop_1) -> prop_2),False
8059,do not let_go orange and go_to orange bin,go_to_orange_bin & !let_go_orange,G(!let_go_orange & go_to_orange_bin),False
8060,"While never entering park_3, Pick up cone_2 from police_station_1 and place it in intersection_2.",G!park_3 & F(p_cone_2 & police_station_1 & F(intersection_2 & pd)),G(!park_3 ) & F(p_cone_2 & police_station_1 & F(pd & intersection_2 )),True
8061,"it is never the case that either the bar has to be repaired, the table is brown or the manager handles requests",G!(bar_has_to_be_repaired | manager_handles_requests | table_is_brown),G(!(bar_has_to_be_repaired | table_is_brown | manager_handles_requests)),True
8062,when possible ( prop_1 ) until at some time ( prop_2 ),F(prop_1 U F prop_2),prop_1 U prop_2,False
