original NL;original LTL;Spot LTL;APs;ap_NL;dict_AP;AP_lifted_dict;lifted_LTL;source;normalized_LTL_formula;lifted_lifted_LTL_formula;batch_id
after either the car enters or the escalator speeds up, in the future a sensor captures data;G(( car_enters | escalator_speeds_up ) -> F( sensor_captures_data ));G((car_enters | escalator_speeds_up) -> F sensor_captures_data);['escalator_speeds_up', 'sensor_captures_data', 'car_enters'];after either the car_enters or the escalator_speeds_up, in the future a sensor_captures_data;;{'escalator_speeds_up': 'ap_0', 'sensor_captures_data': 'ap_1', 'car_enters': 'ap_2'};G((ap_2 | ap_0) -> Fap_1);NL-to-LTL-Synthetic-Datasetprocessed_data;G((prop | prop) -> Fprop);G((prop | prop) -> Fprop);0
whenever reach flag means that go_by waste bin;"F ( ""reach(flag)"" ) -> ""go_by(waste_bin)""";F reach_flag -> go_by_waste_bin;['go_by_waste_bin', 'reach_flag'];;;;Fap_1 -> ap_0;VLTL-Bench;Fprop -> prop;Fprop -> prop;0
Locate the wine_glass and pickup the donut are mutually exclusive at all times.;"G ! ( ""search(wine_glass)"" & ""pickup(donut)"" )";G!(pickup_donut & search_wine_glass);['pickup_donut', 'search_wine_glass'];;;;G!(ap_0 & ap_1);VLTL-Bench;G!(prop & prop);G!(prop & prop);0
If idle holds and deliver the zebra to the shelf holds next, then deliver the person to the loading_dock holds in the step after that.;"G ( ""idle"" & X ""deliver(zebra,shelf)"" -> X X ""deliver(person,loading_dock)"" )";G((idle & X deliver_zebra_shelf) -> XX deliver_person_loading_dock);['idle', 'deliver_zebra_shelf', 'deliver_person_loading_dock'];;;;G((ap_0 & Xap_1) -> XXap_2);VLTL-Bench;G((prop & Xprop) -> XXprop);G((prop & Xprop) -> XXprop);0
Collect package 2 from store 3 and take it to house 2 without entering mall 1;<>(store_3&&<>(p_package_2&&<>(house_2&&pd)))&&[]!mall_1;F(store_3 & F(p_package_2 & F(house_2 & pd))) & G!mall_1;['pd', 'house_2', 'store_3', 'p_package_2', 'mall_1'];Collect p_package_2 from store_3 and take it to house_2 without entering mall_1;{'pd': 'pd', 'house 2': 'house_2', 'store 3': 'store_3', 'package 2': 'p_package_2', 'mall 1': 'mall_1'};{'pd': 'ap_0', 'house_2': 'ap_1', 'store_3': 'ap_2', 'p_package_2': 'ap_3', 'mall_1': 'ap_4'};F(ap_2 & F(ap_3 & F(ap_1 & ap_0))) & G!ap_4;ConformalNL2LTL;F(prop & F(prop & F(prop & prop))) & G!prop;F(prop & F(prop & F(prop & prop))) & G!prop;0
Set light_north yellow holds at all times.;"G ""change(light_north,yellow)""";G change_light_north_yellow;['change_light_north_yellow'];;;;Gap_0;VLTL-Bench;Gprop;Gprop;0
Whenever get_help holds, pickup the sofa holds exactly three steps later.;"G ( ""get_help"" -> X ( X ( X ""pickup(sofa)"" ) ) )";G(get_help -> XXX pickup_sofa);['get_help', 'pickup_sofa'];;;;G(ap_0 -> XXXap_1);VLTL-Bench;G(prop -> XXXprop);G(prop -> XXXprop);0
If every photo injured_civilian is eventually followed by calling for help, then go_home must occur infinitely often.;"G ( ""photo(injured_civilian)"" -> F ""get_help"" ) -> G F ""go_home""";G(photo_injured_civilian -> F get_help) -> GF go_home;['get_help', 'go_home', 'photo_injured_civilian'];;;;G(ap_2 -> Fap_0) -> GFap_1;VLTL-Bench;G(prop -> Fprop) -> GFprop;G(prop -> Fprop) -> GFprop;0
at the blue_room;"F ""blue_room""";F blue_room;['blue_room'];;;;Fap_0;VLTL-Bench;Fprop;Fprop;0
first, at a certain moment the train is crossing or the elevator rises, and then, it is going to happen that a sensor gathers information;G(!( train_is_crossing | elevator_rises )) | F(( train_is_crossing | elevator_rises ) & F( sensor_gathers_information ));G!(elevator_rises | train_is_crossing) | F((elevator_rises | train_is_crossing) & F sensor_gathers_information);['train_is_crossing', 'elevator_rises', 'sensor_gathers_information'];first, at a certain moment the train_is_crossing or the elevator_rises, and then, it is going to happen that a sensor_gathers_information;;{'train_is_crossing': 'ap_0', 'elevator_rises': 'ap_1', 'sensor_gathers_information': 'ap_2'};G!(ap_1 | ap_0) | F((ap_1 | ap_0) & Fap_2);NL-to-LTL-Synthetic-Datasetprocessed_data;G!(prop | prop) | F((prop | prop) & Fprop);G!(prop | prop) | F((prop | prop) & Fprop);0
whenever either a motorbike has stopped or the escalator speeds up then it is always true that the elevator falls and the escalator speeds up;G(( motorbike_has_stopped | escalator_speeds_up ) -> G( elevator_falls & escalator_speeds_up ));G((escalator_speeds_up | motorbike_has_stopped) -> G(elevator_falls & escalator_speeds_up));['escalator_speeds_up', 'elevator_falls', 'motorbike_has_stopped'];whenever either a motorbike_has_stopped or the escalator_speeds_up then it is always true that the elevator_falls and the escalator_speeds_up;;{'escalator_speeds_up': 'ap_0', 'elevator_falls': 'ap_1', 'motorbike_has_stopped': 'ap_2'};G((ap_0 | ap_2) -> G(ap_1 & ap_0));NL-to-LTL-Synthetic-Datasetprocessed_data;G((prop | prop) -> G(prop & prop));G((prop | prop) -> G(prop & prop));0
all the time both the sensor gathers information and a semaphore is red;G( sensor_gathers_information & semaphore_is_red );G(semaphore_is_red & sensor_gathers_information);['semaphore_is_red', 'sensor_gathers_information'];all the time both the sensor_gathers_information and a semaphore_is_red;;{'semaphore_is_red': 'ap_0', 'sensor_gathers_information': 'ap_1'};G(ap_0 & ap_1);NL-to-LTL-Synthetic-Datasetprocessed_data;G(prop & prop);G(prop & prop);0
absolutely never, the motorbike catches fire and a bridge opens after either the semaphore is green or a motorbike falls down;G(( semaphore_is_green | motorbike_falls_down ) -> G(!( motorbike_catches_fire & bridge_opens )));G((motorbike_falls_down | semaphore_is_green) -> G!(bridge_opens & motorbike_catches_fire));['motorbike_falls_down', 'bridge_opens', 'motorbike_catches_fire', 'semaphore_is_green'];absolutely never, the motorbike_catches_fire and a bridge_opens after either the semaphore_is_green or a motorbike_falls_down;;{'motorbike_falls_down': 'ap_0', 'bridge_opens': 'ap_1', 'motorbike_catches_fire': 'ap_2', 'semaphore_is_green': 'ap_3'};G((ap_0 | ap_3) -> G!(ap_1 & ap_2));NL-to-LTL-Synthetic-Datasetprocessed_data;G((prop | prop) -> G!(prop & prop));G((prop | prop) -> G!(prop & prop));0
Either get_help or record the jaywalker on southeast_2nd_street happens infinitely often.;"G F ""get_help"" | G F ""record(jaywalker,southeast_2nd_street)""";GF get_help | GF record_jaywalker_southeast_2nd_street;['get_help', 'record_jaywalker_southeast_2nd_street'];;;;GFap_0 | GFap_1;VLTL-Bench;GFprop | GFprop;GFprop | GFprop;0
Request assistance must keep holding until, from some point on, search the spoon holds infinitely often.;"""get_help"" U ( G ( F ""search(spoon)"" ) )";get_help U GF search_spoon;['get_help', 'search_spoon'];;;;ap_0 U GFap_1;VLTL-Bench;prop U GFprop;prop U GFprop;0
Stay within locality 7 at all times while taking letter 1 from office 4 to house 1;[]locality_7&&<>(office_4&&<>(p_letter_1&&<>(house_1&&pd)));G locality_7 & F(office_4 & F(p_letter_1 & F(house_1 & pd)));['pd', 'house_1', 'locality_7', 'office_4', 'p_letter_1'];Stay within locality_7 at all times while taking p_letter_1 from office_4 to house_1;{'pd': 'pd', 'house 1': 'house_1', 'locality 7': 'locality_7', 'office 4': 'office_4', 'letter 1': 'p_letter_1'};{'pd': 'ap_0', 'house_1': 'ap_1', 'locality_7': 'ap_2', 'office_4': 'ap_3', 'p_letter_1': 'ap_4'};Gap_2 & F(ap_3 & F(ap_4 & F(ap_1 & ap_0)));ConformalNL2LTL;Gprop & F(prop & F(prop & F(prop & prop)));Gprop & F(prop & F(prop & F(prop & prop)));0
under no condition either a car starts, a train derails or a semaphore is yellow;G(!( car_starts | train_derails | semaphore_is_yellow ));G!(car_starts | semaphore_is_yellow | train_derails);['car_starts', 'train_derails', 'semaphore_is_yellow'];under no condition either a car_starts, a train_derails or a semaphore_is_yellow;;{'car_starts': 'ap_0', 'train_derails': 'ap_1', 'semaphore_is_yellow': 'ap_2'};G!(ap_0 | ap_2 | ap_1);NL-to-LTL-Synthetic-Datasetprocessed_data;G!(prop | prop | prop);G!(prop | prop | prop);0
all the time both the engine stops and the elevator is blocked;G( engine_stops & elevator_is_blocked );G(elevator_is_blocked & engine_stops);['elevator_is_blocked', 'engine_stops'];all the time both the engine_stops and the elevator_is_blocked;;{'elevator_is_blocked': 'ap_0', 'engine_stops': 'ap_1'};G(ap_0 & ap_1);NL-to-LTL-Synthetic-Datasetprocessed_data;G(prop & prop);G(prop & prop);0
at any time pick_up peach or whenever pick_up apple;"F ( ""pick_up(peach)"" ) | F ( ""pick_up(apple)"" )";F pick_up_peach | F pick_up_apple;['pick_up_apple', 'pick_up_peach'];;;;Fap_1 | Fap_0;VLTL-Bench;Fprop | Fprop;Fprop | Fprop;0
always touch flag or never let_go orange;"G ( ""touch(flag)"" ) | G ( ! ( ""let_go(orange)"" ) )";G touch_flag | G!let_go_orange;['let_go_orange', 'touch_flag'];;;;Gap_1 | G!ap_0;VLTL-Bench;Gprop | G!prop;Gprop | G!prop;0
it will not happen that the manager collect claims or the bar is down or the bar is closing;G(!( manager_collect_claims | bar_is_down | bar_is_closing ));G!(bar_is_closing | bar_is_down | manager_collect_claims);['bar_is_closing', 'manager_collect_claims', 'bar_is_down'];it will not happen that the manager_collect_claims or the bar_is_down or the bar_is_closing;;{'bar_is_closing': 'ap_0', 'manager_collect_claims': 'ap_1', 'bar_is_down': 'ap_2'};G!(ap_0 | ap_2 | ap_1);NL-to-LTL-Synthetic-Datasetprocessed_data;G!(prop | prop | prop);G!(prop | prop | prop);0
Change light_west green holds at all times.;"G ""change(light_west,green)""";G change_light_west_green;['change_light_west_green'];;;;Gap_0;VLTL-Bench;Gprop;Gprop;0
Remain in locality_3 until you arrive at office_4;"""locality_3"" U ""office_4""";locality_3 U office_4;['office_4', 'locality_3'];;;;ap_1 U ap_0;VLTL-Bench;prop U prop;prop U prop;0
Whenever change light_west red holds, photo the cyclist on northeast_8th_avenue holds exactly three steps later.;"G ( ""change(light_west,red)"" -> X ( X ( X ""photo(cyclist,northeast_8th_avenue)"" ) ) )";G(change_light_west_red -> XXX photo_cyclist_northeast_8th_avenue);['change_light_west_red', 'photo_cyclist_northeast_8th_avenue'];;;;G(ap_0 -> XXXap_1);VLTL-Bench;G(prop -> XXXprop);G(prop -> XXXprop);0
as a semaphore is yellow, at some point in time a car enters and the train is crossing;G(( semaphore_is_yellow ) -> F( car_enters & train_is_crossing ));G(semaphore_is_yellow -> F(car_enters & train_is_crossing));['train_is_crossing', 'car_enters', 'semaphore_is_yellow'];as a semaphore_is_yellow, at some point in time a car_enters and the train_is_crossing;;{'train_is_crossing': 'ap_0', 'car_enters': 'ap_1', 'semaphore_is_yellow': 'ap_2'};G(ap_2 -> F(ap_1 & ap_0));NL-to-LTL-Synthetic-Datasetprocessed_data;G(prop -> F(prop & prop));G(prop -> F(prop & prop));0
Repeatedly visit charger_3 while repeatedly taking pictures of area_3;"G F ""charger_3"" & G F ( ""area_3"" & ""photo"" )";GF charger_3 & GF(area_3 & photo);['charger_3', 'area_3', 'photo'];;;;GFap_0 & GF(ap_1 & ap_2);VLTL-Bench;GFprop & GF(prop & prop);GFprop & GF(prop & prop);0
at some time touch house until never drop apple;"F ( ""touch(house)"" ) U G ( ! ( ""drop(apple)"" ) )";F touch_house U G!drop_apple;['drop_apple', 'touch_house'];;;;Fap_1 U G!ap_0;VLTL-Bench;Fprop U G!prop;Fprop U G!prop;0
You must stay in parking_lot_5 until you finish taking a picture of car_5;"""parking_lot_5"" U ( ""car_5"" & ""photo"" )";parking_lot_5 U (car_5 & photo);['photo', 'parking_lot_5', 'car_5'];;;;ap_1 U (ap_2 & ap_0);VLTL-Bench;prop U (prop & prop);prop U (prop & prop);0
pick_up flag and never drop apple;"""pick_up(flag)"" & G ( ! ( ""drop(apple)"" ) )";pick_up_flag & G!drop_apple;['drop_apple', 'pick_up_flag'];;;;ap_1 & G!ap_0;VLTL-Bench;prop & G!prop;prop & G!prop;0
in the future the sensor gathers information and, eventually, the elevator falls or the bar is up afterwards;G(!( sensor_gathers_information )) | F(( sensor_gathers_information ) & F( elevator_falls | bar_is_up ));G!sensor_gathers_information | F(sensor_gathers_information & F(bar_is_up | elevator_falls));['bar_is_up', 'elevator_falls', 'sensor_gathers_information'];in the future the sensor_gathers_information and, eventually, the elevator_falls or the bar_is_up afterwards;;{'bar_is_up': 'ap_0', 'elevator_falls': 'ap_1', 'sensor_gathers_information': 'ap_2'};G!ap_2 | F(ap_2 & F(ap_0 | ap_1));NL-to-LTL-Synthetic-Datasetprocessed_data;G!prop | F(prop & F(prop | prop));G!prop | F(prop & F(prop | prop));0
This controller must always have either idle or deliver the baseball_glove to the shelf.;"G ( ""idle"" | ""deliver(baseball_glove,shelf)"" )";G(deliver_baseball_glove_shelf | idle);['idle', 'deliver_baseball_glove_shelf'];;;;G(ap_1 | ap_0);VLTL-Bench;G(prop | prop);G(prop | prop);0
if the sensor captures data or the table has been moved then under no circumstances a train stops or a semaphore is red;G(( sensor_captures_data | table_has_been_moved ) -> G(!( train_stops | semaphore_is_red )));G((sensor_captures_data | table_has_been_moved) -> G!(semaphore_is_red | train_stops));['semaphore_is_red', 'table_has_been_moved', 'sensor_captures_data', 'train_stops'];if the sensor_captures_data or the table_has_been_moved then under no circumstances a train_stops or a semaphore_is_red;;{'semaphore_is_red': 'ap_0', 'table_has_been_moved': 'ap_1', 'sensor_captures_data': 'ap_2', 'train_stops': 'ap_3'};G((ap_2 | ap_1) -> G!(ap_0 | ap_3));NL-to-LTL-Synthetic-Datasetprocessed_data;G((prop | prop) -> G!(prop | prop));G((prop | prop) -> G!(prop | prop));0
at red_room through green or yellow_room;"F ( ( ""green_room"" | ""yellow_room"" ) & F ""red_room"" )";F((green_room | yellow_room) & F red_room);['yellow_room', 'red_room', 'green_room'];;;;F((ap_2 | ap_0) & Fap_1);VLTL-Bench;F((prop | prop) & Fprop);F((prop | prop) & Fprop);0
move to the blue_room;"F ""blue_room""";F blue_room;['blue_room'];;;;Fap_0;VLTL-Bench;Fprop;Fprop;0
You must eventually communicate the safe_hostile or go_home.;"F ( ""communicate(safe_hostile)"" | ""go_home"" )";F(communicate_safe_hostile | go_home);['go_home', 'communicate_safe_hostile'];;;;F(ap_1 | ap_0);VLTL-Bench;F(prop | prop);F(prop | prop);0
Ensure that you never pickup box_3;"G ! ""p_box_3""";G!p_box_3;['p_box_3'];;;;G!ap_0;VLTL-Bench;G!prop;G!prop;0
never let_go and at some time proceed_to tree;"G ( ! ( ""let_go"" ) ) & F ( ""proceed_to(tree)"" )";G!let_go & F proceed_to_tree;['let_go', 'proceed_to_tree'];;;;G!ap_0 & Fap_1;VLTL-Bench;G!prop & Fprop;G!prop & Fprop;0
Ensure you keep capturing photos of building_5 while regularly revisiting charger_4;"G F ( ""building_5"" & ""photo"" ) & G F ""charger_4""";GF(building_5 & photo) & GF charger_4;['photo', 'building_5', 'charger_4'];;;;GF(ap_1 & ap_0) & GFap_2;VLTL-Bench;GF(prop & prop) & GFprop;GF(prop & prop) & GFprop;0
every time either the engine starts or a train is crossing then in any case both the table has been moved and the motorbike has stopped;G(( engine_starts | train_is_crossing ) -> G( table_has_been_moved & motorbike_has_stopped ));G((engine_starts | train_is_crossing) -> G(motorbike_has_stopped & table_has_been_moved));['train_is_crossing', 'table_has_been_moved', 'engine_starts', 'motorbike_has_stopped'];every time either the engine_starts or a train_is_crossing then in any case both the table_has_been_moved and the motorbike_has_stopped;;{'train_is_crossing': 'ap_0', 'table_has_been_moved': 'ap_1', 'engine_starts': 'ap_2', 'motorbike_has_stopped': 'ap_3'};G((ap_2 | ap_0) -> G(ap_3 & ap_1));NL-to-LTL-Synthetic-Datasetprocessed_data;G((prop | prop) -> G(prop & prop));G((prop | prop) -> G(prop & prop));0
Pick up stack_4 from house_4 and at street_2 and stay there;"F ( ""house_4"" & F ( ""p_stack_4"" & F ( ""street_2"" & G ""street_2"" ) ) )";F(house_4 & F(p_stack_4 & F(street_2 & G street_2)));['house_4', 'street_2', 'p_stack_4'];;;;F(ap_0 & F(ap_2 & F(ap_1 & Gap_1)));VLTL-Bench;F(prop & F(prop & F(prop & Gprop)));F(prop & F(prop & F(prop & Gprop)));0
Avoid visiting landmark 5 until you reach park 5, and eventually take a photo of landmark 5;!landmark_5 U park_5&&<>(landmark_5&&photo);(!landmark_5 U park_5) & F(landmark_5 & photo);['photo', 'park_5', 'landmark_5'];Avoid visiting landmark_5 until you reach park_5, and eventually take a photo of landmark_5;{'photo': 'photo', 'park 5': 'park_5', 'landmark 5': 'landmark_5'};{'photo': 'ap_0', 'park_5': 'ap_1', 'landmark_5': 'ap_2'};(!ap_2 U ap_1) & F(ap_2 & ap_0);ConformalNL2LTL;(!prop U prop) & F(prop & prop);(!prop U prop) & F(prop & prop);0
when a sensor captures data then every time the house is open then it will happen that the engine starts afterwards;G(( sensor_captures_data ) -> G(( house_is_open ) -> F( engine_starts )));G(sensor_captures_data -> G(house_is_open -> F engine_starts));['house_is_open', 'sensor_captures_data', 'engine_starts'];when a sensor_captures_data then every time the house_is_open then it will happen that the engine_starts afterwards;;{'house_is_open': 'ap_0', 'sensor_captures_data': 'ap_1', 'engine_starts': 'ap_2'};G(ap_1 -> G(ap_0 -> Fap_2));NL-to-LTL-Synthetic-Datasetprocessed_data;G(prop -> G(prop -> Fprop));G(prop -> G(prop -> Fprop));0
If pickup the carrot holds, then in the next step pickup the keyboard persists until pickup the elephant holds, or else pickup the keyboard holds forever.;"""pickup(carrot)"" -> X ( ( ""pickup(keyboard)"" U ""pickup(elephant)"" ) | G ""pickup(keyboard)"" )";pickup_carrot -> X((pickup_keyboard U pickup_elephant) | G pickup_keyboard);['pickup_keyboard', 'pickup_elephant', 'pickup_carrot'];;;;ap_2 -> X((ap_0 U ap_1) | Gap_0);VLTL-Bench;prop -> X((prop U prop) | Gprop);prop -> X((prop U prop) | Gprop);0
Keep visiting intersection_4 as you at locality_9;"G F ""intersection_4"" & F ""locality_9""";GF intersection_4 & F locality_9;['intersection_4', 'locality_9'];;;;GFap_0 & Fap_1;VLTL-Bench;GFprop & Fprop;GFprop & Fprop;0
sooner or later a train has arrived after both a sensor retrieves data and a manager handles requests;G(( sensor_retrieves_data & manager_handles_requests ) -> F( train_has_arrived ));G((manager_handles_requests & sensor_retrieves_data) -> F train_has_arrived);['sensor_retrieves_data', 'manager_handles_requests', 'train_has_arrived'];sooner or later a train_has_arrived after both a sensor_retrieves_data and a manager_handles_requests;;{'sensor_retrieves_data': 'ap_0', 'manager_handles_requests': 'ap_1', 'train_has_arrived': 'ap_2'};G((ap_1 & ap_0) -> Fap_2);NL-to-LTL-Synthetic-Datasetprocessed_data;G((prop & prop) -> Fprop);G((prop & prop) -> Fprop);0
Ensure you at intersection_4 and remain in that location forever;"F G ""intersection_4""";FG intersection_4;['intersection_4'];;;;FGap_0;VLTL-Bench;FGprop;FGprop;0
first, it is going to happen that both a constructor creates instances and a motorbike has stopped, and then, at a certain moment the train has arrived;G(!( constructor_creates_instances & motorbike_has_stopped )) | F(( constructor_creates_instances & motorbike_has_stopped ) & F( train_has_arrived ));G!(constructor_creates_instances & motorbike_has_stopped) | F(constructor_creates_instances & motorbike_has_stopped & F train_has_arrived);['constructor_creates_instances', 'motorbike_has_stopped', 'train_has_arrived'];first, it is going to happen that both a constructor_creates_instances and a motorbike_has_stopped, and then, at a certain moment the train_has_arrived;;{'constructor_creates_instances': 'ap_0', 'motorbike_has_stopped': 'ap_1', 'train_has_arrived': 'ap_2'};G!(ap_0 & ap_1) | F(ap_0 & ap_1 & Fap_2);NL-to-LTL-Synthetic-Datasetprocessed_data;G!(prop & prop) | F(prop & prop & Fprop);G!(prop & prop) | F(prop & prop & Fprop);0
walk and take apple;"""walk"" & ""take(apple)""";take_apple & walk;['take_apple', 'walk'];;;;ap_0 & ap_1;VLTL-Bench;prop & prop;prop & prop;0
If deliver the toothbrush to the loading_dock holds and get_help holds next, then search the skateboard holds in the step after that.;"G ( ""deliver(toothbrush,loading_dock)"" & X ""get_help"" -> X X ""search(skateboard)"" )";G((deliver_toothbrush_loading_dock & X get_help) -> XX search_skateboard);['get_help', 'search_skateboard', 'deliver_toothbrush_loading_dock'];;;;G((ap_2 & Xap_0) -> XXap_1);VLTL-Bench;G((prop & Xprop) -> XXprop);G((prop & Xprop) -> XXprop);0
Remain in locality 3 until you arrive at office 4;locality_3 U office_4;locality_3 U office_4;['office_4', 'locality_3'];Remain in locality_3 until you arrive at office_4;{'office 4': 'office_4', 'locality 3': 'locality_3'};{'office_4': 'ap_0', 'locality_3': 'ap_1'};ap_1 U ap_0;ConformalNL2LTL;prop U prop;prop U prop;0
Whenever idle holds, eventually pickup the spoon will hold.;"G ( ""idle"" -> F ""pickup(spoon)"" )";G(idle -> F pickup_spoon);['idle', 'pickup_spoon'];;;;G(ap_0 -> Fap_1);VLTL-Bench;G(prop -> Fprop);G(prop -> Fprop);0
If record the jaywalker on southwest_9th_street happens infinitely often, then so does change light_east green.;"G F ""record(jaywalker,southwest_9th_street)"" -> G F ""change(light_east,green)""";GF record_jaywalker_southwest_9th_street -> GF change_light_east_green;['change_light_east_green', 'record_jaywalker_southwest_9th_street'];;;;GFap_1 -> GFap_0;VLTL-Bench;GFprop -> GFprop;GFprop -> GFprop;0
it is going to happen that the engine stops and together the motorbike has started and a manager handles requests;F( engine_stops & motorbike_has_started & manager_handles_requests );F(engine_stops & manager_handles_requests & motorbike_has_started);['motorbike_has_started', 'manager_handles_requests', 'engine_stops'];it is going to happen that the engine_stops and together the motorbike_has_started and a manager_handles_requests;;{'motorbike_has_started': 'ap_0', 'manager_handles_requests': 'ap_1', 'engine_stops': 'ap_2'};F(ap_2 & ap_1 & ap_0);NL-to-LTL-Synthetic-Datasetprocessed_data;F(prop & prop & prop);F(prop & prop & prop);0
it will happen that a train has been launched and the constructor creates instances and, at some point in time both an elevator is open and a train is crossing afterwards;G(!( train_has_been_launched & constructor_creates_instances )) | F(( train_has_been_launched & constructor_creates_instances ) & F( elevator_is_open & train_is_crossing ));G!(constructor_creates_instances & train_has_been_launched) | F(constructor_creates_instances & train_has_been_launched & F(elevator_is_open & train_is_crossing));['train_is_crossing', 'constructor_creates_instances', 'train_has_been_launched', 'elevator_is_open'];it will happen that a train_has_been_launched and the constructor_creates_instances and, at some point in time both an elevator_is_open and a train_is_crossing afterwards;;{'train_is_crossing': 'ap_0', 'constructor_creates_instances': 'ap_1', 'train_has_been_launched': 'ap_2', 'elevator_is_open': 'ap_3'};G!(ap_1 & ap_2) | F(ap_1 & ap_2 & F(ap_3 & ap_0));NL-to-LTL-Synthetic-Datasetprocessed_data;G!(prop & prop) | F(prop & prop & F(prop & prop));G!(prop & prop) | F(prop & prop & F(prop & prop));0
Our agent must always avoid idle.;"G ( ! ""idle"" )";G!idle;['idle'];;;;G!ap_0;VLTL-Bench;G!prop;G!prop;0
Avoid entering office 4 until you pick up pass 6, and ensure you go to house 5, collect pass 6, and then deliver it to office 4;!office_4 U p_pass_6&&<>(house_5&&<>(p_pass_6&&<>(office_4&&pd)));(!office_4 U p_pass_6) & F(house_5 & F(p_pass_6 & F(office_4 & pd)));['pd', 'office_4', 'house_5', 'p_pass_6'];Avoid entering office_4 until you pick up p_pass_6, and ensure you go to house_5, collect p_pass_6, and then deliver it to office_4;{'pd': 'pd', 'office 4': 'office_4', 'house 5': 'house_5', 'pass 6': 'p_pass_6'};{'pd': 'ap_0', 'office_4': 'ap_1', 'house_5': 'ap_2', 'p_pass_6': 'ap_3'};(!ap_1 U ap_3) & F(ap_2 & F(ap_3 & F(ap_1 & ap_0)));ConformalNL2LTL;(!prop U prop) & F(prop & F(prop & F(prop & prop)));(!prop U prop) & F(prop & F(prop & F(prop & prop)));0
