pair_type,ltl,en
absence_global,G(!( motorbike_is_driven | sensor_retrieves_data | car_starts )),"never, the motorbike is driven or a sensor retrieves data or a car starts"
absence_global,G(!( brake_is_pressed & bar_is_closing & escalator_moves )),"it is never the case that the brake is pressed, the bar is closing and the escalator moves"
absence_global,G(!( house_is_built & semaphore_is_broken & train_is_crossing )),"it will not happen that a house is built and, at the same time, the semaphore is broken and a train is crossing"
absence_global,G(!( manager_collect_claims | escalator_speeds_up | escalator_is_blocked )),"it never happens that either the manager collect claims, the escalator speeds up or the escalator is blocked"
absence_global,G(!( car_enters & elevator_is_open & elevator_is_blocked )),it never happens that a car enters and together an elevator is open and the elevator is blocked
absence_global,G(!( bridge_opens | elevator_is_blocked | table_is_brown )),it should not happen that a bridge opens or an elevator is blocked or a table is brown
absence_global,G(!( constructor_creates_instances & motorbike_has_started & semaphore_is_yellow )),"it should not happen that the constructor creates instances, a motorbike has started and a semaphore is yellow"
absence_global,G(!( constructor_creates_instances | elevator_rises | engine_stops )),"under no circumstances either a constructor creates instances, the elevator rises or the engine stops"
absence_global,G(!( manager_collect_claims & table_is_old & motorbike_catches_fire )),"it is never the case that a manager collect claims, a table is old and a motorbike catches fire"
absence_global,G(!( elevator_rises | house_is_built | motorbike_catches_fire )),"at no time either an elevator rises, a house is built or a motorbike catches fire"
absence_global,G(!( house_is_open | bar_is_closing | car_enters )),"absolutely never, a house is open or the bar is closing or a car enters"
absence_global,G(!( semaphore_is_red & bar_is_closing & brake_is_released )),"it is never the case that the semaphore is red, the bar is closing and the brake is released"
absence_global,G(!( bridge_closes | engine_starts | semaphore_is_green )),"it never happens that either a bridge closes, the engine starts or the semaphore is green"
absence_global,G(!( sensor_gathers_information & train_is_crossing & car_stops )),it will not happen that the sensor gathers information and together a train is crossing and a car stops
absence_global,G(!( escalator_moves | escalator_speeds_up | motorbike_falls_down )),"it should not happen that either the escalator moves, the escalator speeds up or a motorbike falls down"
absence_global,G(!( semaphore_is_yellow & elevator_rises & escalator_speeds_up )),"absolutely never, a semaphore is yellow and together the elevator rises and the escalator speeds up"
absence_global,G(!( house_is_open | bridge_closes | table_is_old )),"absolutely never, either a house is open, the bridge closes or a table is old"
absence_global,G(!( motorbike_has_stopped | escalator_is_blocked | house_is_built )),it will not happen that the motorbike has stopped or the escalator is blocked or a house is built
absence_global,G(!( sensor_captures_data | semaphore_is_broken | house_collapses )),it is never the case that a sensor captures data or the semaphore is broken or the house collapses
absence_global,G(!( elevator_is_open | constructor_creates_instances | motorbike_falls_down )),it never happens that an elevator is open or the constructor creates instances or the motorbike falls down
absence_global,G(!( escalator_speeds_up & elevator_rises & bar_is_down )),"under no condition the escalator speeds up, an elevator rises and the bar is down"
absence_global,G(!( semaphore_is_red & sensor_captures_data & semaphore_is_broken )),"it will not happen that a semaphore is red and, at the same time, the sensor captures data and a semaphore is broken"
absence_global,G(!( train_has_been_launched & bar_is_up & engine_breaks )),"it will not happen that a train has been launched, the bar is up and the engine breaks"
absence_global,G(!( house_is_open | table_is_brown | table_is_old )),"at no time either a house is open, a table is brown or a table is old"
absence_global,G(!( elevator_is_blocked | sensor_gathers_information | table_has_been_moved )),"absolutely never, the elevator is blocked or the sensor gathers information or the table has been moved"
absence_global,G(!( bridge_opens & motorbike_is_driven & house_is_built )),"it never happens that the bridge opens and, at the same time, a motorbike is driven and the house is built"
absence_global,G(!( house_is_built | table_is_brown | engine_starts )),"absolutely never, a house is built or the table is brown or the engine starts"
absence_global,G(!( train_has_arrived & bridge_opens & car_starts )),"it is never the case that the train has arrived and, at the same time, a bridge opens and a car starts"
absence_global,G(!( engine_starts & table_is_brown & bar_is_down )),"absolutely never, the engine starts and, at the same time, a table is brown and the bar is down"
absence_global,G(!( motorbike_is_driven & train_is_crossing & bridge_closes )),"it will not happen that a motorbike is driven and, at the same time, the train is crossing and a bridge closes"
absence_global,G(!( table_is_brown & elevator_falls & house_is_built )),"it should not happen that the table is brown and, at the same time, the elevator falls and the house is built"
absence_global,G(!( train_derails | table_has_been_moved | semaphore_is_red )),"under no circumstances either the train derails, a table has been moved or the semaphore is red"
absence_global,G(!( sensor_captures_data & semaphore_is_green & engine_breaks )),it never happens that a sensor captures data and together the semaphore is green and the engine breaks
absence_global,G(!( train_has_arrived | elevator_rises | brake_is_pressed )),it never happens that the train has arrived or the elevator rises or the brake is pressed
absence_global,G(!( motorbike_catches_fire | sensor_retrieves_data | constructor_creates_instances )),"under no circumstances either a motorbike catches fire, the sensor retrieves data or the constructor creates instances"
absence_global,G(!( motorbike_is_driven & motorbike_falls_down & elevator_is_blocked )),at no time a motorbike is driven and together the motorbike falls down and an elevator is blocked
absence_global,G(!( engine_stops & bar_is_down & elevator_is_blocked )),"it should not happen that the engine stops, the bar is down and the elevator is blocked"
absence_global,G(!( elevator_is_blocked & car_starts & bridge_opens )),"under no condition an elevator is blocked and, at the same time, the car starts and the bridge opens"
absence_global,G(!( motorbike_falls_down | table_is_brown | train_stops )),"at no time either a motorbike falls down, a table is brown or the train stops"
absence_global,G(!( house_collapses & bar_has_to_be_repaired & sensor_retrieves_data )),under no condition the house collapses and together the bar has to be repaired and the sensor retrieves data
absence_global,G(!( house_is_open & engine_starts & train_stops )),it should not happen that the house is open and together the engine starts and a train stops
absence_global,G(!( escalator_speeds_up | brake_is_released | engine_breaks )),"it will not happen that either the escalator speeds up, the brake is released or the engine breaks"
absence_global,G(!( house_collapses | motorbike_falls_down | car_enters )),at no time a house collapses or a motorbike falls down or the car enters
absence_global,G(!( engine_breaks | house_collapses | constructor_instantiate_objects )),it will not happen that the engine breaks or the house collapses or the constructor instantiate objects
absence_global,G(!( sensor_captures_data & semaphore_is_yellow & elevator_rises )),"it should not happen that the sensor captures data and, at the same time, the semaphore is yellow and an elevator rises"
absence_global,G(!( bridge_closes & engine_breaks & car_stops )),under no condition a bridge closes and together the engine breaks and the car stops
absence_global,G(!( constructor_creates_instances | car_stops | semaphore_is_red )),"absolutely never, either the constructor creates instances, a car stops or the semaphore is red"
absence_global,G(!( semaphore_is_broken & escalator_is_blocked & bridge_closes )),"never, the semaphore is broken and together the escalator is blocked and a bridge closes"
absence_global,G(!( bar_is_up & motorbike_has_started & brake_is_pressed )),"absolutely never, the bar is up and, at the same time, a motorbike has started and the brake is pressed"
absence_global,G(!( brake_is_released | engine_starts | train_has_arrived )),it never happens that the brake is released or the engine starts or the train has arrived
absence_global,G(!( brake_is_pressed | house_is_built | brake_is_released )),"absolutely never, either the brake is pressed, a house is built or the brake is released"
absence_global,G(!( car_starts | bar_is_down | table_is_brown )),"it should not happen that either the car starts, the bar is down or a table is brown"
absence_global,G(!( motorbike_has_stopped | train_has_arrived | train_stops )),"under no circumstances either the motorbike has stopped, the train has arrived or a train stops"
absence_global,G(!( sensor_gathers_information & table_has_been_moved & bridge_opens )),"it should not happen that a sensor gathers information and, at the same time, the table has been moved and a bridge opens"
absence_global,G(!( motorbike_has_started | engine_breaks | manager_collect_claims )),it never happens that a motorbike has started or the engine breaks or a manager collect claims
absence_global,G(!( bar_is_up | motorbike_has_started | elevator_is_blocked )),"it should not happen that either the bar is up, a motorbike has started or the elevator is blocked"
absence_global,G(!( table_has_been_moved | sensor_gathers_information | brake_is_released )),it should not happen that the table has been moved or the sensor gathers information or the brake is released
absence_global,G(!( semaphore_is_yellow & train_derails & motorbike_falls_down )),it never happens that a semaphore is yellow and together the train derails and the motorbike falls down
absence_global,G(!( car_starts | bridge_closes | bridge_opens )),it should not happen that the car starts or a bridge closes or the bridge opens
absence_global,G(!( table_is_brown & semaphore_is_yellow & house_collapses )),"it is never the case that the table is brown, a semaphore is yellow and the house collapses"
absence_global,G(!( house_is_built & bridge_opens & motorbike_catches_fire )),"under no circumstances a house is built, a bridge opens and the motorbike catches fire"
absence_global,G(!( brake_is_released & sensor_retrieves_data & sensor_gathers_information )),"under no circumstances the brake is released, a sensor retrieves data and the sensor gathers information"
absence_global,G(!( motorbike_has_stopped | car_enters | engine_breaks )),it is never the case that a motorbike has stopped or a car enters or the engine breaks
absence_global,G(!( escalator_speeds_up | table_is_brown | semaphore_is_green )),"under no circumstances either the escalator speeds up, a table is brown or a semaphore is green"
absence_global,G(!( table_is_brown | bar_has_to_be_repaired | manager_collect_claims )),"it never happens that either a table is brown, the bar has to be repaired or the manager collect claims"
absence_global,G(!( house_is_open | car_starts | bar_is_closing )),"it never happens that either a house is open, a car starts or the bar is closing"
absence_global,G(!( motorbike_has_started | escalator_moves | house_is_open )),"under no condition either a motorbike has started, the escalator moves or a house is open"
absence_global,G(!( bar_is_down | bridge_closes | motorbike_is_driven )),under no circumstances the bar is down or a bridge closes or the motorbike is driven
absence_global,G(!( elevator_is_blocked | escalator_speeds_up | semaphore_is_green )),"it should not happen that either the elevator is blocked, the escalator speeds up or a semaphore is green"
absence_global,G(!( house_is_built & motorbike_has_stopped & semaphore_is_red )),it is never the case that a house is built and together a motorbike has stopped and a semaphore is red
absence_global,G(!( brake_is_pressed & motorbike_falls_down & motorbike_has_started )),"it never happens that the brake is pressed, a motorbike falls down and a motorbike has started"
absence_global,G(!( car_stops | motorbike_catches_fire | manager_handles_requests )),at no time the car stops or a motorbike catches fire or the manager handles requests
absence_global,G(!( motorbike_has_started & train_has_arrived & escalator_moves )),"it will not happen that the motorbike has started and, at the same time, the train has arrived and the escalator moves"
absence_global,G(!( car_stops | train_has_been_launched | car_enters )),"under no condition either the car stops, a train has been launched or the car enters"
absence_global,G(!( semaphore_is_red & semaphore_is_broken & bar_is_down )),it is never the case that a semaphore is red and together the semaphore is broken and the bar is down
absence_global,G(!( escalator_is_blocked & escalator_moves & constructor_creates_instances )),"it will not happen that the escalator is blocked, the escalator moves and a constructor creates instances"
absence_global,G(!( elevator_is_blocked & brake_is_pressed & train_derails )),"at no time the elevator is blocked and, at the same time, the brake is pressed and a train derails"
absence_global,G(!( house_is_built | constructor_creates_instances | bar_is_up )),"it will not happen that either a house is built, the constructor creates instances or the bar is up"
absence_global,G(!( elevator_is_blocked | motorbike_has_started | bridge_closes )),under no circumstances the elevator is blocked or a motorbike has started or the bridge closes
absence_global,G(!( motorbike_has_stopped & manager_handles_requests & elevator_is_open )),"never, the motorbike has stopped and, at the same time, the manager handles requests and an elevator is open"
absence_global,G(!( escalator_moves | train_has_arrived | train_has_been_launched )),"it will not happen that either the escalator moves, the train has arrived or a train has been launched"
absence_global,G(!( house_collapses | bar_has_to_be_repaired | train_stops )),"never, either the house collapses, the bar has to be repaired or the train stops"
absence_global,G(!( table_is_old & sensor_gathers_information & car_stops )),"it will not happen that the table is old, a sensor gathers information and the car stops"
absence_global,G(!( house_is_built & elevator_rises & car_stops )),it will not happen that the house is built and together an elevator rises and a car stops
absence_global,G(!( elevator_rises & engine_breaks & bar_is_down )),under no circumstances the elevator rises and together the engine breaks and the bar is down
absence_global,G(!( house_is_open | elevator_rises | bar_has_to_be_repaired )),under no circumstances the house is open or an elevator rises or the bar has to be repaired
absence_global,G(!( table_is_brown & bar_has_to_be_repaired & engine_starts )),it will not happen that a table is brown and together the bar has to be repaired and the engine starts
absence_global,G(!( constructor_creates_instances & sensor_retrieves_data & bridge_closes )),"under no circumstances the constructor creates instances, a sensor retrieves data and the bridge closes"
absence_global,G(!( escalator_moves & house_is_open & table_has_been_moved )),"never, the escalator moves, the house is open and the table has been moved"
absence_global,G(!( bar_is_closing | car_stops | manager_handles_requests )),under no circumstances the bar is closing or the car stops or the manager handles requests
absence_global,G(!( semaphore_is_green & train_stops & bar_is_down )),"it never happens that the semaphore is green and, at the same time, the train stops and the bar is down"
absence_global,G(!( car_enters | elevator_is_blocked | escalator_speeds_up )),"never, either a car enters, an elevator is blocked or the escalator speeds up"
absence_global,G(!( semaphore_is_red & bar_is_down & bridge_opens )),under no circumstances the semaphore is red and together the bar is down and a bridge opens
absence_global,G(!( bar_is_down | semaphore_is_yellow | train_derails )),"at no time either the bar is down, the semaphore is yellow or the train derails"
absence_global,G(!( table_is_old & constructor_instantiate_objects & bridge_closes )),it should not happen that a table is old and together a constructor instantiate objects and the bridge closes
absence_global,G(!( table_is_old & house_collapses & car_starts )),"at no time a table is old, a house collapses and a car starts"
absence_global,G(!( bar_has_to_be_repaired & train_stops & elevator_is_open )),"under no circumstances the bar has to be repaired and, at the same time, the train stops and the elevator is open"
absence_global,G(!( train_stops | semaphore_is_red | elevator_falls )),at no time the train stops or a semaphore is red or the elevator falls
absence_global,G(!( elevator_rises | sensor_gathers_information | manager_collect_claims )),it is never the case that an elevator rises or a sensor gathers information or a manager collect claims
absence_global,G(!( motorbike_has_started | engine_stops | elevator_falls )),"it will not happen that either the motorbike has started, the engine stops or the elevator falls"
absence_global,G(!( bar_is_down | car_enters | brake_is_released )),it will not happen that the bar is down or a car enters or the brake is released
absence_global,G(!( bar_has_to_be_repaired & semaphore_is_yellow & escalator_speeds_up )),"it is never the case that the bar has to be repaired and, at the same time, the semaphore is yellow and the escalator speeds up"
absence_global,G(!( table_is_brown | semaphore_is_yellow | table_has_been_moved )),"never, a table is brown or a semaphore is yellow or a table has been moved"
absence_global,G(!( motorbike_is_driven & car_stops & train_is_crossing )),"under no circumstances the motorbike is driven and, at the same time, a car stops and a train is crossing"
absence_global,G(!( escalator_speeds_up | motorbike_is_driven | house_is_built )),"never, the escalator speeds up or the motorbike is driven or the house is built"
absence_global,G(!( elevator_falls & manager_handles_requests & motorbike_is_driven )),"it is never the case that an elevator falls and, at the same time, the manager handles requests and a motorbike is driven"
absence_global,G(!( table_has_been_moved | engine_starts | semaphore_is_green )),"under no circumstances either a table has been moved, the engine starts or the semaphore is green"
absence_global,G(!( manager_handles_requests & constructor_creates_instances & semaphore_is_red )),"it will not happen that the manager handles requests, the constructor creates instances and a semaphore is red"
absence_global,G(!( engine_starts | manager_collect_claims | engine_stops )),"under no condition either the engine starts, a manager collect claims or the engine stops"
absence_global,G(!( semaphore_is_green | bridge_opens | semaphore_is_red )),"never, either a semaphore is green, the bridge opens or a semaphore is red"
absence_global,G(!( train_derails & motorbike_is_driven & bar_has_to_be_repaired )),it should not happen that the train derails and together the motorbike is driven and the bar has to be repaired
absence_global,G(!( bar_has_to_be_repaired & constructor_instantiate_objects & elevator_falls )),under no circumstances the bar has to be repaired and together the constructor instantiate objects and the elevator falls
absence_global,G(!( bar_has_to_be_repaired & train_has_been_launched & motorbike_falls_down )),"at no time the bar has to be repaired and, at the same time, a train has been launched and the motorbike falls down"
absence_global,G(!( car_stops & house_is_open & house_collapses )),it should not happen that a car stops and together the house is open and the house collapses
absence_global,G(!( bar_is_closing | train_stops | escalator_moves )),under no circumstances the bar is closing or the train stops or the escalator moves
absence_global,G(!( train_has_arrived & bridge_closes & manager_handles_requests )),"it is never the case that a train has arrived, a bridge closes and the manager handles requests"
absence_global,G(!( semaphore_is_yellow | sensor_gathers_information | table_has_been_moved )),at no time a semaphore is yellow or a sensor gathers information or a table has been moved
absence_global,G(!( bar_is_down | bar_has_to_be_repaired | constructor_instantiate_objects )),it should not happen that the bar is down or the bar has to be repaired or a constructor instantiate objects
absence_global,G(!( house_collapses | elevator_is_open | sensor_captures_data )),at no time the house collapses or the elevator is open or a sensor captures data
absence_global,G(!( train_has_been_launched | escalator_is_blocked | bridge_closes )),"under no circumstances either the train has been launched, the escalator is blocked or a bridge closes"
absence_global,G(!( semaphore_is_broken & engine_starts & manager_collect_claims )),"it is never the case that a semaphore is broken, the engine starts and a manager collect claims"
absence_global,G(!( engine_starts & car_stops & semaphore_is_red )),"it is never the case that the engine starts and, at the same time, a car stops and a semaphore is red"
absence_global,G(!( semaphore_is_red | motorbike_is_driven | elevator_falls )),at no time a semaphore is red or a motorbike is driven or an elevator falls
absence_global,G(!( engine_stops | semaphore_is_green | car_enters )),"at no time either the engine stops, the semaphore is green or a car enters"
absence_global,G(!( sensor_gathers_information & train_stops & motorbike_is_driven )),at no time a sensor gathers information and together a train stops and the motorbike is driven
absence_global,G(!( escalator_speeds_up | constructor_instantiate_objects | elevator_is_open )),"it is never the case that either the escalator speeds up, the constructor instantiate objects or an elevator is open"
absence_global,G(!( constructor_creates_instances & engine_breaks & bar_is_up )),"absolutely never, the constructor creates instances, the engine breaks and the bar is up"
absence_global,G(!( elevator_rises | train_has_arrived | bridge_closes )),under no condition the elevator rises or a train has arrived or the bridge closes
