pair_type,ltl,en
absence_global,G(!( KUyVMPPAgmxv )),it never happens that KUyVMPPAgmxv
absence_global,G(!( KStAeGy | uTbzgZnXyMAhPJ | neLFr )),"it should not happen that either KStAeGy, uTbzgZnXyMAhPJ or neLFr"
absence_global,G(!( oSCTHGURChK )),"absolutely never, oSCTHGURChK"
absence_global,G(!( uiYczvGW | sHJkRvwmo | dtHgSRQb_b )),under no circumstances uiYczvGW or sHJkRvwmo or dtHgSRQb_b
absence_global,G(!( RYTiPHRSIdZVAiy | wHYOX_ | WlJZtGumA )),"it should not happen that either RYTiPHRSIdZVAiy, wHYOX_ or WlJZtGumA"
absence_global,G(!( gBEZIYXdSrTrYIt & _sbTK )),"absolutely never, gBEZIYXdSrTrYIt and _sbTK"
absence_global,G(!( UMHyS & bxcaemxcF )),"absolutely never, both UMHyS and bxcaemxcF"
absence_global,G(!( INMwcuLjZbJLhzZ & akmdETHYyIdS & ypXvObh )),"it never happens that INMwcuLjZbJLhzZ and, at the same time, akmdETHYyIdS and ypXvObh"
absence_global,G(!( FCGQylACsOf | toWsCUx | aZRecYXDkdGIb )),"never, either FCGQylACsOf, toWsCUx or aZRecYXDkdGIb"
absence_global,G(!( vvytGmPO | yNhxJBQWAdSiF )),"never, either vvytGmPO or yNhxJBQWAdSiF"
absence_global,G(!( VVgfiONlSe )),it is never the case that VVgfiONlSe
absence_global,G(!( tbmtHcqrVWNydC | kdWNY )),"never, either tbmtHcqrVWNydC or kdWNY"
absence_global,G(!( uYAXPshGuOUR )),it should not happen that uYAXPshGuOUR
absence_global,G(!( gBZOml )),"absolutely never, gBZOml"
absence_global,G(!( bcyhFQ & oBjDgQxKIBeiNW & lsMVIKcNClbaute )),"never, bcyhFQ and, at the same time, oBjDgQxKIBeiNW and lsMVIKcNClbaute"
absence_global,G(!( gYfbNJC | shnbVdnSTFxOKo | bnakXELc )),"absolutely never, gYfbNJC or shnbVdnSTFxOKo or bnakXELc"
absence_global,G(!( fOYHKksrmsKf & WA_QwXrGuvISkRY )),it never happens that both fOYHKksrmsKf and WA_QwXrGuvISkRY
absence_global,G(!( pgAbfO | IETwnvjbmDNxzN )),it is never the case that either pgAbfO or IETwnvjbmDNxzN
absence_global,G(!( zrANzpOe )),it should not happen that zrANzpOe
absence_global,G(!( ORf_yfiDfmuedIV )),it should not happen that ORf_yfiDfmuedIV
absence_global,G(!( hRBRSFYxLsm )),under no circumstances hRBRSFYxLsm
absence_global,G(!( R_nbiocrI_C & qBUnfSFSQ )),it should not happen that R_nbiocrI_C and qBUnfSFSQ
absence_global,G(!( tNfcCQhKCk | yPVPykErtb | lZZoKvOa )),"it should not happen that either tNfcCQhKCk, yPVPykErtb or lZZoKvOa"
absence_global,G(!( NJshkqkSJm )),it will not happen that NJshkqkSJm
absence_global,G(!( JaMYkgGviGtGrH )),at no time JaMYkgGviGtGrH
absence_global,G(!( OaEaE_W | IaoqMi )),it never happens that either OaEaE_W or IaoqMi
absence_global,G(!( FSJOHjWlE )),under no condition FSJOHjWlE
absence_global,G(!( NSpmqWns | wORbqaEqpBVNh )),it should not happen that either NSpmqWns or wORbqaEqpBVNh
absence_global,G(!( iYVZtnEpjwsLcb )),under no circumstances iYVZtnEpjwsLcb
absence_global,G(!( awjseLwc )),it will not happen that awjseLwc
absence_global,G(!( eqSWh & SAgKkvd & uWZMwh )),at no time eqSWh and together SAgKkvd and uWZMwh
absence_global,G(!( DXktxXPUzYFgq )),"absolutely never, DXktxXPUzYFgq"
absence_global,G(!( AHk_FXBbPQLcOh | xDFuaQB | SHDwc )),under no circumstances AHk_FXBbPQLcOh or xDFuaQB or SHDwc
absence_global,G(!( _BBYLyqNu )),under no circumstances _BBYLyqNu
absence_global,G(!( kIyPOANNXorQpAW )),under no circumstances kIyPOANNXorQpAW
absence_global,G(!( SawKkW_dqWS | Mfx_FBsEyjox | EuPZeed )),at no time SawKkW_dqWS or Mfx_FBsEyjox or EuPZeed
absence_global,G(!( ESOuCF & enWDYegxe & naePLiN )),"it is never the case that ESOuCF and, at the same time, enWDYegxe and naePLiN"
absence_global,G(!( HUymGnOfeUvUnxi )),it is never the case that HUymGnOfeUvUnxi
absence_global,G(!( uJwMVmQcOjk & NFbgbwYf & uwbnvOQXgDVD )),"at no time uJwMVmQcOjk and, at the same time, NFbgbwYf and uwbnvOQXgDVD"
absence_global,G(!( YmiqSz & XCWNirEeKoBFor )),"absolutely never, both YmiqSz and XCWNirEeKoBFor"
absence_global,G(!( qVKEvGKTRxGE )),at no time qVKEvGKTRxGE
absence_global,G(!( sdoMTofJH & CRFLT )),"absolutely never, sdoMTofJH and CRFLT"
absence_global,G(!( rGfnuZyujG )),it should not happen that rGfnuZyujG
absence_global,G(!( _bXDjaMQsGre | cWzYepekG_jKlA_ | eTNOom )),under no condition _bXDjaMQsGre or cWzYepekG_jKlA_ or eTNOom
absence_global,G(!( ozoxc & YqebHvILmFss )),it will not happen that ozoxc and YqebHvILmFss
absence_global,G(!( nfC_qDHYmm & ddZMH_Qfi & ouVQvK )),"it is never the case that nfC_qDHYmm and, at the same time, ddZMH_Qfi and ouVQvK"
absence_global,G(!( OecErzeCALreszF )),"never, OecErzeCALreszF"
absence_global,G(!( gQfofg_ | BeGyEOKVH | blthoJEVQ )),"at no time either gQfofg_, BeGyEOKVH or blthoJEVQ"
absence_global,G(!( RsxPp & YNSkFIVn & lJxFH )),"it never happens that RsxPp, YNSkFIVn and lJxFH"
absence_global,G(!( VgmkswfhNjg )),"absolutely never, VgmkswfhNjg"
absence_global,G(!( ak_vONsJzWvAGu & JAhOhZi & IEvUgNWZsL )),"never, ak_vONsJzWvAGu, JAhOhZi and IEvUgNWZsL"
absence_global,G(!( KMDVGVCruPdWvi | LGmgpglV | edcMudis )),"it is never the case that either KMDVGVCruPdWvi, LGmgpglV or edcMudis"
absence_global,G(!( iIRcdZGwY & qGRUK )),it is never the case that iIRcdZGwY and qGRUK
absence_global,G(!( m_cZuZAsHIui )),it will not happen that m_cZuZAsHIui
absence_global,G(!( NDxuYSVTa )),"never, NDxuYSVTa"
absence_global,G(!( L_qJWZaG | tiUHQa | illkTEDSuvehgZ )),"absolutely never, L_qJWZaG or tiUHQa or illkTEDSuvehgZ"
absence_global,G(!( JVkBo_ontmkhUIP )),it will not happen that JVkBo_ontmkhUIP
absence_global,G(!( wN_HVbjZTlaG | sV_IWZiVQxg | BexXbtqbJRUZF )),"it never happens that either wN_HVbjZTlaG, sV_IWZiVQxg or BexXbtqbJRUZF"
absence_global,G(!( EdUmniTskAToE_ | OIGhiSLN | xWhCdJ )),at no time EdUmniTskAToE_ or OIGhiSLN or xWhCdJ
absence_global,G(!( pgXTxiYZaWuz | rBtFD | zfiniUdbIryw )),"it will not happen that either pgXTxiYZaWuz, rBtFD or zfiniUdbIryw"
absence_global,G(!( oPYGq & QFAXMgsSyoRV & Tl_jPYC )),under no condition oPYGq and together QFAXMgsSyoRV and Tl_jPYC
absence_global,G(!( DLtNB )),"absolutely never, DLtNB"
absence_global,G(!( TSL_Vd & jONLqPNUfcddbL & tXoPb )),"absolutely never, TSL_Vd and together jONLqPNUfcddbL and tXoPb"
absence_global,G(!( fASJuCggJUBK & uYGqlByqYadQiy )),under no circumstances fASJuCggJUBK and uYGqlByqYadQiy
absence_global,G(!( vAmrw_havtc & XHPXHJCDsPI )),at no time vAmrw_havtc and XHPXHJCDsPI
absence_global,G(!( U_pLdwhmAEPu & F_B_VIUpCmvDYp_ & tCODLAEsEgpxpGq )),it never happens that U_pLdwhmAEPu and together F_B_VIUpCmvDYp_ and tCODLAEsEgpxpGq
absence_global,G(!( juUwED_rBg & jzRaTmxoihCVy & YwpUaVBd )),under no circumstances juUwED_rBg and together jzRaTmxoihCVy and YwpUaVBd
absence_global,G(!( BOZyrHxpEa & R_qGBkmTWpfEexu & jLENR )),"under no condition BOZyrHxpEa, R_qGBkmTWpfEexu and jLENR"
absence_global,G(!( EffdMkumjJwXt )),"never, EffdMkumjJwXt"
absence_global,G(!( teTzGx | NkZSnhFdidIBUI )),it is never the case that either teTzGx or NkZSnhFdidIBUI
absence_global,G(!( YpdLGlFnNUBkXoy | wgwlwH )),under no circumstances either YpdLGlFnNUBkXoy or wgwlwH
absence_global,G(!( uZsl_ezkmXqI_J & _nQXKddAG & UnDSVOduRM )),"absolutely never, uZsl_ezkmXqI_J, _nQXKddAG and UnDSVOduRM"
absence_global,G(!( RTpVrgA & pVGFQckddKbXyb & SQSpPlV )),"it will not happen that RTpVrgA and, at the same time, pVGFQckddKbXyb and SQSpPlV"
absence_global,G(!( xewqlzOJQgN | wCeJxMEL | KpYEBaKRNwyH )),"never, either xewqlzOJQgN, wCeJxMEL or KpYEBaKRNwyH"
absence_global,G(!( PdMQTDMUjEvSnt & Ija_O )),under no circumstances both PdMQTDMUjEvSnt and Ija_O
absence_global,G(!( JisTVWWUpIvYUx & FRMmCuJQWSMUn )),under no circumstances both JisTVWWUpIvYUx and FRMmCuJQWSMUn
absence_global,G(!( mC_oyuTdD & qtreqK_zXmtAn & xoMLoYbC )),"under no circumstances mC_oyuTdD and, at the same time, qtreqK_zXmtAn and xoMLoYbC"
absence_global,G(!( RAtONu | zkCsFkiznZaOnl )),under no condition RAtONu or zkCsFkiznZaOnl
absence_global,G(!( llVqBSUWzgbOe )),under no circumstances llVqBSUWzgbOe
absence_global,G(!( VaquNiiVPCBAk & iTozqvakboTT )),"absolutely never, both VaquNiiVPCBAk and iTozqvakboTT"
absence_global,G(!( BiQBJEATCpJ_E & TxKelWT )),at no time BiQBJEATCpJ_E and TxKelWT
absence_global,G(!( bbZitC & cNNRtXKaBUk & bKZYpGQU )),"at no time bbZitC, cNNRtXKaBUk and bKZYpGQU"
absence_global,G(!( vC_FGcMbirHPQtI & JsYp_ & VuqFIyjIhfyWLNV )),"at no time vC_FGcMbirHPQtI, JsYp_ and VuqFIyjIhfyWLNV"
absence_global,G(!( vHcIpQh )),it should not happen that vHcIpQh
absence_global,G(!( czZnPyWp | ChREoVrBvYy | zPwPdEHU )),it is never the case that czZnPyWp or ChREoVrBvYy or zPwPdEHU
absence_global,G(!( AHIlBGqjGfowoG )),under no circumstances AHIlBGqjGfowoG
absence_global,G(!( W_gm_qKjRHvEv )),under no circumstances W_gm_qKjRHvEv
absence_global,G(!( XtNCAlDkXki & SwujZazNpmOLjC & WVPUlMrgjluDOF )),"under no condition XtNCAlDkXki, SwujZazNpmOLjC and WVPUlMrgjluDOF"
absence_global,G(!( UVnncJvo )),at no time UVnncJvo
absence_global,G(!( SFpYl )),at no time SFpYl
absence_global,G(!( aEBMmW )),it will not happen that aEBMmW
absence_global,G(!( GiHErcfRAWkxl | mTVAAIoE )),it never happens that either GiHErcfRAWkxl or mTVAAIoE
absence_global,G(!( AVYYivFsxKR )),it is never the case that AVYYivFsxKR
absence_global,G(!( NQ_RqojRJNk & ganPnlnYxen & gQbLEpVZZP_ )),it is never the case that NQ_RqojRJNk and together ganPnlnYxen and gQbLEpVZZP_
absence_global,G(!( DhFkCquNUg )),under no circumstances DhFkCquNUg
absence_global,G(!( aTAxYbMkouL_r )),it should not happen that aTAxYbMkouL_r
absence_global,G(!( TCUXD & xHkMj & ccYJuAUXKv )),"absolutely never, TCUXD, xHkMj and ccYJuAUXKv"
absence_global,G(!( FwBIER & jNsJjFug )),"absolutely never, both FwBIER and jNsJjFug"
absence_global,G(!( KSzJncyQQdeQyPU & UgNZTW & ungjTDTdKWywtD )),"at no time KSzJncyQQdeQyPU and, at the same time, UgNZTW and ungjTDTdKWywtD"
absence_global,G(!( oIirTrDRu | tMYTMSK )),it will not happen that either oIirTrDRu or tMYTMSK
absence_global,G(!( wTCsTIzuypMT & gsmfhF & lkGHmvrL )),it will not happen that wTCsTIzuypMT and together gsmfhF and lkGHmvrL
absence_global,G(!( GXzwx | QvkGDjYNXQS | xiwES )),"at no time either GXzwx, QvkGDjYNXQS or xiwES"
absence_global,G(!( jbZnxwLeSCMA )),it will not happen that jbZnxwLeSCMA
absence_global,G(!( zBLOx )),it is never the case that zBLOx
absence_global,G(!( lLvFkfOwZ & SwNTYq )),it never happens that both lLvFkfOwZ and SwNTYq
absence_global,G(!( zOPGLJovxetrIEb | gIkLRn | JUSmrJ )),it is never the case that zOPGLJovxetrIEb or gIkLRn or JUSmrJ
absence_global,G(!( qZubjS )),under no circumstances qZubjS
absence_global,G(!( JNSesNjb )),"never, JNSesNjb"
absence_global,G(!( KXbtZprs | sgbUgMjI )),it is never the case that KXbtZprs or sgbUgMjI
absence_global,G(!( dJxaAUwanDL_ku & oMJvWZnXOUAXEgX & IjtjCvHCEJvAPc )),"it will not happen that dJxaAUwanDL_ku, oMJvWZnXOUAXEgX and IjtjCvHCEJvAPc"
absence_global,G(!( hTdJrHOisr & TnObv & QAMsQaPdasxZ )),it never happens that hTdJrHOisr and together TnObv and QAMsQaPdasxZ
absence_global,G(!( pGlPeAQtFq | RgnCWzoNdEKTBE )),it is never the case that either pGlPeAQtFq or RgnCWzoNdEKTBE
absence_global,G(!( pvlLVDbkHjKqI & lJbCxPqmovWUlrR )),it is never the case that both pvlLVDbkHjKqI and lJbCxPqmovWUlrR
absence_global,G(!( pMbUmll_Z & vyVwXRHc )),"absolutely never, both pMbUmll_Z and vyVwXRHc"
absence_global,G(!( YxgHeaJ | erpvllq )),it is never the case that YxgHeaJ or erpvllq
absence_global,G(!( gyUdDUcXZ )),it is never the case that gyUdDUcXZ
absence_global,G(!( FPGsHYFLhB | TKFJRIKBbRmbf | d_haKQbsrvFtN )),it will not happen that FPGsHYFLhB or TKFJRIKBbRmbf or d_haKQbsrvFtN
absence_global,G(!( OyYvRh & hWeXAHBz & clDymBMkpCjETv )),under no condition OyYvRh and together hWeXAHBz and clDymBMkpCjETv
absence_global,G(!( VHSGUHVwMpueKJp | kVOLxENhVJi )),it never happens that VHSGUHVwMpueKJp or kVOLxENhVJi
absence_global,G(!( QTUWVhfIIJjjv )),it never happens that QTUWVhfIIJjjv
absence_global,G(!( nTVZechIUih )),"absolutely never, nTVZechIUih"
absence_global,G(!( dHzGUwUGtxGnant & eHmWFYBOJtj & GrNUQjE )),it should not happen that dHzGUwUGtxGnant and together eHmWFYBOJtj and GrNUQjE
absence_global,G(!( uvZChe_sZYTD | MoVndDNmEYLumM | rCgpGEXlThxfaX )),"it will not happen that either uvZChe_sZYTD, MoVndDNmEYLumM or rCgpGEXlThxfaX"
absence_global,G(!( ixPFBHOtQwQz )),it should not happen that ixPFBHOtQwQz
absence_global,G(!( Ptogb )),under no condition Ptogb
absence_global,G(!( wdTanPAD | oBJCLQyzpEcVlSW )),under no condition either wdTanPAD or oBJCLQyzpEcVlSW
absence_global,G(!( ZLbzszyCXMV & JLUDMFRPRAk )),"absolutely never, both ZLbzszyCXMV and JLUDMFRPRAk"
absence_global,G(!( ucozUKEKvuGil )),under no circumstances ucozUKEKvuGil
absence_global,G(!( WFFdAbcXm | fJJqQMV )),"never, either WFFdAbcXm or fJJqQMV"
absence_global,G(!( SkZe_YJNvHB | Ck_fiIQPL )),"absolutely never, either SkZe_YJNvHB or Ck_fiIQPL"
absence_global,G(!( XtbekxTNllO & NgBHXDjJd )),"never, XtbekxTNllO and NgBHXDjJd"
absence_global,G(!( GqLmku & DvSzOHzdkZUYQRa & nMPGl )),"absolutely never, GqLmku, DvSzOHzdkZUYQRa and nMPGl"
absence_global,G(!( UzzYM | YuNMdfylg | hrbCTtRca )),"it will not happen that either UzzYM, YuNMdfylg or hrbCTtRca"
absence_global,G(!( rwJmauYp | irnxRhcLfZYGaD | fIiAFU )),it should not happen that rwJmauYp or irnxRhcLfZYGaD or fIiAFU
absence_global,G(!( ZvtiIYwGMHq )),it never happens that ZvtiIYwGMHq
absence_global,G(!( qHRToDt | GkZw_aMM )),it is never the case that qHRToDt or GkZw_aMM
absence_global,G(!( crFLbeqt | DzSlTCMsiIgz )),at no time either crFLbeqt or DzSlTCMsiIgz
absence_global,G(!( jyWULN & Ledgt_ & NtDQq )),"absolutely never, jyWULN, Ledgt_ and NtDQq"
absence_global,G(!( PbYuaSMBBdc & dEoXNdtJHwjb & MwDnCJnBFA )),"never, PbYuaSMBBdc and together dEoXNdtJHwjb and MwDnCJnBFA"
absence_global,G(!( ZLtsFL )),"absolutely never, ZLtsFL"
absence_global,G(!( WKqzMIivlzH | uZTdoXlZoTyF )),"absolutely never, either WKqzMIivlzH or uZTdoXlZoTyF"
absence_global,G(!( GTZSCYeSZcoYYUg )),under no circumstances GTZSCYeSZcoYYUg
absence_global,G(!( UTmszzhWepHRq )),under no circumstances UTmszzhWepHRq
absence_global,G(!( wdLgNOGwoF & lvGCWx )),under no condition both wdLgNOGwoF and lvGCWx
absence_global,G(!( jSxNvHXVa | RSTdrrHoydEZW )),under no circumstances jSxNvHXVa or RSTdrrHoydEZW
absence_global,G(!( iZS_K )),under no circumstances iZS_K
absence_global,G(!( DcaRR )),"never, DcaRR"
absence_global,G(!( mpOkYynghuZf | UtsClAUWlZZvmDZ )),it is never the case that mpOkYynghuZf or UtsClAUWlZZvmDZ
absence_global,G(!( VPwZWWOUii & wTFZNhrOkHVjzVa )),it should not happen that VPwZWWOUii and wTFZNhrOkHVjzVa
absence_global,G(!( JKqxG | _EerRHvQMNW_ )),"never, JKqxG or _EerRHvQMNW_"
absence_global,G(!( wuXiwM )),under no circumstances wuXiwM
absence_global,G(!( nUDsBfzCIhe | zePyHfcGz )),it is never the case that nUDsBfzCIhe or zePyHfcGz
absence_global,G(!( PpZMhxIsmgyuVUG & yJmYr )),it will not happen that both PpZMhxIsmgyuVUG and yJmYr
absence_global,G(!( slgwnkVZVkpz_ | AIlQju )),under no condition slgwnkVZVkpz_ or AIlQju
absence_global,G(!( LoTSp )),under no condition LoTSp
absence_global,G(!( hQtFhfj & sxbsj & hblul )),"absolutely never, hQtFhfj, sxbsj and hblul"
absence_global,G(!( tCLeIOTEkzDrtKO & bZLCodKjbN & NelXuyspzmMttP )),"under no circumstances tCLeIOTEkzDrtKO, bZLCodKjbN and NelXuyspzmMttP"
absence_global,G(!( imZP_wllB | EEZQI | VzqZYgp )),under no condition imZP_wllB or EEZQI or VzqZYgp
absence_global,G(!( WG_wuJ | WOueFst )),it never happens that WG_wuJ or WOueFst
absence_global,G(!( irgNTolV )),"never, irgNTolV"
absence_global,G(!( iUyivzHHzCQzEH )),it is never the case that iUyivzHHzCQzEH
absence_global,G(!( CrBhBOc )),it is never the case that CrBhBOc
absence_global,G(!( RPArRJajmjKV )),"absolutely never, RPArRJajmjKV"
absence_global,G(!( EllJGWRdXXdgE & SQXbRw & uXxXcXdOFFLt )),"never, EllJGWRdXXdgE and, at the same time, SQXbRw and uXxXcXdOFFLt"
absence_global,G(!( gOGkIasi | LyLGiYviSfz | qLxkk )),"it should not happen that either gOGkIasi, LyLGiYviSfz or qLxkk"
absence_global,G(!( tyGnEVBQXeYLnLD | UJPnNkQJitYV )),it is never the case that tyGnEVBQXeYLnLD or UJPnNkQJitYV
absence_global,G(!( tQmJTTVz )),under no condition tQmJTTVz
absence_global,G(!( HJEkaF )),it never happens that HJEkaF
absence_global,G(!( QsdwOC )),"never, QsdwOC"
absence_global,G(!( RydSP & LUCfntFQfsYb & iQgisVizcCV )),"it should not happen that RydSP, LUCfntFQfsYb and iQgisVizcCV"
absence_global,G(!( mkKDTv )),under no condition mkKDTv
absence_global,G(!( kNfxlvcAFJ | WkZwdCG )),it is never the case that kNfxlvcAFJ or WkZwdCG
absence_global,G(!( mSMTLtAlO )),it should not happen that mSMTLtAlO
absence_global,G(!( hEOYkoft & ROg_slzRJ )),under no circumstances hEOYkoft and ROg_slzRJ
absence_global,G(!( FDfvpsHUw )),under no condition FDfvpsHUw
absence_global,G(!( OJqQcmIwtiTrSh | FaokEhtWKBgrYAD )),it will not happen that either OJqQcmIwtiTrSh or FaokEhtWKBgrYAD
absence_global,G(!( RwsYuFi | tYjuHYlbIcM )),at no time either RwsYuFi or tYjuHYlbIcM
absence_global,G(!( zKJfhME | fqdixAEfqlnTZx | EO_a_Q )),it is never the case that zKJfhME or fqdixAEfqlnTZx or EO_a_Q
absence_global,G(!( CSkfPOHaTXPaR | nSctl_g_Jm_UR | tkLMcsD )),"it will not happen that either CSkfPOHaTXPaR, nSctl_g_Jm_UR or tkLMcsD"
absence_global,G(!( wGDKDxcBIBwZhn | SFUuEcmdLoYD )),it never happens that either wGDKDxcBIBwZhn or SFUuEcmdLoYD
absence_global,G(!( ZZZClXM | dugGnhp | lligDnLafmzxI )),"absolutely never, either ZZZClXM, dugGnhp or lligDnLafmzxI"
absence_global,G(!( VtLNwkRwtU & nhIreycZPjyDJK )),it should not happen that VtLNwkRwtU and nhIreycZPjyDJK
absence_global,G(!( BnVSRqENHEoj & kwJtISrHcg & XkPbeLIUjQSVkd )),"at no time BnVSRqENHEoj and, at the same time, kwJtISrHcg and XkPbeLIUjQSVkd"
absence_global,G(!( BrWIQUGgeoDQT )),it is never the case that BrWIQUGgeoDQT
absence_global,G(!( slAFrRcsLZ | PvUyB )),under no circumstances either slAFrRcsLZ or PvUyB
absence_global,G(!( bFgGWHXybzm )),"absolutely never, bFgGWHXybzm"
